time,temp,dwpt,rhum,wdir,wspd,pres
2010-06-30 02:00:00,13.6,1.2,43.0,330.0,5.4,1019.4
2010-06-30 05:00:00,15.6,0.2,35.0,250.0,18.4,1018.4
2010-06-30 08:00:00,9.8,0.4,52.0,260.0,13.0,1020.3
2010-06-30 11:00:00,4.2,1.4,82.0,,0.0,1021.9
2010-06-30 14:00:00,0.7,-0.6,91.0,160.0,5.4,1022.0
2010-06-30 17:00:00,-0.7,-1.5,94.0,360.0,7.6,1023.0
2010-06-30 20:00:00,-1.3,-1.9,96.0,,0.0,1023.7
2010-06-30 23:00:00,5.4,2.7,83.0,,0.0,1025.3
2010-07-01 02:00:00,14.8,2.0,42.0,230.0,18.4,1023.5
2010-07-01 05:00:00,16.0,2.0,39.0,260.0,5.4,1022.6
2010-07-01 08:00:00,9.5,2.8,63.0,350.0,5.4,1024.2
2010-07-01 11:00:00,4.3,2.6,89.0,90.0,7.6,1025.6
2010-07-01 14:00:00,2.5,1.3,92.0,,0.0,1026.4
2010-07-01 17:00:00,1.0,0.3,95.0,200.0,3.6,1026.1
2010-07-01 20:00:00,1.4,0.7,95.0,,0.0,1026.5
2010-07-01 23:00:00,3.7,3.0,95.0,,0.0,1027.6
2010-07-02 02:00:00,8.3,5.1,80.0,,0.0,1026.0
2010-07-02 05:00:00,10.9,5.6,70.0,,0.0,1024.0
2010-07-02 08:00:00,9.3,5.7,78.0,220.0,5.4,1024.3
2010-07-02 11:00:00,8.3,5.9,85.0,200.0,3.6,1024.0
2010-07-02 14:00:00,7.4,6.7,95.0,,0.0,1024.0
2010-07-02 17:00:00,5.8,5.4,97.0,,0.0,1023.3
2010-07-02 20:00:00,3.8,3.5,98.0,250.0,11.2,1024.1
2010-07-02 23:00:00,9.7,3.0,63.0,240.0,22.3,1026.5
2010-07-03 02:00:00,13.9,0.9,41.0,260.0,29.5,1026.5
2010-07-03 05:00:00,14.8,0.2,37.0,200.0,18.4,1026.2
2010-07-03 08:00:00,9.7,0.8,54.0,180.0,5.4,1028.3
2010-07-03 11:00:00,3.9,1.3,83.0,30.0,1.8,1029.4
2010-07-03 14:00:00,3.5,1.5,87.0,140.0,9.4,1030.0
2010-07-03 17:00:00,5.4,1.7,77.0,200.0,9.4,1029.3
2010-07-03 20:00:00,1.8,0.2,89.0,140.0,3.6,1029.8
2010-07-03 23:00:00,8.1,3.7,74.0,,0.0,1030.4
2010-07-04 02:00:00,16.4,3.8,43.0,220.0,11.2,1028.1
2010-07-04 05:00:00,18.0,3.8,39.0,330.0,9.4,1026.9
2010-07-04 08:00:00,11.9,6.6,70.0,140.0,7.6,1027.0
2010-07-04 11:00:00,6.3,5.4,94.0,340.0,5.4,1028.1
2010-07-04 14:00:00,3.2,2.3,94.0,,0.0,1027.9
2010-07-04 17:00:00,1.5,0.9,96.0,350.0,1.8,1027.3
2010-07-04 20:00:00,1.5,1.2,98.0,50.0,1.8,1027.6
2010-07-04 23:00:00,6.6,5.7,94.0,150.0,5.4,1027.7
2010-07-05 02:00:00,13.9,7.0,63.0,360.0,5.4,1025.5
2010-07-05 05:00:00,13.6,7.4,66.0,340.0,5.4,1024.2
2010-07-05 08:00:00,10.9,9.0,88.0,,0.0,1023.1
2010-07-05 11:00:00,9.4,8.5,94.0,,0.0,1023.0
2010-07-05 14:00:00,9.0,8.7,98.0,350.0,1.8,1021.3
2010-07-05 17:00:00,8.0,7.9,99.0,110.0,1.8,1019.1
2010-07-05 20:00:00,8.7,8.6,99.0,,0.0,1017.4
2010-07-05 23:00:00,10.1,9.9,99.0,290.0,7.6,1017.5
2010-07-06 02:00:00,15.2,6.5,56.0,240.0,25.9,1015.5
2010-07-06 05:00:00,15.0,6.3,56.0,210.0,16.6,1015.6
2010-07-06 08:00:00,9.9,7.5,85.0,280.0,9.4,1018.4
2010-07-06 11:00:00,10.8,6.9,77.0,230.0,11.2,1020.0
2010-07-06 14:00:00,9.9,6.2,78.0,230.0,13.0,1021.0
2010-07-06 17:00:00,8.4,5.1,80.0,250.0,5.4,1021.4
2010-07-06 20:00:00,9.1,4.7,74.0,230.0,16.6,1022.3
2010-07-06 23:00:00,11.8,6.1,68.0,220.0,20.5,1024.5
2010-07-07 02:00:00,16.2,6.9,54.0,230.0,16.6,1023.6
2010-07-07 05:00:00,16.6,7.0,53.0,160.0,14.8,1022.9
2010-07-07 08:00:00,10.7,4.6,66.0,190.0,9.4,1024.6
2010-07-07 11:00:00,8.5,4.3,75.0,,0.0,1026.3
2010-07-07 14:00:00,7.3,4.1,80.0,,0.0,1026.1
2010-07-07 17:00:00,4.2,3.0,92.0,310.0,3.6,1026.1
2010-07-07 20:00:00,8.4,5.7,83.0,250.0,9.4,1026.7
2010-07-07 23:00:00,11.9,5.5,65.0,230.0,13.0,1027.7
2010-07-08 02:00:00,16.2,6.9,54.0,190.0,18.4,1026.4
2010-07-08 05:00:00,15.6,7.4,58.0,130.0,16.6,1025.6
2010-07-08 08:00:00,12.8,7.5,70.0,170.0,9.4,1027.1
2010-07-08 11:00:00,10.5,8.8,89.0,,0.0,1028.3
2010-07-08 14:00:00,9.3,8.2,93.0,,0.0,1028.2
2010-07-08 17:00:00,7.2,6.1,93.0,,0.0,1028.1
2010-07-08 20:00:00,5.6,5.0,96.0,,0.0,1028.9
2010-07-08 23:00:00,10.4,8.3,87.0,,0.0,1030.0
2010-07-09 02:00:00,15.7,7.5,58.0,140.0,14.8,1028.8
2010-07-09 05:00:00,15.6,7.9,60.0,120.0,11.2,1027.8
2010-07-09 08:00:00,10.4,7.5,82.0,,0.0,1028.9
2010-07-09 11:00:00,6.9,6.0,94.0,,0.0,1029.8
2010-07-09 14:00:00,5.5,5.1,97.0,,0.0,1029.8
2010-07-09 17:00:00,4.9,4.6,98.0,,0.0,1029.2
2010-07-09 20:00:00,3.7,3.4,98.0,,0.0,1028.9
2010-07-09 23:00:00,7.7,7.6,99.0,,0.0,1029.1
2010-07-10 02:00:00,14.2,9.2,72.0,,0.0,1026.3
2010-07-10 05:00:00,16.0,8.2,60.0,20.0,11.2,1025.0
2010-07-10 08:00:00,12.3,8.0,75.0,,0.0,1024.2
2010-07-10 11:00:00,10.4,8.5,88.0,170.0,3.6,1024.2
2010-07-10 14:00:00,9.6,8.7,94.0,,0.0,1022.6
