date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-03-13,-0.55,-1.09,-5.58,13.30,138.30,0.31,0.00,0.00,8.00,0.44,7.61,11.61,21.55,24.95,29.60,24.13,21.30,3293.00,8764.00,125937.00,5.50,0.00,2.42,4572.00,621.39,97.58,46032.00,86995.00,13611936.00,32507.00,0.00,393.70,882064.00,64279.00,928980.00,1138013.00,1746562.00,2075955.00
2024-03-14,-0.46,-1.20,-2.91,18.96,131.10,0.59,0.00,0.00,4.75,0.37,8.01,20.07,17.68,24.62,31.60,23.57,19.10,1838.00,13254.00,119434.00,10.54,0.00,2.35,2984.00,604.01,77.14,24632.00,62901.00,10282597.00,44049.00,0.00,294.00,407012.00,41514.00,757958.00,1498356.00,1005093.00,1249662.00
2024-03-15,-0.57,-1.88,-9.88,7.16,116.80,0.57,0.00,0.00,3.57,0.54,3.96,38.14,19.72,20.27,25.00,20.78,17.60,5602.00,5279.00,106335.00,10.24,0.00,1.88,1904.00,543.98,66.34,21734.00,92578.00,8261252.00,37048.00,0.00,201.00,175977.00,61814.00,394813.00,2504044.00,750635.00,643946.00
2024-03-16,-0.36,-2.77,-2.77,12.14,117.10,0.35,0.00,0.00,1.41,0.30,1.48,26.47,9.44,19.63,26.40,21.00,16.80,1877.00,7633.00,106688.00,6.35,0.00,1.91,850.60,621.09,63.82,7472.00,94025.00,8212458.00,21534.00,0.00,198.40,37557.00,28855.00,143968.00,1580188.00,231011.00,557165.00
2024-03-17,-0.39,-2.72,-2.03,18.80,121.70,0.35,0.00,0.00,1.07,0.24,2.73,14.65,11.66,13.61,22.70,19.69,17.60,1496.00,12244.00,110812.00,6.32,0.00,1.81,700.20,680.49,60.25,10622.00,93429.00,7998601.00,20592.00,0.00,182.60,37889.00,22557.00,256161.00,1004946.00,386779.00,460770.00
2024-03-18,-0.40,-1.45,-5.73,7.41,139.20,0.59,0.00,0.00,2.16,0.37,3.51,12.84,20.06,18.40,26.00,21.31,18.10,3897.00,5438.00,126737.00,10.62,0.00,2.03,1260.00,657.78,72.79,22017.00,81677.00,10339679.00,43148.00,0.00,253.30,130342.00,37734.00,345636.00,989009.00,1190695.00,1006285.00
2024-03-19,-0.45,-1.34,-6.45,12.40,139.10,0.62,0.00,0.00,0.80,0.44,7.66,10.51,20.25,26.23,26.90,22.71,20.00,4512.00,8523.00,126650.00,11.23,0.00,2.04,624.30,625.89,66.73,19544.00,64234.00,9419429.00,39433.00,0.00,224.70,53791.00,42869.00,692982.00,711893.00,938415.00,1386171.00
2024-03-20,-0.49,-1.21,-7.48,13.37,134.80,0.53,0.00,0.00,0.85,0.34,6.93,23.67,14.92,14.16,24.90,21.61,18.50,5201.00,8009.00,122762.00,9.49,0.00,2.33,662.90,629.99,63.77,24002.00,55606.00,8954303.00,33704.00,0.00,232.70,57104.00,33622.00,569667.00,1410647.00,723398.00,650454.00
2024-03-21,-0.51,-1.34,-15.87,0.99,121.50,0.11,0.00,0.00,0.84,0.40,3.62,32.26,22.18,25.01,22.10,17.91,13.70,8791.00,793.90,110604.00,1.92,0.00,1.96,654.30,545.83,48.75,6333.00,8670.00,6448565.00,4768.00,0.00,131.90,39553.00,30572.00,305998.00,1552373.00,114192.00,67537.00
2024-03-22,-0.35,-0.69,-7.11,2.83,125.30,0.13,0.00,0.00,0.66,0.32,6.52,15.38,25.13,21.91,24.40,19.26,15.80,4640.00,2143.00,114091.00,2.36,0.00,1.68,515.10,589.96,59.29,15079.00,21233.00,7766183.00,7790.00,0.00,173.00,38139.00,24329.00,476818.00,974372.00,965037.00,755726.00
2024-03-23,-0.38,-0.64,-2.86,12.62,114.20,0.35,0.00,0.00,4.88,0.35,7.20,8.88,15.20,20.02,26.70,20.50,16.30,2057.00,9953.00,103994.00,6.32,0.00,1.82,2559.00,636.52,68.26,16438.00,21808.00,8055447.00,23195.00,0.00,208.30,359433.00,32829.00,589181.00,523727.00,787168.00,1015898.00
