date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biogas) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-04-05 00:00,-1.69,0.00,-385.60,667.10,4996.67,32.04,0.00,0.21,27.42,1.62,78.48,1810.67,0.00,0.00,19.10,63.46,146.96,1137.70,0.14,0.00,0.03,5.36,678.98,56.99
2024-04-05 00:30,-1.24,-36.89,-393.77,667.43,4863.33,32.00,0.00,0.21,27.42,2.22,70.60,1802.33,0.00,0.00,19.08,128.26,292.23,2215.00,0.29,0.00,0.06,10.73,679.60,56.99
2024-04-05 01:00,-5.07,-43.60,-417.00,671.12,4703.67,33.29,0.00,0.21,27.42,1.24,38.62,1844.83,0.00,0.00,18.89,134.20,294.30,2142.10,0.30,0.00,0.06,10.73,674.95,56.77
2024-04-05 01:30,-2.26,-43.55,-318.95,694.72,4360.83,35.11,0.00,0.21,27.42,1.28,33.76,1844.00,0.00,0.00,18.45,100.32,299.60,1985.80,0.32,0.00,0.06,10.73,662.24,55.45
2024-04-05 02:00,-3.61,-43.54,-304.33,669.47,4309.00,36.34,0.00,0.22,27.42,1.52,33.71,1796.50,0.00,0.00,18.10,96.14,285.10,1962.40,0.33,0.00,0.06,10.73,663.06,56.99
2024-04-05 02:30,-25.83,-43.57,-309.58,661.78,4143.17,36.26,0.00,0.21,27.42,0.02,33.77,1895.17,0.00,0.00,18.38,95.07,282.21,1886.50,0.33,0.00,0.06,10.73,649.58,55.50
2024-04-05 03:00,-17.31,-43.49,-349.58,689.63,4018.83,37.01,0.00,0.21,27.42,0.28,33.80,1949.67,0.00,0.00,18.89,105.28,292.78,1829.70,0.33,0.00,0.06,10.73,639.20,55.90
2024-04-05 03:30,-5.21,-43.45,-340.73,682.22,4027.50,37.01,0.00,0.22,27.42,0.98,33.62,1929.00,0.00,0.00,18.92,103.06,290.74,1833.60,0.33,0.00,0.06,10.73,640.27,46.38
2024-04-05 04:00,-3.60,-43.52,-322.05,672.42,4033.17,35.43,0.00,0.21,27.42,0.17,33.72,1975.17,0.00,0.00,18.90,96.75,292.01,1836.10,0.32,0.00,0.06,10.73,637.42,55.69
2024-04-05 04:30,-4.90,-43.46,-269.68,679.70,4126.50,15.14,0.00,0.21,27.42,1.95,33.70,2048.67,0.00,0.00,18.88,80.88,295.41,1878.70,0.14,0.00,0.06,10.73,636.15,58.00
2024-04-05 05:00,-4.88,-36.21,-210.82,522.72,4345.17,14.45,0.00,0.20,27.42,1.42,33.74,2099.50,0.00,0.00,18.61,64.00,229.06,1978.30,0.13,0.00,0.06,10.73,634.29,56.99
2024-04-05 05:30,-11.45,0.00,-198.60,258.78,4971.00,15.11,0.00,0.28,27.42,1.03,33.74,2090.00,0.00,0.00,18.18,63.15,112.91,2263.10,0.14,0.00,0.08,10.73,646.64,72.61
2024-04-05 06:00,-5.30,0.00,-138.15,160.65,5391.67,15.18,0.00,0.63,27.42,0.05,33.70,2125.00,0.00,0.09,18.10,44.79,67.27,2454.50,0.14,0.00,0.18,10.73,653.80,78.00
2024-04-05 06:30,-6.75,0.00,-32.07,238.47,5558.00,15.08,0.00,0.39,27.42,5.69,33.67,2149.33,1.91,2.80,18.12,10.43,98.24,2530.20,0.14,0.00,0.11,10.73,657.74,82.52
2024-04-05 07:00,-1.92,0.00,-13.01,204.12,5880.33,14.34,0.00,0.12,27.42,10.93,33.70,2143.67,12.78,25.89,18.30,4.31,81.40,2677.00,0.13,0.00,0.03,10.73,663.19,84.81
2024-04-05 07:30,-1.14,0.00,-26.64,128.39,6082.83,14.42,0.00,0.12,27.42,35.48,33.78,2146.33,59.98,86.52,18.67,8.79,51.14,2769.20,0.13,0.00,0.04,10.73,657.34,88.61
2024-04-05 08:00,-3.42,0.00,-5.79,188.98,5850.83,14.84,0.00,0.10,27.42,27.78,144.28,2163.17,130.57,178.99,19.05,1.87,74.72,2663.70,0.13,0.00,0.03,10.73,630.31,72.41
2024-04-05 08:30,-5.37,0.00,-1.85,241.82,5714.67,14.57,0.00,0.11,27.42,26.51,154.68,2129.33,313.43,301.86,19.28,0.56,100.30,2602.10,0.13,0.00,0.03,10.73,608.43,78.00
2024-04-05 09:00,-8.65,0.00,-85.78,170.86,5943.17,14.57,0.00,0.12,27.42,11.92,125.89,2038.67,396.98,416.92,19.47,26.53,75.04,2705.70,0.13,0.00,0.03,10.73,610.93,88.89
2024-04-05 09:30,-15.98,0.00,-159.88,458.00,5681.50,14.62,0.00,0.42,27.42,7.55,30.14,2021.33,546.87,553.66,19.59,48.84,197.97,2586.90,0.13,0.00,0.12,10.73,599.42,57.10
