Date,Start,End,Biomass [MWh] Original resolutions,Hydropower [MWh] Original resolutions,Wind offshore [MWh] Original resolutions,Wind onshore [MWh] Original resolutions,Photovoltaics [MWh] Original resolutions,Other renewable [MWh] Original resolutions,Nuclear [MWh] Original resolutions,Lignite [MWh] Original resolutions,Hard coal [MWh] Original resolutions,Fossil gas [MWh] Original resolutions,Hydro pumped storage [MWh] Original resolutions,Other conventional [MWh] Original resolutions
01.07.2021,00:00:00,00:15:00,1056.5,61775,39225,2283,0,35,1657,2961.75,,1729,2375,35325
01.07.2021,00:15:00,00:30:00,1058,61925,40075,2353.75,0,35,1657.75,2967.75,1,1545.75,3175,35325
01.07.2021,00:30:00,00:45:00,1054.75,5905,43075,2365.5,0,35,1657.25,2963.25,99925,1444.25,27,35325
01.07.2021,00:45:00,01:00:00,1051.25,604,4295,2404.25,0,35,1656,2942.5,93875,1375,3025,35325
01.07.2021,01:00:00,01:15:00,1051.5,611,439,2437,0,35,1656.5,2947.5,90925,1168,4125,35375
01.07.2021,01:15:00,01:30:00,1050.5,5945,46075,2475.5,0,35,1656.5,2956.5,912,1109,4075,35275
01.07.2021,01:30:00,01:45:00,1052.25,60675,493,2463.5,0,35,1656.75,2945,9005,1095,4575,351
01.07.2021,01:45:00,02:00:00,1051.75,5695,51475,2497.5,0,35,1657.25,2952.75,8665,1097.5,2225,351
01.07.2021,02:00:00,02:15:00,1048.25,596,52625,2498.75,0,35,1657.25,2947.5,81175,1058.5,3025,344
01.07.2021,02:15:00,02:30:00,1048.25,56975,5455,2507.75,0,35,1657.25,2931.5,7895,1030.5,115,3495
01.07.2021,02:30:00,02:45:00,1052.5,5645,55425,2567.5,0,35,1656.25,2935.75,77475,1027.75,925,349
01.07.2021,02:45:00,03:00:00,1048.25,56225,555,2612.75,0,35,1656.5,2944,781,1043,875,34775
01.07.2021,03:00:00,03:15:00,1044,621,5565,2596.75,0,35,1656.75,2973.5,79225,1106,1025,34325
01.07.2021,03:15:00,03:30:00,1045,60275,55025,2620,0,35,1656.5,2979.25,79025,1114.5,105,34575
01.07.2021,03:30:00,03:45:00,1047.25,615,53225,2607.75,0,35,1657,2980,77925,1112,105,349
01.07.2021,03:45:00,04:00:00,1049.5,62875,535,2619.5,0,35,1656.25,2983,767,1090,1875,347
01.07.2021,04:00:00,04:15:00,1050.5,6165,545,2630.75,0,35,1656.5,2989.25,77625,1039.25,195,3475
01.07.2021,04:15:00,04:30:00,1052.75,605,57775,2680,0,35,1655.5,2980.75,80425,1035.25,2175,3485
