Building,Profit,Setup
7,391.7773870354743,cluster10
16,-161.69813789786542,cluster10
17,-368.7726228178648,cluster10
21,-412.8670945678671,cluster10
13,-41.42065336786475,cluster10
19,-30.826837727865207,cluster10
20,-257.02458617786453,cluster10
18,-311.63190151000015,cluster10
3,-12.96612280786533,cluster10
4,-175.6381930478648,cluster10
9,-134.8869673578646,cluster10
14,-132.17347854786533,cluster10
15,-107.40267707786461,cluster10
22,-157.441856357865,cluster10
30,-101.84494658786524,cluster10
1,-24.948866679999934,cluster10
6,-596.2827378599967,cluster10
8,-615.0629213299998,cluster10
11,-192.41615144000002,cluster10
5,-209.05360229786493,cluster10
12,-233.51174504786556,cluster10
23,-159.35406553786467,cluster10
24,155.99937148213544,cluster10
25,-299.453226607865,cluster10
26,-379.2261962378658,cluster10
27,-211.25490086786579,cluster10
28,-119.26967464786554,cluster10
29,-174.90948469786514,cluster10
2,-210.17465859786424,cluster10
10,-185.63984823786467,cluster10
