Building,Total Profit,Total Emissions,Setup
7,-679.4429025405317,3146.179230581983,NEW_FL_DDPG_OnlyCosts_v9
7,-680.7556181627875,3142.5101874114084,NEW_FL_DDPG_OnlyCosts_v9
7,-677.790596810942,3120.1374700328156,NEW_FL_DDPG_OnlyCosts_v9
16,-1040.4356740829587,3879.561211004786,NEW_FL_DDPG_OnlyCosts_v9
16,-1038.2228272568307,3853.8573150805114,NEW_FL_DDPG_OnlyCosts_v9
16,-1038.3654542558543,3857.3498090416856,NEW_FL_DDPG_OnlyCosts_v9
19,-325.897203404871,1295.9241784645687,NEW_FL_DDPG_OnlyCosts_v9
19,-322.8699106949853,1269.1396335109127,NEW_FL_DDPG_OnlyCosts_v9
19,-324.0714722518806,1278.395663145266,NEW_FL_DDPG_OnlyCosts_v9
24,-347.498877112198,2141.035913370721,NEW_FL_DDPG_OnlyCosts_v9
24,-348.16895968298934,2146.729065275374,NEW_FL_DDPG_OnlyCosts_v9
24,-347.6136796936836,2139.8788722850218,NEW_FL_DDPG_OnlyCosts_v9
1,-853.3029065207238,3834.428947416752,NEW_FL_DDPG_OnlyCosts_v9
1,-857.913116651453,3872.157974025883,NEW_FL_DDPG_OnlyCosts_v9
1,-856.9362876210749,3869.5360677150484,NEW_FL_DDPG_OnlyCosts_v9
11,-1058.2786213527925,3884.6120558982852,NEW_FL_DDPG_OnlyCosts_v9
11,-1057.9372891955486,3881.1466912674123,NEW_FL_DDPG_OnlyCosts_v9
11,-1058.3013690464547,3889.020670085584,NEW_FL_DDPG_OnlyCosts_v9
12,-1135.5080736895984,4152.91140178602,NEW_FL_DDPG_OnlyCosts_v9
12,-1135.4712255183406,4152.651097487761,NEW_FL_DDPG_OnlyCosts_v9
12,-1135.47404885526,4153.532609795564,NEW_FL_DDPG_OnlyCosts_v9
27,-1051.8961594737957,3905.5989471510798,NEW_FL_DDPG_OnlyCosts_v9
27,-1051.6329808976752,3902.3254250445234,NEW_FL_DDPG_OnlyCosts_v9
27,-1051.6220024704382,3903.425991382343,NEW_FL_DDPG_OnlyCosts_v9
2,-1077.062393682715,3981.058813923694,NEW_FL_DDPG_OnlyCosts_v9
2,-1077.000192005748,3980.653056417872,NEW_FL_DDPG_OnlyCosts_v9
2,-1076.8330224776137,3978.9739021723694,NEW_FL_DDPG_OnlyCosts_v9
4,-914.5987876245702,3588.947532832527,NEW_FL_DDPG_OnlyCosts_v9
4,-914.3411681198229,3582.7101623972217,NEW_FL_DDPG_OnlyCosts_v9
4,-914.6308874357117,3588.0611995802974,NEW_FL_DDPG_OnlyCosts_v9
6,-2720.4220965698123,10253.094936071348,NEW_FL_DDPG_OnlyCosts_v9
6,-2720.3696575364675,10253.089624214508,NEW_FL_DDPG_OnlyCosts_v9
6,-2720.3363864801254,10252.07164439175,NEW_FL_DDPG_OnlyCosts_v9
9,-757.3046928200008,3035.967763818919,NEW_FL_DDPG_OnlyCosts_v9
9,-756.5731835603149,3028.3877611917533,NEW_FL_DDPG_OnlyCosts_v9
9,-757.3569161788771,3038.0620708816496,NEW_FL_DDPG_OnlyCosts_v9
10,-914.2588545592025,3508.3638558104303,NEW_FL_DDPG_OnlyCosts_v9
10,-914.4777954543424,3512.069165167144,NEW_FL_DDPG_OnlyCosts_v9
10,-914.6405280237764,3514.9104067035933,NEW_FL_DDPG_OnlyCosts_v9
14,-782.1778182797168,3001.0122292715637,NEW_FL_DDPG_OnlyCosts_v9
14,-781.6026856315335,2995.1526038474144,NEW_FL_DDPG_OnlyCosts_v9
14,-782.0272020315175,3000.5271275199057,NEW_FL_DDPG_OnlyCosts_v9
15,-608.6287570070108,2389.4237787876746,NEW_FL_DDPG_OnlyCosts_v9
15,-608.1383348347679,2383.2781292938357,NEW_FL_DDPG_OnlyCosts_v9
15,-608.4049546183334,2386.6050874476355,NEW_FL_DDPG_OnlyCosts_v9
18,-1565.0697295583523,5958.7729278289935,NEW_FL_DDPG_OnlyCosts_v9
18,-1565.0811132433464,5959.468906575511,NEW_FL_DDPG_OnlyCosts_v9
18,-1565.0332262995735,5959.331343527526,NEW_FL_DDPG_OnlyCosts_v9
25,-1352.3186450545847,4593.52299399209,NEW_FL_DDPG_OnlyCosts_v9
25,-1352.5382582140535,4596.709647249576,NEW_FL_DDPG_OnlyCosts_v9
25,-1352.5848105812474,4596.447025182465,NEW_FL_DDPG_OnlyCosts_v9
30,-613.7603402726232,2460.608549976204,NEW_FL_DDPG_OnlyCosts_v9
30,-613.7069923281422,2460.581096690574,NEW_FL_DDPG_OnlyCosts_v9
30,-612.3209341592305,2448.7912703892985,NEW_FL_DDPG_OnlyCosts_v9
20,-1420.1608373342526,5449.144984252834,NEW_FL_DDPG_OnlyCosts_v9
20,-1422.0655382671823,5463.541131426366,NEW_FL_DDPG_OnlyCosts_v9
20,-1422.343637446917,5464.325312416242,NEW_FL_DDPG_OnlyCosts_v9
26,-1788.0152735215693,6854.696248167072,NEW_FL_DDPG_OnlyCosts_v9
26,-1788.8219324698625,6864.621477372653,NEW_FL_DDPG_OnlyCosts_v9
26,-1788.7172607761186,6863.078670414399,NEW_FL_DDPG_OnlyCosts_v9
28,-627.4655681467617,2289.719742729819,NEW_FL_DDPG_OnlyCosts_v9
28,-627.3846928901772,2290.2975467815604,NEW_FL_DDPG_OnlyCosts_v9
28,-626.645379138614,2281.3983344873614,NEW_FL_DDPG_OnlyCosts_v9
13,-502.37863189367664,2017.087337514,NEW_FL_DDPG_OnlyCosts_v9
13,-502.3240918282948,2017.6092336898537,NEW_FL_DDPG_OnlyCosts_v9
13,-502.20488156612686,2016.278543960386,NEW_FL_DDPG_OnlyCosts_v9
17,-1755.6685031724385,6079.85071248546,NEW_FL_DDPG_OnlyCosts_v9
17,-1755.527681632154,6079.407596595851,NEW_FL_DDPG_OnlyCosts_v9
17,-1755.5979054534714,6080.008999151831,NEW_FL_DDPG_OnlyCosts_v9
21,-1937.6616867877533,7208.022607823721,NEW_FL_DDPG_OnlyCosts_v9
21,-1937.6987172243441,7208.619907088691,NEW_FL_DDPG_OnlyCosts_v9
21,-1937.6930276833648,7208.15124072024,NEW_FL_DDPG_OnlyCosts_v9
29,-938.0013397100232,3454.1044641021404,NEW_FL_DDPG_OnlyCosts_v9
29,-938.8554313423995,3460.7733920110386,NEW_FL_DDPG_OnlyCosts_v9
29,-938.6350606688206,3458.5476295452972,NEW_FL_DDPG_OnlyCosts_v9
8,-2778.511426066327,9973.254452945459,NEW_FL_DDPG_OnlyCosts_v9
8,-2779.4778187175466,9974.228492421451,NEW_FL_DDPG_OnlyCosts_v9
8,-2780.7085609711507,9982.143983272746,NEW_FL_DDPG_OnlyCosts_v9
3,-298.96813651588883,1365.7604363273565,NEW_FL_DDPG_OnlyCosts_v9
3,-295.8617094005107,1346.0847901451987,NEW_FL_DDPG_OnlyCosts_v9
3,-298.4528127793312,1362.9851613254311,NEW_FL_DDPG_OnlyCosts_v9
5,-1073.0656200536796,4230.199106960191,NEW_FL_DDPG_OnlyCosts_v9
5,-1073.7690496901728,4236.644436492269,NEW_FL_DDPG_OnlyCosts_v9
5,-1074.60326072368,4242.836224721583,NEW_FL_DDPG_OnlyCosts_v9
22,-766.3920613423809,2857.998108760212,NEW_FL_DDPG_OnlyCosts_v9
22,-766.716799876819,2861.815856058998,NEW_FL_DDPG_OnlyCosts_v9
22,-766.5827648745196,2860.4436781528652,NEW_FL_DDPG_OnlyCosts_v9
23,-970.9960748793391,3578.0515762007753,NEW_FL_DDPG_OnlyCosts_v9
23,-972.1553502643313,3584.6719379494134,NEW_FL_DDPG_OnlyCosts_v9
23,-972.1275910205575,3583.31948656048,NEW_FL_DDPG_OnlyCosts_v9
