Building,Total Profit,Total Emissions,Setup
7,-796.7402172216628,3930.5872759672507,FL_PPO_OnlyCosts_Table3_v2
7,-901.0411368498512,4466.596940057237,FL_PPO_OnlyCosts_Table3_v2
7,-803.5577782158673,3955.110819166151,FL_PPO_OnlyCosts_Table3_v2
3,-358.07272799786193,1732.9009178312558,FL_PPO_OnlyCosts_Table3_v2
3,-358.0715795952092,1732.9014628907503,FL_PPO_OnlyCosts_Table3_v2
3,-358.0727256242071,1732.9009189591034,FL_PPO_OnlyCosts_Table3_v2
4,-985.489286837986,4089.0068873901396,FL_PPO_OnlyCosts_Table3_v2
4,-985.4892891053347,4089.006886660136,FL_PPO_OnlyCosts_Table3_v2
4,-985.4868162730364,4089.0081348850563,FL_PPO_OnlyCosts_Table3_v2
5,-1108.3357078620204,4536.154838328083,FL_PPO_OnlyCosts_Table3_v2
5,-1108.3356002215323,4536.154907606638,FL_PPO_OnlyCosts_Table3_v2
5,-1108.3358225197944,4536.154788938434,FL_PPO_OnlyCosts_Table3_v2
9,-874.3591123480219,3783.3875282854797,FL_PPO_OnlyCosts_Table3_v2
9,-874.359119582588,3783.3875256110646,FL_PPO_OnlyCosts_Table3_v2
9,-874.3591195878619,3783.3875256063507,FL_PPO_OnlyCosts_Table3_v2
10,-1019.7242517478647,4208.507134092032,FL_PPO_OnlyCosts_Table3_v2
10,-1019.7242517478647,4208.507134092032,FL_PPO_OnlyCosts_Table3_v2
10,-1019.7235939893236,4208.5074219036605,FL_PPO_OnlyCosts_Table3_v2
11,-1223.1621682378625,5009.394752558795,FL_PPO_OnlyCosts_Table3_v2
11,-1223.1621682378625,5009.394752558795,FL_PPO_OnlyCosts_Table3_v2
11,-1223.1619049349927,5009.3948840751855,FL_PPO_OnlyCosts_Table3_v2
16,-1252.3911262252898,5229.369213686032,FL_PPO_OnlyCosts_Table3_v2
16,-1252.3911262678714,5229.369213665733,FL_PPO_OnlyCosts_Table3_v2
16,-1252.3911181338924,5229.369218520171,FL_PPO_OnlyCosts_Table3_v2
23,-1062.4303866278565,3967.2007076414047,FL_PPO_OnlyCosts_Table3_v2
23,-1062.4303866278565,3967.2007076414047,FL_PPO_OnlyCosts_Table3_v2
