Building,Total Profit,Total Emissions,Setup
7,-819.5607210906261,4071.3030908674923,FL_TD3_9Cluster_OnlyCost_Table3
7,-821.4326059444858,4081.1723177672175,FL_TD3_9Cluster_OnlyCost_Table3
7,-821.1107112262008,4079.5556782760605,FL_TD3_9Cluster_OnlyCost_Table3
16,-1223.868689459397,5041.5833996387755,FL_TD3_9Cluster_OnlyCost_Table3
16,-1223.749999690899,5039.868204968564,FL_TD3_9Cluster_OnlyCost_Table3
16,-1224.3830197300663,5044.79103064979,FL_TD3_9Cluster_OnlyCost_Table3
19,-383.4773232001795,1665.5077022997789,FL_TD3_9Cluster_OnlyCost_Table3
19,-383.46974029226317,1665.3562608834343,FL_TD3_9Cluster_OnlyCost_Table3
19,-383.4172161758572,1665.05336330197,FL_TD3_9Cluster_OnlyCost_Table3
24,-562.1396266739207,3451.0723336799215,FL_TD3_9Cluster_OnlyCost_Table3
24,-563.9890182514023,3463.5214487479493,FL_TD3_9Cluster_OnlyCost_Table3
24,-563.5896761961594,3461.1594399227556,FL_TD3_9Cluster_OnlyCost_Table3
1,-1239.9011322941026,6275.700240632944,FL_TD3_9Cluster_OnlyCost_Table3
1,-1239.8425819095137,6275.440439592681,FL_TD3_9Cluster_OnlyCost_Table3
1,-1239.843840193189,6275.443604751398,FL_TD3_9Cluster_OnlyCost_Table3
11,-1206.0217049573341,4913.3468749049025,FL_TD3_9Cluster_OnlyCost_Table3
11,-1206.0353920188338,4913.588818253138,FL_TD3_9Cluster_OnlyCost_Table3
11,-1206.0321128220046,4913.53885356453,FL_TD3_9Cluster_OnlyCost_Table3
12,-1146.5486897485418,4247.660756930248,FL_TD3_9Cluster_OnlyCost_Table3
12,-1146.5463685598324,4247.605934035215,FL_TD3_9Cluster_OnlyCost_Table3
12,-1146.5450980311548,4247.606937010324,FL_TD3_9Cluster_OnlyCost_Table3
27,-1121.0795855489282,4449.492551096324,FL_TD3_9Cluster_OnlyCost_Table3
27,-1121.075400726415,4449.496187045306,FL_TD3_9Cluster_OnlyCost_Table3
27,-1121.0764744287321,4449.509181247435,FL_TD3_9Cluster_OnlyCost_Table3
2,-1156.0789855264422,4437.1564541041525,FL_TD3_9Cluster_OnlyCost_Table3
2,-1155.4588815002303,4433.800489360465,FL_TD3_9Cluster_OnlyCost_Table3
2,-1155.8110850395149,4435.427778364786,FL_TD3_9Cluster_OnlyCost_Table3
4,-967.4022882258768,3999.541637307327,FL_TD3_9Cluster_OnlyCost_Table3
4,-967.376447055104,3999.4053917230804,FL_TD3_9Cluster_OnlyCost_Table3
4,-967.3460116678685,3999.391881415844,FL_TD3_9Cluster_OnlyCost_Table3
6,-2765.065774274012,10606.01410881169,FL_TD3_9Cluster_OnlyCost_Table3
6,-2764.9384117563877,10607.313614941066,FL_TD3_9Cluster_OnlyCost_Table3
6,-2765.030714369654,10607.684774070642,FL_TD3_9Cluster_OnlyCost_Table3
9,-864.8991072617595,3735.960394558108,FL_TD3_9Cluster_OnlyCost_Table3
9,-864.5999689420972,3734.656786510472,FL_TD3_9Cluster_OnlyCost_Table3
9,-864.5739405906861,3734.3351449831634,FL_TD3_9Cluster_OnlyCost_Table3
10,-1002.5815008574618,4127.550455639361,FL_TD3_9Cluster_OnlyCost_Table3
10,-1002.5933263662837,4127.481969117658,FL_TD3_9Cluster_OnlyCost_Table3
10,-1002.4513978756227,4126.66379258005,FL_TD3_9Cluster_OnlyCost_Table3
14,-879.1270492291126,3619.049417289184,FL_TD3_9Cluster_OnlyCost_Table3
14,-879.1741680892479,3619.776626623816,FL_TD3_9Cluster_OnlyCost_Table3
14,-879.1036576519074,3619.0071374333556,FL_TD3_9Cluster_OnlyCost_Table3
15,-673.0074563699933,2822.1568090252094,FL_TD3_9Cluster_OnlyCost_Table3
15,-672.9071650252966,2821.3508778167625,FL_TD3_9Cluster_OnlyCost_Table3
15,-672.9106181386236,2821.4870167912404,FL_TD3_9Cluster_OnlyCost_Table3
18,-1684.6418805438077,6753.609657629416,FL_TD3_9Cluster_OnlyCost_Table3
18,-1684.8080129286084,6755.325827085943,FL_TD3_9Cluster_OnlyCost_Table3
18,-1684.711616086829,6754.570931238497,FL_TD3_9Cluster_OnlyCost_Table3
25,-1424.7803649724956,5020.998336646893,FL_TD3_9Cluster_OnlyCost_Table3
25,-1424.187123730645,5018.229813076137,FL_TD3_9Cluster_OnlyCost_Table3
25,-1424.7871067899473,5020.89374132949,FL_TD3_9Cluster_OnlyCost_Table3
30,-708.1827499784245,3067.0643210930916,FL_TD3_9Cluster_OnlyCost_Table3
30,-707.9545916242943,3065.8678060071124,FL_TD3_9Cluster_OnlyCost_Table3
30,-708.0584090176225,3066.27989423353,FL_TD3_9Cluster_OnlyCost_Table3
20,-1498.1605212582272,5923.620800534888,FL_TD3_9Cluster_OnlyCost_Table3
20,-1498.704159741802,5925.01801325009,FL_TD3_9Cluster_OnlyCost_Table3
20,-1498.5622608896804,5924.522885163446,FL_TD3_9Cluster_OnlyCost_Table3
26,-1827.9823526015437,7154.238937530745,FL_TD3_9Cluster_OnlyCost_Table3
26,-1826.898748315352,7145.7912374960415,FL_TD3_9Cluster_OnlyCost_Table3
26,-1826.7682814092082,7144.575411203021,FL_TD3_9Cluster_OnlyCost_Table3
28,-662.4773141927254,2508.923476382754,FL_TD3_9Cluster_OnlyCost_Table3
28,-662.1324034812748,2507.169744104315,FL_TD3_9Cluster_OnlyCost_Table3
28,-662.2280140258522,2507.7845182305655,FL_TD3_9Cluster_OnlyCost_Table3
13,-685.5306123937909,3117.7004310300595,FL_TD3_9Cluster_OnlyCost_Table3
13,-683.8357787100615,3107.541356587295,FL_TD3_9Cluster_OnlyCost_Table3
13,-683.8422515931298,3106.9232347126767,FL_TD3_9Cluster_OnlyCost_Table3
17,-1837.1537598088053,6610.238960977147,FL_TD3_9Cluster_OnlyCost_Table3
17,-1835.7253920949208,6603.937460781966,FL_TD3_9Cluster_OnlyCost_Table3
17,-1836.1519686416254,6606.894914124801,FL_TD3_9Cluster_OnlyCost_Table3
21,-1983.8832825119125,7591.7605713515995,FL_TD3_9Cluster_OnlyCost_Table3
21,-1983.3391999650858,7587.73744406107,FL_TD3_9Cluster_OnlyCost_Table3
21,-1983.3706327896787,7587.519415549936,FL_TD3_9Cluster_OnlyCost_Table3
29,-1056.9314216776509,4139.302561090864,FL_TD3_9Cluster_OnlyCost_Table3
29,-1056.793899150484,4138.698364452693,FL_TD3_9Cluster_OnlyCost_Table3
29,-1056.8928316645195,4139.24528331379,FL_TD3_9Cluster_OnlyCost_Table3
8,-2779.724427158393,10024.232072333873,FL_TD3_9Cluster_OnlyCost_Table3
8,-2778.6465722664893,10020.678609678767,FL_TD3_9Cluster_OnlyCost_Table3
8,-2778.52117420137,10019.15628506217,FL_TD3_9Cluster_OnlyCost_Table3
3,-381.1948385462176,1609.2820546165735,FL_TD3_9Cluster_OnlyCost_Table3
3,-381.19871291864416,1609.3020642757454,FL_TD3_9Cluster_OnlyCost_Table3
3,-381.19367787669546,1609.2800413786451,FL_TD3_9Cluster_OnlyCost_Table3
5,-1125.435326752418,4280.954038971106,FL_TD3_9Cluster_OnlyCost_Table3
5,-1125.438031411327,4280.991458806473,FL_TD3_9Cluster_OnlyCost_Table3
