Building,Total Profit,Total Emissions,Setup,Time
1,-962.5295448389418,4120.033246289223,LL_DDPG_OnlyCost_Table3,15320.385212182999
1,-968.4739168540249,4425.446840024749,LL_DDPG_OnlyCost_Table3,15320.385212182999
1,-942.1030430365323,4311.623957686404,LL_DDPG_OnlyCost_Table3,15320.385212182999
2,-1153.4966615177009,4283.488141777716,LL_DDPG_OnlyCost_Table3,15320.385212182999
2,-1155.7177589895912,4362.20957169121,LL_DDPG_OnlyCost_Table3,15320.385212182999
2,-1169.5426847646263,4426.587766579953,LL_DDPG_OnlyCost_Table3,15320.385212182999
3,-297.416207476003,1270.3633605455834,LL_DDPG_OnlyCost_Table3,15320.385212182999
3,-283.5803245255231,1244.8827115184752,LL_DDPG_OnlyCost_Table3,15320.385212182999
3,-299.47268555336615,1319.7617698047684,LL_DDPG_OnlyCost_Table3,15320.385212182999
4,-971.7341888948231,4016.4226862713804,LL_DDPG_OnlyCost_Table3,15320.385212182999
4,-961.3819824967271,3944.714203686315,LL_DDPG_OnlyCost_Table3,15320.385212182999
4,-983.9111619091649,4084.0918457171115,LL_DDPG_OnlyCost_Table3,15320.385212182999
5,-1100.5940818666668,4504.390461260507,LL_DDPG_OnlyCost_Table3,15320.385212182999
5,-1062.9387176518992,4102.750339057691,LL_DDPG_OnlyCost_Table3,15320.385212182999
5,-1090.6449447413106,4409.612493383578,LL_DDPG_OnlyCost_Table3,15320.385212182999
6,-2736.3858955370265,10452.153852441797,LL_DDPG_OnlyCost_Table3,15320.385212182999
6,-2762.467010097758,10605.240213637793,LL_DDPG_OnlyCost_Table3,15320.385212182999
6,-2729.7113387537293,10191.033452658465,LL_DDPG_OnlyCost_Table3,15320.385212182999
7,-598.8639721352745,2657.0087471452202,LL_DDPG_OnlyCost_Table3,15320.385212182999
7,-645.2974560144279,3007.5320207769573,LL_DDPG_OnlyCost_Table3,15320.385212182999
7,-744.3937862521151,3550.229454377372,LL_DDPG_OnlyCost_Table3,15320.385212182999
8,-2754.2118388806316,9900.111293400894,LL_DDPG_OnlyCost_Table3,15320.385212182999
8,-2786.471748325957,9780.543971881176,LL_DDPG_OnlyCost_Table3,15320.385212182999
8,-2753.770064226316,9692.875254372559,LL_DDPG_OnlyCost_Table3,15320.385212182999
9,-868.2442359495768,3752.46284480595,LL_DDPG_OnlyCost_Table3,15320.385212182999
9,-857.0703196398316,3660.2865365539105,LL_DDPG_OnlyCost_Table3,15320.385212182999
9,-866.7222675359617,3741.493043859693,LL_DDPG_OnlyCost_Table3,15320.385212182999
10,-1023.4092448191269,3807.291517274474,LL_DDPG_OnlyCost_Table3,15320.385212182999
10,-1215.1523170730122,5166.280717553598,LL_DDPG_OnlyCost_Table3,15320.385212182999
10,-1052.2823436921315,4006.014429016923,LL_DDPG_OnlyCost_Table3,15320.385212182999
11,-1120.3021530969393,3905.18251926652,LL_DDPG_OnlyCost_Table3,15320.385212182999
11,-1178.7100537530416,4757.954936406453,LL_DDPG_OnlyCost_Table3,15320.385212182999
11,-1089.2354409258214,3972.003079332327,LL_DDPG_OnlyCost_Table3,15320.385212182999
12,-1145.2960899328677,4227.869812068438,LL_DDPG_OnlyCost_Table3,15320.385212182999
12,-1149.7850997482296,4270.660158418945,LL_DDPG_OnlyCost_Table3,15320.385212182999
12,-1152.516443237793,4287.403606961806,LL_DDPG_OnlyCost_Table3,15320.385212182999
13,-588.9796293180356,2484.821495871535,LL_DDPG_OnlyCost_Table3,15320.385212182999
13,-569.3475696534779,2397.2986412921045,LL_DDPG_OnlyCost_Table3,15320.385212182999
13,-580.0668301044985,2471.7483132010866,LL_DDPG_OnlyCost_Table3,15320.385212182999
14,-879.8898311808177,3631.1991432876484,LL_DDPG_OnlyCost_Table3,15320.385212182999
