Building,Total Profit,Total Emissions,Setup,Time
1,-1282.2976716283242,6532.39463026407,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
1,-1307.9661606347602,6584.038436368358,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
1,-1266.1511339910128,6431.124609565327,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
2,-1316.491066523585,5174.707990656509,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
2,-1168.1582586463683,4502.081737777825,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
2,-1144.9962531301978,4385.595546285977,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
3,-358.072724970194,1732.900919059105,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
3,-358.0726131176482,1732.900955525166,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
3,-466.7565497498372,2287.536771018849,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
4,-1075.3348978152421,4438.117872356602,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
4,-1045.6924135794607,4383.247757924937,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
4,-1002.031343968005,4079.6034058486966,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
5,-1119.5543802964862,4603.976745591992,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
5,-1157.5973368410496,4702.895845230799,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
5,-1120.8670417597964,4512.539709358921,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
6,-2776.0936871110894,10656.500164113228,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
6,-2750.642854116663,10493.890755816903,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
6,-2772.455781216625,10647.106688293261,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
7,-807.3944122779003,3956.8652349848203,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
7,-764.1004368970409,3707.068542493533,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
7,-728.6480961011619,3483.5969079947904,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
8,-2753.079910414722,9908.687172254713,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
8,-2877.9104054424142,10412.149006232223,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
8,-2935.4633150736086,10532.142842842315,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
9,-857.376150729095,3634.386850969515,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
9,-874.3589956712455,3783.3875784188363,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
9,-897.438117184655,3814.532803406398,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
10,-1166.9728154462437,4935.923861176159,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
10,-1123.2258463155806,4769.158085170914,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
10,-1068.2227224303454,4445.498837192507,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
11,-1280.657230281444,5358.753824777322,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
11,-1193.401027632298,4806.257395209198,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
11,-1203.1601761735717,4855.662425747977,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
12,-1147.0222399871234,4179.375742222826,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
12,-1189.683949489908,4314.674538497428,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
12,-1170.769620890529,4409.695269013822,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
13,-679.9998218489052,3059.48742780483,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
13,-630.1793897554944,2731.622137911948,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
13,-674.4875559864184,3003.332444731671,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
14,-898.3982571168797,3720.293893044256,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
14,-910.6258072820254,3794.6755899974805,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
14,-1003.1188782919348,4157.630736096366,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
15,-685.5153740399732,2888.716655757322,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
15,-695.6852704572569,2867.6718286124915,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
15,-677.391223113417,2771.978503188089,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
16,-1304.252001258214,5421.071253486243,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
16,-1252.3909610712212,5229.369270748926,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
16,-1219.298754892404,5033.1894899148265,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
17,-1836.0735823530395,6447.634625086413,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
17,-1858.6447921067781,6708.94606836827,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
17,-1896.4555195007426,6925.280230892847,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
18,-1759.41209007776,7098.495900355089,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
18,-1708.655504574043,6912.37706414257,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
18,-1699.8039577262605,6877.333342569664,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
19,-431.8041382517572,1922.7582135641,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
19,-396.56998721023166,1675.9886813430767,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
19,-376.3356521978315,1551.0320826545778,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
20,-1459.5750700697427,5536.457812325413,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
20,-1511.7185520957155,6004.313147592548,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
20,-1572.021307818316,6347.825512957148,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
21,-1981.330721748952,7560.691231795952,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
21,-1981.0795169203877,7281.851039172595,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
21,-1991.9806580418092,7521.679125294461,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
22,-840.3148426771313,3214.2686775045395,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
22,-829.6425864615641,3178.4520932559,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
22,-836.4050348216432,3233.9939981644034,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
23,-1119.1642658840744,4432.149048789329,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
23,-1065.7699104811425,3864.694783934311,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
23,-1078.8986988917286,4163.440153170347,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
24,-614.1411489293599,3798.3013667037276,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
24,-617.811824282078,3820.862118000075,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
24,-555.7710065044871,3381.811688797206,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
25,-1496.806331322935,5411.34155812889,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
25,-1444.4059028637687,5143.850709986672,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
25,-1431.402249547834,5057.910985715475,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
26,-1898.352840342911,7435.585836884192,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
26,-1888.6229512168818,7342.15377658404,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
26,-1805.9660291293185,6894.849292212882,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
27,-1126.2111869526473,4475.208662566409,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
27,-1155.0372567868703,4659.281655500219,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
27,-1246.7442451412371,4727.43630472718,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
28,-668.6304921657506,2549.5919943569947,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
28,-672.9021841465126,2534.0391398298652,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
28,-674.9623827094667,2534.1954486927566,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
29,-1062.1730287788796,4147.961858784584,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
29,-1135.4443738992225,4547.9595348276935,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
29,-1039.5080946119213,4042.550446966734,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
30,-853.6912834116732,3789.5168722799644,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
30,-736.6248690298704,3189.3863352616386,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
30,-767.5740504760811,3349.3940586913336,LL_SAC_OnlyCost_Table3_v2,22453.86280632019
