Household,Profit,Emissions
1,-1827.937379890002,9885.626364006983
2,-1697.7443688999992,7740.160268754865
3,-983.8233977900013,5508.112932332306
4,-1582.682869040001,7702.499307154897
5,-1667.7349800699901,7915.6576858122235
6,-3224.7504441499973,13529.148192310831
7,-1366.420013419991,7414.581579759934
8,-3117.218901469985,12324.111585385399
9,-1416.453683270004,7107.133146435423
10,-1576.0738464099975,7600.768266578273
11,-1728.5088137699959,8127.799922162705
12,-1708.2949023900026,7677.357997500018
13,-1217.263974859996,6417.555577953849
14,-1482.5955497299994,7267.323744214732
15,-1297.2580062750026,6553.436713790975
16,-1729.0458771500073,8254.024209537702
17,-2292.107758939997,9507.782491560414
18,-2203.1388850799945,9959.126224432763
19,-1019.3548883600056,5492.206793761407
20,-2016.3100791800016,9174.224161360235
21,-2445.3894816099946,10470.728338275569
22,-1432.0372194450026,6830.69326217736
23,-1614.4188497599982,7363.820814148689
24,-1119.48480039,6942.0218717702355
25,-1909.5996051800082,8141.029198236377
26,-2363.081232730009,10428.12586922107
27,-1655.511818089999,7721.553329067022
28,-1261.4818285450053,6147.549198257125
29,-1567.4776131899991,7321.899203632018
30,-1326.8000540299938,6798.795592055742
