Building,Total Profit,Total Emissions,Setup
7,-793.5300297600002,3916.97349463678,NEW_FL_PPO_OnlyEmissions_v5
7,-793.5300297600002,3916.97349463678,NEW_FL_PPO_OnlyEmissions_v5
7,-793.5300297600002,3916.97349463678,NEW_FL_PPO_OnlyEmissions_v5
3,-354.8583669999963,1719.2886666884938,NEW_FL_PPO_OnlyEmissions_v5
3,-354.8583669999963,1719.2886666884938,NEW_FL_PPO_OnlyEmissions_v5
3,-354.8583669999963,1719.2886666884938,NEW_FL_PPO_OnlyEmissions_v5
4,-982.2749281299997,4075.3946355054195,NEW_FL_PPO_OnlyEmissions_v5
4,-982.2749281299997,4075.3946355054195,NEW_FL_PPO_OnlyEmissions_v5
4,-982.2749281299997,4075.3946355054195,NEW_FL_PPO_OnlyEmissions_v5
5,-1105.1214783000007,4522.542528608434,NEW_FL_PPO_OnlyEmissions_v5
5,-1105.1214783000007,4522.542528608434,NEW_FL_PPO_OnlyEmissions_v5
5,-1105.1214783000007,4522.542528608434,NEW_FL_PPO_OnlyEmissions_v5
9,-871.1447585899972,3769.775274463588,NEW_FL_PPO_OnlyEmissions_v5
9,-871.1447585899972,3769.775274463588,NEW_FL_PPO_OnlyEmissions_v5
9,-871.1447585899972,3769.775274463588,NEW_FL_PPO_OnlyEmissions_v5
10,-1016.5098907499993,4194.894882949273,NEW_FL_PPO_OnlyEmissions_v5
10,-1016.5098907499993,4194.894882949273,NEW_FL_PPO_OnlyEmissions_v5
10,-1016.5098907499993,4194.894882949273,NEW_FL_PPO_OnlyEmissions_v5
11,-1219.9478072399977,4995.782501416036,NEW_FL_PPO_OnlyEmissions_v5
11,-1219.9478072399977,4995.782501416036,NEW_FL_PPO_OnlyEmissions_v5
11,-1219.9478072399977,4995.782501416036,NEW_FL_PPO_OnlyEmissions_v5
16,-1249.1767652700064,5215.756962522972,NEW_FL_PPO_OnlyEmissions_v5
16,-1249.1767652700064,5215.756962522972,NEW_FL_PPO_OnlyEmissions_v5
16,-1249.1767652700064,5215.756962522972,NEW_FL_PPO_OnlyEmissions_v5
23,-1059.2160256299896,3953.5884564986422,NEW_FL_PPO_OnlyEmissions_v5
23,-1059.2160256299896,3953.5884564986422,NEW_FL_PPO_OnlyEmissions_v5
23,-1059.2160256299896,3953.5884564986422,NEW_FL_PPO_OnlyEmissions_v5
25,-1436.2570832300134,5083.0194342700515,NEW_FL_PPO_OnlyEmissions_v5
25,-1436.2570832300134,5083.0194342700515,NEW_FL_PPO_OnlyEmissions_v5
25,-1436.2570832300134,5083.0194342700515,NEW_FL_PPO_OnlyEmissions_v5
26,-1829.6717626499917,7159.111595627512,NEW_FL_PPO_OnlyEmissions_v5
26,-1829.6717626499917,7159.111595627512,NEW_FL_PPO_OnlyEmissions_v5
26,-1829.6717626499917,7159.111595627512,NEW_FL_PPO_OnlyEmissions_v5
27,-1126.5292601200008,4484.678094109231,NEW_FL_PPO_OnlyEmissions_v5
27,-1126.5292601200008,4484.678094109231,NEW_FL_PPO_OnlyEmissions_v5
27,-1126.5292601200008,4484.678094109231,NEW_FL_PPO_OnlyEmissions_v5
30,-719.3822283599966,3128.5085813383375,NEW_FL_PPO_OnlyEmissions_v5
30,-719.3822283599966,3128.5085813383375,NEW_FL_PPO_OnlyEmissions_v5
30,-719.3822283599966,3128.5085813383375,NEW_FL_PPO_OnlyEmissions_v5
1,-1262.9367756299955,6417.51235744809,NEW_FL_PPO_OnlyEmissions_v5
1,-1262.9367756299955,6417.51235744809,NEW_FL_PPO_OnlyEmissions_v5
1,-1262.9367756299955,6417.51235744809,NEW_FL_PPO_OnlyEmissions_v5
24,-588.19817244,3627.0301260664946,NEW_FL_PPO_OnlyEmissions_v5
24,-588.19817244,3627.0301260664946,NEW_FL_PPO_OnlyEmissions_v5
24,-588.19817244,3627.0301260664946,NEW_FL_PPO_OnlyEmissions_v5
12,-1152.605975480899,4284.774276598109,NEW_FL_PPO_OnlyEmissions_v5
12,-1152.6007867894652,4284.898955788377,NEW_FL_PPO_OnlyEmissions_v5
12,-1152.6080877144582,4284.668860703313,NEW_FL_PPO_OnlyEmissions_v5
13,-690.5802983716543,3126.1667400525034,NEW_FL_PPO_OnlyEmissions_v5
13,-690.5792115597698,3126.179767245811,NEW_FL_PPO_OnlyEmissions_v5
13,-690.5814095842085,3126.152597977671,NEW_FL_PPO_OnlyEmissions_v5
14,-898.3374636727277,3717.304205972596,NEW_FL_PPO_OnlyEmissions_v5
14,-898.3412544097399,3717.248073529824,NEW_FL_PPO_OnlyEmissions_v5
14,-898.347907782944,3717.415692008677,NEW_FL_PPO_OnlyEmissions_v5
15,-687.3381526652536,2888.7863934640613,NEW_FL_PPO_OnlyEmissions_v5
15,-687.3391171409553,2888.7338780491327,NEW_FL_PPO_OnlyEmissions_v5
15,-687.3385845899509,2888.777732561111,NEW_FL_PPO_OnlyEmissions_v5
19,-400.70431435636254,1766.0104819948278,NEW_FL_PPO_OnlyEmissions_v5
19,-400.7381365855669,1766.1810901772403,NEW_FL_PPO_OnlyEmissions_v5
19,-400.7453879632097,1766.2270437787054,NEW_FL_PPO_OnlyEmissions_v5
20,-1511.5410869393536,6001.3326251333465,NEW_FL_PPO_OnlyEmissions_v5
20,-1511.331569741416,6000.377270922578,NEW_FL_PPO_OnlyEmissions_v5
20,-1511.3298656744455,6000.391141332222,NEW_FL_PPO_OnlyEmissions_v5
22,-829.6486551595258,3175.7434800344117,NEW_FL_PPO_OnlyEmissions_v5
22,-829.6125067713704,3175.479178636322,NEW_FL_PPO_OnlyEmissions_v5
22,-829.6357667260097,3175.608613336686,NEW_FL_PPO_OnlyEmissions_v5
28,-668.7600974763427,2547.1618645409053,NEW_FL_PPO_OnlyEmissions_v5
28,-668.7611208038117,2547.0356227115735,NEW_FL_PPO_OnlyEmissions_v5
28,-668.761708355156,2547.0937861298194,NEW_FL_PPO_OnlyEmissions_v5
29,-1062.2658870026983,4145.788212656278,NEW_FL_PPO_OnlyEmissions_v5
29,-1062.2900366131419,4145.381591603777,NEW_FL_PPO_OnlyEmissions_v5
29,-1062.2869884374134,4145.4198088750145,NEW_FL_PPO_OnlyEmissions_v5
6,-2772.8793262699955,10642.88791292505,NEW_FL_PPO_OnlyEmissions_v5
6,-2772.8793262699955,10642.88791292505,NEW_FL_PPO_OnlyEmissions_v5
6,-2772.8793262699955,10642.88791292505,NEW_FL_PPO_OnlyEmissions_v5
17,-1842.590061299998,6625.142563719071,NEW_FL_PPO_OnlyEmissions_v5
17,-1842.590061299998,6625.142563719071,NEW_FL_PPO_OnlyEmissions_v5
17,-1842.590061299998,6625.142563719071,NEW_FL_PPO_OnlyEmissions_v5
8,-2750.9978333000104,9886.498925287273,NEW_FL_PPO_OnlyEmissions_v5
8,-2750.9978333000104,9886.498925287273,NEW_FL_PPO_OnlyEmissions_v5
8,-2750.9978333000104,9886.498925287273,NEW_FL_PPO_OnlyEmissions_v5
2,-1165.7040444699956,4486.300561874969,NEW_FL_PPO_OnlyEmissions_v5
2,-1165.7040444699956,4486.300561874969,NEW_FL_PPO_OnlyEmissions_v5
2,-1165.7040444699956,4486.300561874969,NEW_FL_PPO_OnlyEmissions_v5
18,-1696.248853639994,6825.588934166395,NEW_FL_PPO_OnlyEmissions_v5
18,-1696.248853639994,6825.588934166395,NEW_FL_PPO_OnlyEmissions_v5
18,-1696.248853639994,6825.588934166395,NEW_FL_PPO_OnlyEmissions_v5
21,-1990.0889992979025,7597.280880530464,NEW_FL_PPO_OnlyEmissions_v5
21,-1990.0670368763424,7596.919250195088,NEW_FL_PPO_OnlyEmissions_v5
21,-1990.1916515887694,7597.668525749073,NEW_FL_PPO_OnlyEmissions_v5
