Building,Total Profit,Total Emissions,Setup
7,-884.5676611733029,4268.427552964448,NEW_FL_SAC_OnlyEmissions_v6
7,-890.333893701738,4303.692555088283,NEW_FL_SAC_OnlyEmissions_v6
7,-890.2609586266949,4303.098315968728,NEW_FL_SAC_OnlyEmissions_v6
3,-354.91353044820045,1719.5076502540903,NEW_FL_SAC_OnlyEmissions_v6
3,-354.91234611629085,1719.5031635475898,NEW_FL_SAC_OnlyEmissions_v6
3,-354.9133014398635,1719.5064176496974,NEW_FL_SAC_OnlyEmissions_v6
4,-982.9232197743041,4077.6754571218544,NEW_FL_SAC_OnlyEmissions_v6
4,-982.9414691474465,4077.738791038866,NEW_FL_SAC_OnlyEmissions_v6
4,-982.9392329044746,4077.731332519414,NEW_FL_SAC_OnlyEmissions_v6
5,-1105.3655092162517,4523.384631766364,NEW_FL_SAC_OnlyEmissions_v6
5,-1105.373221070589,4523.41166127146,NEW_FL_SAC_OnlyEmissions_v6
5,-1105.3709005782166,4523.403349513874,NEW_FL_SAC_OnlyEmissions_v6
9,-871.1370237776239,3769.8088382100364,NEW_FL_SAC_OnlyEmissions_v6
9,-871.1367328533521,3769.8072128949425,NEW_FL_SAC_OnlyEmissions_v6
9,-871.1365466021552,3769.806551999982,NEW_FL_SAC_OnlyEmissions_v6
10,-1017.3700796933405,4197.861652579123,NEW_FL_SAC_OnlyEmissions_v6
10,-1017.3404243060812,4197.761536894544,NEW_FL_SAC_OnlyEmissions_v6
10,-1017.3498876202748,4197.792918414957,NEW_FL_SAC_OnlyEmissions_v6
11,-1220.3336325979178,4997.227221682901,NEW_FL_SAC_OnlyEmissions_v6
11,-1220.3078655640259,4997.134172944988,NEW_FL_SAC_OnlyEmissions_v6
11,-1220.311625881977,4997.1475899798525,NEW_FL_SAC_OnlyEmissions_v6
16,-1249.3095255650119,5216.281401723851,NEW_FL_SAC_OnlyEmissions_v6
16,-1249.3013887155823,5216.252716228311,NEW_FL_SAC_OnlyEmissions_v6
16,-1249.3031243471517,5216.258471181577,NEW_FL_SAC_OnlyEmissions_v6
23,-1059.3673057594224,3954.14146022007,NEW_FL_SAC_OnlyEmissions_v6
23,-1059.3584886110157,3954.1113762008445,NEW_FL_SAC_OnlyEmissions_v6
23,-1059.3596627929062,3954.115573929282,NEW_FL_SAC_OnlyEmissions_v6
25,-1436.583599397468,5084.158985301366,NEW_FL_SAC_OnlyEmissions_v6
25,-1436.5899853490816,5084.181322431547,NEW_FL_SAC_OnlyEmissions_v6
25,-1436.5942124995324,5084.196046245365,NEW_FL_SAC_OnlyEmissions_v6
26,-1830.3048409918188,7161.273222107766,NEW_FL_SAC_OnlyEmissions_v6
26,-1830.302351544808,7161.26473124703,NEW_FL_SAC_OnlyEmissions_v6
26,-1830.3178379977549,7161.316807047058,NEW_FL_SAC_OnlyEmissions_v6
27,-1126.8658711090864,4485.846373152902,NEW_FL_SAC_OnlyEmissions_v6
27,-1126.856322143631,4485.81345035572,NEW_FL_SAC_OnlyEmissions_v6
27,-1126.857642800682,4485.81828683616,NEW_FL_SAC_OnlyEmissions_v6
30,-719.5056538097186,3129.0339659635715,NEW_FL_SAC_OnlyEmissions_v6
30,-719.5092401316462,3129.0459198910357,NEW_FL_SAC_OnlyEmissions_v6
30,-719.5095207588665,3129.046859668332,NEW_FL_SAC_OnlyEmissions_v6
1,-1255.0416818859421,6375.998962101097,NEW_FL_SAC_OnlyEmissions_v6
1,-1254.9641310434376,6375.456861804956,NEW_FL_SAC_OnlyEmissions_v6
1,-1254.9557231271144,6375.4209349447,NEW_FL_SAC_OnlyEmissions_v6
24,-612.195922804024,3726.154412020061,NEW_FL_SAC_OnlyEmissions_v6
24,-611.8860529591367,3723.3766478491025,NEW_FL_SAC_OnlyEmissions_v6
24,-611.809591629393,3722.7862718942592,NEW_FL_SAC_OnlyEmissions_v6
12,-1136.7692053308065,3806.936235989938,NEW_FL_SAC_OnlyEmissions_v6
12,-1136.7737146189902,3805.801593505534,NEW_FL_SAC_OnlyEmissions_v6
12,-1136.7981276019734,3804.6848675583897,NEW_FL_SAC_OnlyEmissions_v6
13,-606.4598461937932,2546.7363478863635,NEW_FL_SAC_OnlyEmissions_v6
13,-606.9390083998779,2545.9008599539407,NEW_FL_SAC_OnlyEmissions_v6
13,-606.9148482914507,2545.9424372852163,NEW_FL_SAC_OnlyEmissions_v6
14,-828.899175985406,3125.363660110474,NEW_FL_SAC_OnlyEmissions_v6
14,-828.7091271132277,3123.0161620749527,NEW_FL_SAC_OnlyEmissions_v6
14,-828.6249425001171,3122.528956708156,NEW_FL_SAC_OnlyEmissions_v6
15,-645.0682154448322,2529.0650434280237,NEW_FL_SAC_OnlyEmissions_v6
15,-645.1523299924866,2529.7938304058757,NEW_FL_SAC_OnlyEmissions_v6
15,-645.2361482414744,2530.233852738051,NEW_FL_SAC_OnlyEmissions_v6
19,-340.14990914119323,1310.8084158669635,NEW_FL_SAC_OnlyEmissions_v6
19,-340.1032489963047,1309.8983569531072,NEW_FL_SAC_OnlyEmissions_v6
19,-340.0872069644126,1309.632630371414,NEW_FL_SAC_OnlyEmissions_v6
