Building,Total Profit,Total Emissions,Setup,Time
1,-1262.9868218883712,6417.717961748875,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
1,-1266.0978549723477,6426.723694494637,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
1,-1262.9367756299955,6417.51235744809,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
2,-1523.9073070821325,6634.004474965115,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
2,-1168.9184054678606,4499.9128130177305,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
2,-1168.9184054678606,4499.9128130177305,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
3,-358.07272799786193,1732.9009178312558,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
3,-354.8583669999963,1719.2886666884938,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
3,-354.8583669999963,1719.2886666884938,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
4,-982.2749281299997,4075.3946355054195,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
4,-982.2749281299997,4075.3946355054195,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
4,-982.2749281299997,4075.3946355054195,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
5,-1105.1214783000007,4522.542528608434,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
5,-1108.3633744645258,4533.672794952116,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
5,-1390.044709367523,5036.236299308451,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
6,-2772.8793262699955,10642.88791292505,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
6,-2772.878900892877,10642.91049720911,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
6,-2772.8793262699955,10642.88791292505,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
7,-793.5300297600002,3916.97349463678,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
7,-796.7443907578656,3930.5857457795405,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
7,-793.5300297600002,3916.97349463678,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
8,-2750.9978333000104,9886.498925287273,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
8,-2751.007130728773,9886.52494476884,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
8,-2754.209909040568,9900.18503594423,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
9,-871.1447585899972,3769.775274463588,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
9,-871.1447585899972,3769.775274463588,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
9,-874.3591195878619,3783.3875256063507,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
10,-1016.5098907499993,4194.894882949273,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
10,-1090.2189609057348,4617.414931321171,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
10,-1016.5098907499993,4194.894882949273,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
11,-1223.1822303098095,5006.698144234161,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
11,-1224.8337429554545,5018.91500470304,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
11,-1223.1621682378625,5009.394752558795,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
12,-1149.302301990008,4273.791287135646,NEW_LL_PPO_OnlyEmissions_v5,-6681.341000795364
