Building,Total Profit,Total Emissions,Setup,Time
1,-1130.3972793050452,5482.332603123164,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
1,-1194.5422406939308,6052.090646295288,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
1,-1120.4661696745832,5509.9721678704755,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
2,-1142.1764357874647,4340.0508910163435,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
2,-1172.390594060933,4395.288326741241,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
2,-1199.8761442382538,4687.628348148421,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
3,-367.9901959172665,1751.4857317982307,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
3,-413.4649525266687,1785.4700382773601,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
3,-397.4984216429328,1539.0802661243868,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
4,-1121.673268586858,4532.58079405543,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
4,-990.4857075721336,4048.553599562085,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
4,-997.8141971391453,4135.113879971128,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
5,-1165.768226286599,4512.267877299049,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
5,-1169.4719421794277,4701.721822937488,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
5,-1143.204987308852,4666.886207698952,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
6,-2824.694508215345,10567.200048397322,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
6,-2868.3007750852225,10862.274470521745,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
6,-2806.717820579524,10629.270779582086,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
7,-748.0210553659078,3527.8549823905005,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
7,-775.0594637254864,3723.4760039417897,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
7,-892.7709349075132,4294.709595164738,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
8,-2841.5590263258264,10135.004042640465,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
8,-2787.339379691302,9939.190862940412,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
8,-2754.4420627655213,9875.345464306653,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
9,-913.8292827409111,3866.195004532944,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
9,-853.333145652639,3580.1685000700436,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
9,-901.2515447685093,3832.2824933613674,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
10,-1108.6128787792284,4661.069276788793,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
10,-1062.6803812229311,4146.13148523725,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
10,-1065.3663968460967,4442.741443318228,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
11,-1109.4891478340355,4130.427576152332,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
11,-1188.0312921385853,4631.250374817502,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
11,-1284.4844416083638,5316.201481072768,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
12,-1158.7294077019176,4269.204258470426,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
12,-1164.095903196867,4392.832031901027,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
12,-1268.1210465137099,4659.194857145282,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
13,-618.7860241870886,2538.1585511422822,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
13,-651.5235572532375,2707.7933363064835,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
13,-624.9716216465534,2585.0604759659036,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
14,-917.976864065845,3753.7582036459917,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
14,-970.5927905645499,3973.2174248193223,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
14,-908.3101437885222,3691.1505615931405,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
15,-692.32361503277,2917.25567725568,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
15,-685.8517575165789,2719.908130163004,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
15,-687.1209027974751,2691.620951385318,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
16,-1222.392262712339,5024.317737683335,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
16,-1222.5534744709394,5116.533775200754,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
16,-1225.364234784575,5076.5463721287215,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
17,-1797.1291665049068,6108.63721699917,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
17,-1821.9097460503624,6233.604154402237,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
17,-1868.9196283091726,6691.309019497707,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
18,-1666.748281199483,6596.704640690891,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
18,-1641.1398109000029,6405.284704064227,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
18,-1766.7726850977233,7140.520854916582,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
19,-382.60752895468755,1626.9004457006922,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
19,-393.68784965762694,1546.051894230367,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
19,-417.02698932953075,1872.293783138503,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
20,-1699.913985810301,6767.463364783107,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
20,-1654.911263769183,6873.128458357442,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
20,-1466.9260709484333,5614.229530045701,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
21,-2014.0556756009187,7575.860788357314,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
21,-2081.5045339670232,8034.999460322047,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
21,-2160.4969595191506,8154.132214061168,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
22,-888.7336817079106,3287.598611659315,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
22,-896.3353327669304,3411.161597348628,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
22,-928.2750238932176,3588.5359432360024,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
23,-1056.388989321205,3855.28133430168,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
23,-1090.0509297628469,4177.866496765348,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
23,-1078.342064672157,4032.3456518415874,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
24,-499.9748096120712,3176.830661521654,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
24,-452.7123399751785,2717.709435276537,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
24,-388.00891702162204,2171.250949792277,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
25,-1482.3588513472246,5226.276606381155,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
25,-1562.71366389462,5420.357360967186,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
25,-1524.7860431914085,5637.261218214163,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
26,-1831.3765248782563,6714.862436171669,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
26,-1828.2939116371706,7049.269515113329,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
26,-1847.178594283193,7212.9595100251645,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
27,-1146.7217024271695,4499.057090663989,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
27,-1166.5599893001768,4420.528489043419,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
27,-1081.5567151542236,4098.469681889593,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
28,-756.6759003070445,3173.938930287837,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
28,-667.9342375434146,2588.0056709968744,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
28,-653.0979521847404,2419.203650720253,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
29,-1016.2193805049343,3686.3535177224217,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
29,-1010.0893234280534,3851.2733978552696,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
29,-1032.357770836308,3705.770257504758,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
30,-714.5600350992793,3123.3347348730526,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
30,-719.0494069743293,2922.8931351978536,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
30,-770.3599938675549,3306.1082738148298,NEW_LL_SAC_OnlyEmissions_v6,23421.548285007477
