Building,Total Profit,Total Emissions,Setup
1,-1194.0590886546368,5905.244254966972,NEW_LL_TD3_OnlyEmissions_v5
1,-1202.1682149830403,5972.77547529573,NEW_LL_TD3_OnlyEmissions_v5
1,-1223.2951491796546,6127.200357989636,NEW_LL_TD3_OnlyEmissions_v5
2,-1239.6051316726057,4740.386601597259,NEW_LL_TD3_OnlyEmissions_v5
2,-1182.36511528389,4509.5248034749675,NEW_LL_TD3_OnlyEmissions_v5
2,-1250.3363895653627,4798.3926378841725,NEW_LL_TD3_OnlyEmissions_v5
3,-363.31547970859657,1672.574979178006,NEW_LL_TD3_OnlyEmissions_v5
3,-395.60610817177184,1762.7617319876058,NEW_LL_TD3_OnlyEmissions_v5
3,-378.3979528864766,1812.8745082763758,NEW_LL_TD3_OnlyEmissions_v5
4,-1007.5269611520375,4051.8163613175884,NEW_LL_TD3_OnlyEmissions_v5
4,-987.3253790062957,3973.9609167854437,NEW_LL_TD3_OnlyEmissions_v5
4,-975.2733540729728,3935.687067983493,NEW_LL_TD3_OnlyEmissions_v5
5,-1119.2730010469122,4437.192587713568,NEW_LL_TD3_OnlyEmissions_v5
5,-1145.1406975463997,4711.482534030532,NEW_LL_TD3_OnlyEmissions_v5
5,-1124.3028420024427,4513.252309981378,NEW_LL_TD3_OnlyEmissions_v5
6,-2804.3364725401066,10643.294889582767,NEW_LL_TD3_OnlyEmissions_v5
6,-2823.644003980524,10861.014414594434,NEW_LL_TD3_OnlyEmissions_v5
6,-2818.415278736027,10761.406505791387,NEW_LL_TD3_OnlyEmissions_v5
7,-807.3019401808423,3948.4930563121356,NEW_LL_TD3_OnlyEmissions_v5
7,-814.5527667517212,3964.713388290852,NEW_LL_TD3_OnlyEmissions_v5
7,-792.1963072987736,3838.338515906244,NEW_LL_TD3_OnlyEmissions_v5
8,-2779.2822087439754,9789.427658905986,NEW_LL_TD3_OnlyEmissions_v5
8,-2797.362910423003,9928.093799331278,NEW_LL_TD3_OnlyEmissions_v5
8,-2750.9978333000104,9886.498925287273,NEW_LL_TD3_OnlyEmissions_v5
9,-873.7472244447557,3725.2368589264447,NEW_LL_TD3_OnlyEmissions_v5
9,-874.3591195878619,3783.3875256063507,NEW_LL_TD3_OnlyEmissions_v5
9,-890.7499667510465,3752.353875087144,NEW_LL_TD3_OnlyEmissions_v5
10,-1169.1667328866404,4975.6051956557585,NEW_LL_TD3_OnlyEmissions_v5
10,-1093.8878712693584,4496.8002952896195,NEW_LL_TD3_OnlyEmissions_v5
10,-1059.6787222619785,4301.578506682737,NEW_LL_TD3_OnlyEmissions_v5
11,-1232.13254206483,4916.36521564937,NEW_LL_TD3_OnlyEmissions_v5
11,-1204.1164746535885,4704.620484576521,NEW_LL_TD3_OnlyEmissions_v5
11,-1256.5240112443191,5035.822794512358,NEW_LL_TD3_OnlyEmissions_v5
12,-1159.1020745974445,4236.037579529327,NEW_LL_TD3_OnlyEmissions_v5
12,-1148.6878374437752,4144.397031996111,NEW_LL_TD3_OnlyEmissions_v5
12,-1155.7923355171513,4136.221529244158,NEW_LL_TD3_OnlyEmissions_v5
13,-653.1635822432268,2853.4392410847854,NEW_LL_TD3_OnlyEmissions_v5
13,-685.4867134112002,3066.325911315557,NEW_LL_TD3_OnlyEmissions_v5
13,-680.6467702696941,3045.0267133419006,NEW_LL_TD3_OnlyEmissions_v5
14,-915.0440222024521,3718.1759228397314,NEW_LL_TD3_OnlyEmissions_v5
14,-898.5007939453886,3604.816201206295,NEW_LL_TD3_OnlyEmissions_v5
14,-892.292442405808,3599.7253991216344,NEW_LL_TD3_OnlyEmissions_v5
15,-694.8650043012623,2799.682371407211,NEW_LL_TD3_OnlyEmissions_v5
15,-696.3449091295149,2904.90290262375,NEW_LL_TD3_OnlyEmissions_v5
15,-687.1661820724044,2761.148913395943,NEW_LL_TD3_OnlyEmissions_v5
16,-1240.4639666699816,5104.223914435476,NEW_LL_TD3_OnlyEmissions_v5
16,-1273.011730483425,5254.403920455447,NEW_LL_TD3_OnlyEmissions_v5
16,-1260.966787076204,5156.702483979237,NEW_LL_TD3_OnlyEmissions_v5
17,-1856.662607438257,6543.617747256331,NEW_LL_TD3_OnlyEmissions_v5
17,-1845.8044222978629,6638.754814861835,NEW_LL_TD3_OnlyEmissions_v5
17,-1862.0324026932126,6602.427014486331,NEW_LL_TD3_OnlyEmissions_v5
18,-1798.3596742937236,7177.117255611657,NEW_LL_TD3_OnlyEmissions_v5
18,-1699.6312731109738,6624.084585220653,NEW_LL_TD3_OnlyEmissions_v5
18,-1758.1587557312719,6858.363853030218,NEW_LL_TD3_OnlyEmissions_v5
19,-366.9508976724136,1510.5475935620486,NEW_LL_TD3_OnlyEmissions_v5
19,-377.8815419461573,1579.5543066873333,NEW_LL_TD3_OnlyEmissions_v5
19,-371.7903825050535,1557.7061246691214,NEW_LL_TD3_OnlyEmissions_v5
20,-1472.3656458903008,5652.895010446238,NEW_LL_TD3_OnlyEmissions_v5
20,-1494.4861325488675,5780.0918342513905,NEW_LL_TD3_OnlyEmissions_v5
20,-1512.9887888502508,5940.427052701066,NEW_LL_TD3_OnlyEmissions_v5
21,-1980.3604674612632,7431.717429385148,NEW_LL_TD3_OnlyEmissions_v5
21,-2040.9861543535503,7724.167578851697,NEW_LL_TD3_OnlyEmissions_v5
21,-2010.0724857145876,7434.887990085821,NEW_LL_TD3_OnlyEmissions_v5
22,-844.646195047354,3189.2437073196775,NEW_LL_TD3_OnlyEmissions_v5
22,-835.8745775520309,3084.9775556505087,NEW_LL_TD3_OnlyEmissions_v5
22,-838.5566719250627,3158.953682174341,NEW_LL_TD3_OnlyEmissions_v5
23,-1044.0486943703038,3815.4722649080504,NEW_LL_TD3_OnlyEmissions_v5
