Household,Profit,Emissions
1,-1585.2658924900027,7037.574990268561
2,-1683.1064487150027,5657.347872160748
3,-915.3896205450031,3253.7507755715046
4,-1544.0608968800032,5490.624103580166
5,-1670.9951110899892,5946.863992795012
6,-3238.062107469978,11445.55188983599
7,-1257.2557478250048,5062.048809829073
8,-3253.871870869991,10883.740790841619
9,-1415.8929897749995,5193.012294458156
10,-1569.3348438500054,5619.784600542595
11,-1727.2347703550015,6220.843773501547
12,-1721.0855711950069,5652.919059516683
13,-1148.5079776899943,4238.510861512952
14,-1448.6689736700137,5143.194326752109
15,-1252.569665325003,4376.686099252085
16,-1666.7585700000025,6120.781727598655
17,-2348.0759981850147,7693.585090142109
18,-2179.334493194992,7851.646771352256
19,-980.4199346550091,3358.910452344069
20,-1997.4725272400005,7094.5673540343205
21,-2439.123076330006,8295.999144029383
22,-1316.442958695006,4144.006120215948
23,-1560.9688685150018,5115.859883624401
24,-899.7608413800035,4316.700990112123
25,-1973.8628916300017,6361.049444549726
26,-2277.8592320100183,7847.407150856875
27,-1668.1797187649956,5789.946807950512
28,-1252.890657974997,4093.260955820657
29,-1553.7836839499985,5292.365672840255
30,-1285.6500740749948,4662.642450880521
