Building,Total Profit,Total Emissions,Setup
31,-703.5175707349844,2585.206542997766,NEW_FL_ZeroShot_DDPG_OnlyCosts
31,-703.7137141797829,2586.446770270959,NEW_FL_ZeroShot_DDPG_OnlyCosts
31,-703.5389260633275,2585.651755430947,NEW_FL_ZeroShot_DDPG_OnlyCosts
32,-756.1475176826204,2738.7707402963924,NEW_FL_ZeroShot_DDPG_OnlyCosts
32,-756.1783043330037,2740.140963991585,NEW_FL_ZeroShot_DDPG_OnlyCosts
32,-755.8419495739294,2736.5309457057247,NEW_FL_ZeroShot_DDPG_OnlyCosts
33,-1238.3894209471257,4620.700394499147,NEW_FL_ZeroShot_DDPG_OnlyCosts
33,-1239.0300895749067,4626.489663452489,NEW_FL_ZeroShot_DDPG_OnlyCosts
33,-1238.2567196643115,4619.794000369445,NEW_FL_ZeroShot_DDPG_OnlyCosts
34,-1111.6273027970883,3957.1535107535774,NEW_FL_ZeroShot_DDPG_OnlyCosts
34,-1111.5551619769146,3955.7691209856666,NEW_FL_ZeroShot_DDPG_OnlyCosts
34,-1111.5717072307675,3956.4633729857405,NEW_FL_ZeroShot_DDPG_OnlyCosts
35,-1928.3523048592403,7166.051540700813,NEW_FL_ZeroShot_DDPG_OnlyCosts
35,-1928.7366370198667,7169.461168969887,NEW_FL_ZeroShot_DDPG_OnlyCosts
35,-1928.3365350572972,7166.296568116302,NEW_FL_ZeroShot_DDPG_OnlyCosts
36,-1249.3043953282502,5013.885028037256,NEW_FL_ZeroShot_DDPG_OnlyCosts
36,-1249.3109326323379,5014.124490432312,NEW_FL_ZeroShot_DDPG_OnlyCosts
36,-1249.4631791418608,5015.698388033715,NEW_FL_ZeroShot_DDPG_OnlyCosts
37,-534.0029126749527,1986.7444811662356,NEW_FL_ZeroShot_DDPG_OnlyCosts
37,-534.0399476645322,1987.138965693112,NEW_FL_ZeroShot_DDPG_OnlyCosts
37,-533.0866925273764,1979.0124967946024,NEW_FL_ZeroShot_DDPG_OnlyCosts
38,-763.7291199453015,2732.4604656414526,NEW_FL_ZeroShot_DDPG_OnlyCosts
38,-763.8851347475378,2734.3332311748145,NEW_FL_ZeroShot_DDPG_OnlyCosts
38,-763.6090751564107,2731.9594657409066,NEW_FL_ZeroShot_DDPG_OnlyCosts
39,-1276.4253841566128,4852.762387016777,NEW_FL_ZeroShot_DDPG_OnlyCosts
39,-1276.829489960817,4857.784189399941,NEW_FL_ZeroShot_DDPG_OnlyCosts
