Building,Total Profit,Total Emissions,Setup
31,-694.7556188581001,2032.5443440847173,NEW_FL_ZeroShot_DDPG_OnlyEmissions
31,-695.2492986589604,2027.0869113206554,NEW_FL_ZeroShot_DDPG_OnlyEmissions
31,-694.7932007292168,2033.9623845017773,NEW_FL_ZeroShot_DDPG_OnlyEmissions
32,-755.3268406860651,2016.8229011415253,NEW_FL_ZeroShot_DDPG_OnlyEmissions
32,-755.9538895726246,2003.7755081899188,NEW_FL_ZeroShot_DDPG_OnlyEmissions
32,-755.0608335944579,2023.1256229909247,NEW_FL_ZeroShot_DDPG_OnlyEmissions
33,-1221.5988083256668,3776.5357646403113,NEW_FL_ZeroShot_DDPG_OnlyEmissions
33,-1221.2553232833604,3773.078921570732,NEW_FL_ZeroShot_DDPG_OnlyEmissions
33,-1221.6723294688602,3775.971654148004,NEW_FL_ZeroShot_DDPG_OnlyEmissions
34,-1113.279875151589,3149.498723887836,NEW_FL_ZeroShot_DDPG_OnlyEmissions
34,-1113.3983069639776,3145.2066640851167,NEW_FL_ZeroShot_DDPG_OnlyEmissions
34,-1113.4155147217634,3142.7175583754206,NEW_FL_ZeroShot_DDPG_OnlyEmissions
35,-1905.0019765398488,6169.949596054761,NEW_FL_ZeroShot_DDPG_OnlyEmissions
35,-1904.9790312000237,6179.7775391301175,NEW_FL_ZeroShot_DDPG_OnlyEmissions
35,-1905.1061585970274,6161.2776710074695,NEW_FL_ZeroShot_DDPG_OnlyEmissions
36,-1244.9265001861504,4166.694515144177,NEW_FL_ZeroShot_DDPG_OnlyEmissions
36,-1245.3961394832038,4140.030451487398,NEW_FL_ZeroShot_DDPG_OnlyEmissions
36,-1245.1806686860584,4153.216102882499,NEW_FL_ZeroShot_DDPG_OnlyEmissions
37,-533.0242897082909,1453.5388236216409,NEW_FL_ZeroShot_DDPG_OnlyEmissions
37,-532.9171974930033,1455.6813561169045,NEW_FL_ZeroShot_DDPG_OnlyEmissions
37,-532.8324356855053,1438.8426741442656,NEW_FL_ZeroShot_DDPG_OnlyEmissions
38,-767.100317648443,2017.983128501473,NEW_FL_ZeroShot_DDPG_OnlyEmissions
38,-767.778551659557,2013.5280266251432,NEW_FL_ZeroShot_DDPG_OnlyEmissions
38,-766.7470893946079,2019.0247625916986,NEW_FL_ZeroShot_DDPG_OnlyEmissions
39,-1278.1549756219836,3942.2742351883953,NEW_FL_ZeroShot_DDPG_OnlyEmissions
39,-1277.8991090509262,3949.937426997008,NEW_FL_ZeroShot_DDPG_OnlyEmissions
39,-1278.1090770248463,3945.1351535758554,NEW_FL_ZeroShot_DDPG_OnlyEmissions
40,-552.9763732456561,1444.9924297326795,NEW_FL_ZeroShot_DDPG_OnlyEmissions
40,-553.1460121552363,1442.3020782166059,NEW_FL_ZeroShot_DDPG_OnlyEmissions
40,-553.3371828180994,1440.1297887266007,NEW_FL_ZeroShot_DDPG_OnlyEmissions
41,-683.0497880028945,1805.7614524615012,NEW_FL_ZeroShot_DDPG_OnlyEmissions
41,-683.1548890531641,1801.2526942137158,NEW_FL_ZeroShot_DDPG_OnlyEmissions
41,-683.1639414044954,1803.9132463791307,NEW_FL_ZeroShot_DDPG_OnlyEmissions
42,-978.3069115467991,3234.4509216673255,NEW_FL_ZeroShot_DDPG_OnlyEmissions
42,-977.7977366812355,3237.3413378361106,NEW_FL_ZeroShot_DDPG_OnlyEmissions
42,-980.4549688295008,3251.322599118364,NEW_FL_ZeroShot_DDPG_OnlyEmissions
43,-1163.4576277995538,3831.83223267061,NEW_FL_ZeroShot_DDPG_OnlyEmissions
43,-1163.1579050634914,3841.732993792367,NEW_FL_ZeroShot_DDPG_OnlyEmissions
43,-1163.6052746870864,3830.0952252769653,NEW_FL_ZeroShot_DDPG_OnlyEmissions
44,-756.3597480084463,2159.0740278181543,NEW_FL_ZeroShot_DDPG_OnlyEmissions
44,-755.4986894504895,2162.045412569574,NEW_FL_ZeroShot_DDPG_OnlyEmissions
44,-756.5745360498248,2156.2056928237353,NEW_FL_ZeroShot_DDPG_OnlyEmissions
45,-380.507433118471,1058.2024012512138,NEW_FL_ZeroShot_DDPG_OnlyEmissions
45,-380.6890459375472,1056.6951581358774,NEW_FL_ZeroShot_DDPG_OnlyEmissions
45,-380.5887606634201,1055.101472306415,NEW_FL_ZeroShot_DDPG_OnlyEmissions
46,-1574.2456076737108,4629.398556663473,NEW_FL_ZeroShot_DDPG_OnlyEmissions
46,-1575.5058920967647,4581.033733728968,NEW_FL_ZeroShot_DDPG_OnlyEmissions
46,-1574.4228246860896,4613.203115967866,NEW_FL_ZeroShot_DDPG_OnlyEmissions
47,-953.5002663804413,2591.6218013223825,NEW_FL_ZeroShot_DDPG_OnlyEmissions
47,-954.2456490994559,2576.1065163525623,NEW_FL_ZeroShot_DDPG_OnlyEmissions
47,-953.1271966334335,2610.083828134821,NEW_FL_ZeroShot_DDPG_OnlyEmissions
48,-376.63966846146616,1194.8804357482286,NEW_FL_ZeroShot_DDPG_OnlyEmissions
48,-375.68516148226064,1180.5495722264764,NEW_FL_ZeroShot_DDPG_OnlyEmissions
48,-376.7149688397265,1190.9403764929402,NEW_FL_ZeroShot_DDPG_OnlyEmissions
49,-923.4663046326406,2592.4829012067466,NEW_FL_ZeroShot_DDPG_OnlyEmissions
49,-924.2230925844668,2574.4422782634333,NEW_FL_ZeroShot_DDPG_OnlyEmissions
49,-923.5517278649124,2593.4708350083865,NEW_FL_ZeroShot_DDPG_OnlyEmissions
50,-385.342252374986,1052.2640295393267,NEW_FL_ZeroShot_DDPG_OnlyEmissions
50,-391.58300292148704,1051.062547910618,NEW_FL_ZeroShot_DDPG_OnlyEmissions
50,-389.17860891122626,1045.1631232063355,NEW_FL_ZeroShot_DDPG_OnlyEmissions
51,-922.8057808416837,2716.7048547287945,NEW_FL_ZeroShot_DDPG_OnlyEmissions
51,-922.8810586708921,2714.710631468476,NEW_FL_ZeroShot_DDPG_OnlyEmissions
51,-922.962553870044,2712.8415324777043,NEW_FL_ZeroShot_DDPG_OnlyEmissions
52,-919.9996022053789,2841.3414677789374,NEW_FL_ZeroShot_DDPG_OnlyEmissions
52,-919.964310136986,2838.1118022857027,NEW_FL_ZeroShot_DDPG_OnlyEmissions
52,-920.1265239330995,2832.910873658473,NEW_FL_ZeroShot_DDPG_OnlyEmissions
53,-1198.8025985532836,4188.424752956955,NEW_FL_ZeroShot_DDPG_OnlyEmissions
53,-1198.6990254717684,4191.134050285469,NEW_FL_ZeroShot_DDPG_OnlyEmissions
53,-1198.5095864230657,4188.331047986834,NEW_FL_ZeroShot_DDPG_OnlyEmissions
54,-1081.9012485374567,3313.0550470691314,NEW_FL_ZeroShot_DDPG_OnlyEmissions
54,-1082.5930090948937,3303.111387399675,NEW_FL_ZeroShot_DDPG_OnlyEmissions
54,-1082.3000536232398,3300.4542619379085,NEW_FL_ZeroShot_DDPG_OnlyEmissions
55,-1474.4233832719237,4631.481044797319,NEW_FL_ZeroShot_DDPG_OnlyEmissions
55,-1473.9902872527568,4652.433317317427,NEW_FL_ZeroShot_DDPG_OnlyEmissions
55,-1474.0614991117175,4636.278860576465,NEW_FL_ZeroShot_DDPG_OnlyEmissions
56,-2263.652666789644,7819.714186360698,NEW_FL_ZeroShot_DDPG_OnlyEmissions
56,-2263.9355310962014,7803.293192971551,NEW_FL_ZeroShot_DDPG_OnlyEmissions
56,-2263.602787862723,7820.427660479237,NEW_FL_ZeroShot_DDPG_OnlyEmissions
57,-973.4795142749072,2934.8395567387925,NEW_FL_ZeroShot_DDPG_OnlyEmissions
57,-973.4231406119005,2928.781821176778,NEW_FL_ZeroShot_DDPG_OnlyEmissions
57,-973.3799805153802,2928.301520444251,NEW_FL_ZeroShot_DDPG_OnlyEmissions
58,-2014.9382393282685,6387.794316723444,NEW_FL_ZeroShot_DDPG_OnlyEmissions
58,-2015.2132433278043,6364.881277719529,NEW_FL_ZeroShot_DDPG_OnlyEmissions
58,-2015.1767237343045,6368.210481345853,NEW_FL_ZeroShot_DDPG_OnlyEmissions
59,-993.4742318216273,3503.091378474214,NEW_FL_ZeroShot_DDPG_OnlyEmissions
59,-993.7625669333737,3507.48737533671,NEW_FL_ZeroShot_DDPG_OnlyEmissions
59,-993.0441798266164,3498.8975034963332,NEW_FL_ZeroShot_DDPG_OnlyEmissions
60,-299.2595756265513,973.9994927689941,NEW_FL_ZeroShot_DDPG_OnlyEmissions
60,-299.3215246203354,974.683934420984,NEW_FL_ZeroShot_DDPG_OnlyEmissions
60,-299.4993577217741,968.7033647209255,NEW_FL_ZeroShot_DDPG_OnlyEmissions
