Household,Profit,Emissions
31,-1343.6514368799956,4619.407528650962
32,-1394.9170919500039,4711.548206484858
33,-1905.5040508449933,6851.104550407536
34,-1724.5857927699994,5670.317884914797
35,-2423.046281744992,8241.213843709867
36,-1891.0637797799975,7032.091154934055
37,-1207.8872947349928,4134.604128419322
38,-1439.9463512999935,4837.393630515947
39,-1922.9347797350017,6841.532888947488
40,-1187.2642898950012,3886.6721787483157
41,-1311.798476789998,4400.569282647446
42,-1657.1297487500087,6315.694510834588
43,-1825.3634675899984,6666.479880374701
44,-1375.133630079998,4621.13445485959
45,-1044.965460674999,3705.9263506518455
46,-2160.2169264299946,7145.52068895692
47,-1583.2149133600053,5253.394515817403
48,-1055.555549339995,3934.7982809380337
49,-1550.560565374998,5089.905497563031
50,-1040.3144210249918,3516.1337174418977
51,-1586.6608885000012,5544.193212833881
52,-1594.2037889349965,5754.557688360843
53,-1891.2894396899974,7307.893789580644
54,-1736.4659500649962,6163.9656667738755
55,-2120.2556506350024,7675.484835471206
56,-2762.1120706750216,9805.743355379827
57,-1615.7939750849926,5488.856865312528
58,-2497.528867515009,8247.33951659176
59,-1742.0108163649875,6825.762001907954
60,-1027.6181965649992,3898.605295138832
