Building,Total Profit,Total Emissions,Setup
7,-601.6738117626965,2643.490054171975,NEW_FL_DDPG_OnlyCosts_FORECAST06
7,-612.1784459659702,2699.4787279342495,NEW_FL_DDPG_OnlyCosts_FORECAST06
7,-598.1397325428918,2619.6830824797216,NEW_FL_DDPG_OnlyCosts_FORECAST06
3,-279.80589013823396,1248.4258572924857,NEW_FL_DDPG_OnlyCosts_FORECAST06
3,-278.8573258342672,1242.0335758050908,NEW_FL_DDPG_OnlyCosts_FORECAST06
3,-275.93471886630954,1220.398093525378,NEW_FL_DDPG_OnlyCosts_FORECAST06
4,-924.4331370452655,3656.2045528784756,NEW_FL_DDPG_OnlyCosts_FORECAST06
4,-922.5379524326581,3631.7887481009566,NEW_FL_DDPG_OnlyCosts_FORECAST06
4,-923.6283740479953,3643.933422935913,NEW_FL_DDPG_OnlyCosts_FORECAST06
5,-1053.6705666934342,4102.795653431175,NEW_FL_DDPG_OnlyCosts_FORECAST06
5,-1052.3426043889554,4082.9060717337916,NEW_FL_DDPG_OnlyCosts_FORECAST06
5,-1053.5019393993955,4101.758896050736,NEW_FL_DDPG_OnlyCosts_FORECAST06
9,-775.4346497921213,3140.624149556224,NEW_FL_DDPG_OnlyCosts_FORECAST06
9,-773.8359574950507,3124.6471797400254,NEW_FL_DDPG_OnlyCosts_FORECAST06
9,-771.2752323182399,3099.204406734693,NEW_FL_DDPG_OnlyCosts_FORECAST06
10,-933.5425536863022,3618.91991691087,NEW_FL_DDPG_OnlyCosts_FORECAST06
10,-932.0307120492348,3600.93762972245,NEW_FL_DDPG_OnlyCosts_FORECAST06
10,-932.668395716638,3610.1143272996196,NEW_FL_DDPG_OnlyCosts_FORECAST06
11,-1076.4435401567691,4044.37242633875,NEW_FL_DDPG_OnlyCosts_FORECAST06
11,-1075.218111072248,4031.9887243920803,NEW_FL_DDPG_OnlyCosts_FORECAST06
11,-1073.580000073674,4013.6560386663605,NEW_FL_DDPG_OnlyCosts_FORECAST06
16,-1055.7762882094355,4069.3582061085285,NEW_FL_DDPG_OnlyCosts_FORECAST06
16,-1051.4525522586587,4028.623259652306,NEW_FL_DDPG_OnlyCosts_FORECAST06
16,-1051.4525517725822,4032.016233754809,NEW_FL_DDPG_OnlyCosts_FORECAST06
23,-965.2998975045404,3459.0671704096508,NEW_FL_DDPG_OnlyCosts_FORECAST06
23,-963.3090173802716,3445.9767958089346,NEW_FL_DDPG_OnlyCosts_FORECAST06
23,-963.2171365120203,3444.0881369748417,NEW_FL_DDPG_OnlyCosts_FORECAST06
25,-1358.2533237858404,4627.043905737294,NEW_FL_DDPG_OnlyCosts_FORECAST06
25,-1357.5196242806285,4619.656730883932,NEW_FL_DDPG_OnlyCosts_FORECAST06
25,-1357.7401366180318,4622.431749757634,NEW_FL_DDPG_OnlyCosts_FORECAST06
26,-1787.2225939467044,6821.577788607661,NEW_FL_DDPG_OnlyCosts_FORECAST06
26,-1787.2524724103116,6821.743901346785,NEW_FL_DDPG_OnlyCosts_FORECAST06
26,-1787.082655889832,6818.567635497182,NEW_FL_DDPG_OnlyCosts_FORECAST06
27,-1053.6212263643977,3908.354806955882,NEW_FL_DDPG_OnlyCosts_FORECAST06
27,-1051.8634790067624,3878.2873919290464,NEW_FL_DDPG_OnlyCosts_FORECAST06
27,-1052.364673402768,3886.7537319906246,NEW_FL_DDPG_OnlyCosts_FORECAST06
30,-638.0858074214643,2604.152687081787,NEW_FL_DDPG_OnlyCosts_FORECAST06
30,-638.1331097365039,2604.613136076051,NEW_FL_DDPG_OnlyCosts_FORECAST06
30,-637.2776749369021,2597.965610261357,NEW_FL_DDPG_OnlyCosts_FORECAST06
1,-877.3581058333376,3819.09179481251,NEW_FL_DDPG_OnlyCosts_FORECAST06
1,-876.7168565779067,3795.2842831320613,NEW_FL_DDPG_OnlyCosts_FORECAST06
1,-876.3853614209171,3789.8963989084373,NEW_FL_DDPG_OnlyCosts_FORECAST06
24,-344.4964311796266,2077.8215900942746,NEW_FL_DDPG_OnlyCosts_FORECAST06
24,-344.707751784144,2119.015003515567,NEW_FL_DDPG_OnlyCosts_FORECAST06
24,-345.9685106281875,2100.9792873127653,NEW_FL_DDPG_OnlyCosts_FORECAST06
12,-1133.3917079772473,4139.730017233932,NEW_FL_DDPG_OnlyCosts_FORECAST06
12,-1133.419598873491,4138.965013064742,NEW_FL_DDPG_OnlyCosts_FORECAST06
12,-1133.3084825682806,4136.72745091765,NEW_FL_DDPG_OnlyCosts_FORECAST06
13,-521.1619072802594,2138.1559532264096,NEW_FL_DDPG_OnlyCosts_FORECAST06
13,-520.4356972222945,2133.8561262462676,NEW_FL_DDPG_OnlyCosts_FORECAST06
13,-521.9277508171907,2144.745158605982,NEW_FL_DDPG_OnlyCosts_FORECAST06
