Building,Total Profit,Total Emissions,Setup,Time
1,-886.7220787638278,3880.249285395835,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
1,-860.235768918878,3733.3807351465766,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
1,-885.1980107142892,4040.9248736597924,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
2,-1121.2808184748278,4084.4383939640925,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
2,-1115.080600223116,4219.269999677244,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
2,-1109.4138883196501,4146.956522917563,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
3,-261.61543476508933,1082.1050748786215,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
3,-297.64852810075416,1347.4074976278966,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
3,-277.49125048134755,1252.6918665548776,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
4,-939.6521108301364,3807.4225415337896,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
4,-924.273058036271,3681.6951644482565,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
4,-953.1894474308446,3887.357848377398,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
5,-1064.3257407993892,4135.448073230642,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
5,-1062.0565675873568,4156.600310155624,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
5,-1060.8941675840952,4172.917649113136,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
6,-2782.7804868283056,11003.615179893397,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
6,-2726.3626645340773,10418.738735127308,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
6,-2722.0848499333188,10462.477654450744,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
7,-581.6032015300913,2389.7136874054513,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
7,-599.8857977353185,2565.7044963940857,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
7,-547.7786597775694,2064.8670202624035,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
8,-2765.198623717137,9972.442714666773,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
8,-2763.821243797611,9840.971140769363,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
8,-2765.113822800645,10001.498815208299,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
9,-753.8137802817618,2836.9559057584142,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
9,-800.9264779568178,3274.4331823584744,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
9,-812.5583125034631,3334.3331010900324,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
10,-968.5463893866256,3828.778617440821,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
10,-1024.5117390706841,4328.176714377893,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
10,-994.0677843960904,4134.445041287074,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
11,-1136.5634875073029,4514.550059240946,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
11,-1080.8792614534402,4154.602542993189,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
11,-1075.006379654284,4206.755266958803,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
12,-1146.3763789396853,4239.33032009643,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
12,-1143.2019533087446,4230.023558048895,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
12,-1137.1085523018257,4190.187835297332,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
13,-536.2118912338132,2284.185041582083,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
13,-532.3335828494681,2180.8456336268955,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
13,-532.3662946918921,2229.487543748059,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
14,-809.2325329789655,3162.283462677312,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
14,-782.4182634274184,2966.7357136836486,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
14,-813.3719685223659,3208.0579323245674,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
15,-620.8241764318622,2539.1514154333395,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
15,-642.5068956867317,2677.209190727808,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
15,-627.3549869900644,2580.214460105527,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
16,-1042.071564782399,4041.4075257897484,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
16,-1077.9883071180118,4224.390670825524,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
16,-1102.6189296179014,4388.151924741597,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
17,-1821.7185531933621,6532.610219354616,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
17,-1803.6025996901128,6364.095750344376,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
17,-1802.4645238249193,6518.5011275166835,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
18,-1578.3731130254348,6138.977891608073,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
18,-1601.3055325298435,6343.303873080712,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
18,-1630.8084782835679,6446.302022628051,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
19,-384.89128753977366,1708.3191336421016,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
19,-356.1788172683484,1528.1118703555255,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
19,-352.30091109359256,1490.87244755119,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
20,-1448.8297094899215,5541.520306572352,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
20,-1481.67276843619,5583.986381715662,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
20,-1487.5489853386487,5828.703452553959,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
21,-1972.9951788854016,7493.670528379526,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
21,-1946.976853913829,7373.69565220064,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
21,-1962.0360702173316,7383.313209061067,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
22,-795.1204517337085,3050.7549994788046,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
22,-801.5486028485655,3068.1832086039954,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
22,-807.7120302460402,3136.502856530264,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
23,-947.61501109012,3403.5977943753587,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
23,-923.2844095142543,3081.2695099787484,NEW_LL_DDPG_OnlyCosts_FORECAST06,46241.072274923325
