Building,Total Profit,Total Emissions,Setup
1,-874.0186094952276,3885.967352799168,NEW_LL_DDPG_OnlyCosts_FORECAST1
1,-891.8050464023415,3903.9660800697793,NEW_LL_DDPG_OnlyCosts_FORECAST1
1,-925.5678186777513,4149.354231907384,NEW_LL_DDPG_OnlyCosts_FORECAST1
2,-1100.3819647954053,4050.3304216471793,NEW_LL_DDPG_OnlyCosts_FORECAST1
2,-1127.2880469542956,4196.638333978434,NEW_LL_DDPG_OnlyCosts_FORECAST1
2,-1136.2899077690267,4251.7354501819045,NEW_LL_DDPG_OnlyCosts_FORECAST1
3,-308.63938240039636,1418.1573991032876,NEW_LL_DDPG_OnlyCosts_FORECAST1
3,-279.98012402533175,1154.8874595614882,NEW_LL_DDPG_OnlyCosts_FORECAST1
3,-323.88406933043063,1556.1167474355007,NEW_LL_DDPG_OnlyCosts_FORECAST1
4,-952.7797875372421,3880.904034296649,NEW_LL_DDPG_OnlyCosts_FORECAST1
4,-929.3625241943206,3740.1560957867446,NEW_LL_DDPG_OnlyCosts_FORECAST1
4,-956.2727967860061,3916.269277746644,NEW_LL_DDPG_OnlyCosts_FORECAST1
5,-1062.0075035380194,4201.932557132101,NEW_LL_DDPG_OnlyCosts_FORECAST1
5,-1048.160263032634,3977.3699200803003,NEW_LL_DDPG_OnlyCosts_FORECAST1
5,-1092.6684055723756,4399.683693219336,NEW_LL_DDPG_OnlyCosts_FORECAST1
6,-2745.552028936879,10386.420843109618,NEW_LL_DDPG_OnlyCosts_FORECAST1
6,-2744.6365702912103,10467.070521299765,NEW_LL_DDPG_OnlyCosts_FORECAST1
6,-2744.5180820560686,10688.555067987932,NEW_LL_DDPG_OnlyCosts_FORECAST1
7,-636.1085972887878,2918.4714950315256,NEW_LL_DDPG_OnlyCosts_FORECAST1
7,-573.1432354800404,2401.0117689938825,NEW_LL_DDPG_OnlyCosts_FORECAST1
7,-580.2888022003732,2518.005657207763,NEW_LL_DDPG_OnlyCosts_FORECAST1
8,-2752.3377886693233,10169.115068189438,NEW_LL_DDPG_OnlyCosts_FORECAST1
8,-2757.487914124226,10021.59331715652,NEW_LL_DDPG_OnlyCosts_FORECAST1
8,-2746.435926643258,9791.011564976938,NEW_LL_DDPG_OnlyCosts_FORECAST1
9,-803.8465473770358,3336.331457961873,NEW_LL_DDPG_OnlyCosts_FORECAST1
