Building,Total Profit,Total Emissions,Setup
7,-514.868135584528,1677.2722030947268,NEW_FL_DDPG_FORECAST02
7,-514.2540803187495,1676.5947141076151,NEW_FL_DDPG_FORECAST02
7,-515.4009327717339,1691.3849187607366,NEW_FL_DDPG_FORECAST02
16,-983.911002636884,3128.3430539386877,NEW_FL_DDPG_FORECAST02
16,-983.9229567750427,3137.5767435270172,NEW_FL_DDPG_FORECAST02
16,-983.9809919334876,3140.4050211459835,NEW_FL_DDPG_FORECAST02
19,-306.08811464234105,882.5856659422958,NEW_FL_DDPG_FORECAST02
19,-309.2062743618444,869.1389463249014,NEW_FL_DDPG_FORECAST02
19,-308.198494328583,874.2245749554883,NEW_FL_DDPG_FORECAST02
24,-283.6415376949802,1498.3544668265797,NEW_FL_DDPG_FORECAST02
24,-284.244662699823,1497.3944768325139,NEW_FL_DDPG_FORECAST02
24,-284.10417443821234,1502.4845791762762,NEW_FL_DDPG_FORECAST02
1,-848.1399042114614,3576.5465612996964,NEW_FL_DDPG_FORECAST02
1,-845.0808333291169,3543.1548971864704,NEW_FL_DDPG_FORECAST02
1,-844.1141546152945,3539.939942263979,NEW_FL_DDPG_FORECAST02
11,-1053.434694102168,2907.7790802283157,NEW_FL_DDPG_FORECAST02
11,-1053.3141910406182,2915.4322109236673,NEW_FL_DDPG_FORECAST02
11,-1054.5138215131783,2877.6005918969536,NEW_FL_DDPG_FORECAST02
12,-1137.4898967796646,2810.175952814427,NEW_FL_DDPG_FORECAST02
12,-1137.59474611971,2806.822486143172,NEW_FL_DDPG_FORECAST02
12,-1137.4758314194269,2811.1749207029598,NEW_FL_DDPG_FORECAST02
27,-1054.5837532916537,2909.9822024856517,NEW_FL_DDPG_FORECAST02
27,-1054.526987786145,2910.769120462963,NEW_FL_DDPG_FORECAST02
27,-1054.2953107483393,2913.67753135669,NEW_FL_DDPG_FORECAST02
2,-1075.94738466834,3321.4166781413687,NEW_FL_DDPG_FORECAST02
2,-1075.792055557258,3308.7099354089305,NEW_FL_DDPG_FORECAST02
2,-1076.1910307762812,3321.8392563378716,NEW_FL_DDPG_FORECAST02
4,-918.7470585417806,2633.8160496415717,NEW_FL_DDPG_FORECAST02
4,-919.4501354478817,2611.9059322202233,NEW_FL_DDPG_FORECAST02
4,-919.3035481240062,2620.2850215319568,NEW_FL_DDPG_FORECAST02
6,-2722.2971777222197,9044.191296473828,NEW_FL_DDPG_FORECAST02
6,-2722.1439694384185,9046.182370502718,NEW_FL_DDPG_FORECAST02
6,-2722.4446910016786,9033.448952264142,NEW_FL_DDPG_FORECAST02
9,-735.4614587725086,2334.197167436812,NEW_FL_DDPG_FORECAST02
9,-735.047364014334,2351.5323508429274,NEW_FL_DDPG_FORECAST02
9,-734.9201199571887,2350.5055239812623,NEW_FL_DDPG_FORECAST02
10,-911.6599952634662,2633.580304294468,NEW_FL_DDPG_FORECAST02
10,-911.8532380355205,2633.099353149465,NEW_FL_DDPG_FORECAST02
10,-911.6782848343581,2632.3671986502704,NEW_FL_DDPG_FORECAST02
14,-770.3348257697899,2230.2062349112193,NEW_FL_DDPG_FORECAST02
14,-769.756236515853,2239.5468128283537,NEW_FL_DDPG_FORECAST02
14,-770.9848375338834,2223.74148974879,NEW_FL_DDPG_FORECAST02
15,-598.0662753718934,1613.3515318572618,NEW_FL_DDPG_FORECAST02
15,-598.4931868059189,1611.6202115570784,NEW_FL_DDPG_FORECAST02
15,-596.6012740486138,1619.324564745805,NEW_FL_DDPG_FORECAST02
18,-1541.8228480426123,5034.431628464062,NEW_FL_DDPG_FORECAST02
18,-1541.8286346062898,5041.6126771286,NEW_FL_DDPG_FORECAST02
18,-1541.774886185706,5038.797150770116,NEW_FL_DDPG_FORECAST02
25,-1343.64034366708,3902.0044078171945,NEW_FL_DDPG_FORECAST02
25,-1343.8328845590515,3895.885500279382,NEW_FL_DDPG_FORECAST02
25,-1342.8704737435955,3894.857212102738,NEW_FL_DDPG_FORECAST02
30,-592.5210972193931,1652.587640645965,NEW_FL_DDPG_FORECAST02
30,-592.683831161842,1654.1008649948762,NEW_FL_DDPG_FORECAST02
30,-592.5146872573132,1650.805001911649,NEW_FL_DDPG_FORECAST02
20,-1346.0127615654849,4640.303990847109,NEW_FL_DDPG_FORECAST02
20,-1345.7004356287673,4635.315426437063,NEW_FL_DDPG_FORECAST02
20,-1345.253588250827,4630.75791030014,NEW_FL_DDPG_FORECAST02
26,-1776.3142085796987,6480.341308230126,NEW_FL_DDPG_FORECAST02
26,-1776.1995654565915,6494.494210877831,NEW_FL_DDPG_FORECAST02
26,-1776.1126860977174,6488.812592347954,NEW_FL_DDPG_FORECAST02
28,-611.2674753852552,1865.2876595083376,NEW_FL_DDPG_FORECAST02
28,-611.5750933251473,1846.6481256520258,NEW_FL_DDPG_FORECAST02
28,-611.6340931780286,1845.0705381318737,NEW_FL_DDPG_FORECAST02
13,-508.09478994977735,1692.3131489930709,NEW_FL_DDPG_FORECAST02
13,-509.1689920436296,1700.7602600049142,NEW_FL_DDPG_FORECAST02
13,-509.4950924593109,1706.8342102535732,NEW_FL_DDPG_FORECAST02
17,-1748.7174950330577,5174.632966409804,NEW_FL_DDPG_FORECAST02
17,-1748.8632011584152,5167.697066666182,NEW_FL_DDPG_FORECAST02
17,-1748.7303959275125,5167.088445023721,NEW_FL_DDPG_FORECAST02
21,-1932.8438193709183,5971.900279405126,NEW_FL_DDPG_FORECAST02
21,-1932.7837693084366,5975.888289074613,NEW_FL_DDPG_FORECAST02
21,-1932.763095399907,5974.987109564256,NEW_FL_DDPG_FORECAST02
29,-925.5497604054551,2612.575015655192,NEW_FL_DDPG_FORECAST02
29,-925.3985530896836,2656.040236723157,NEW_FL_DDPG_FORECAST02
