Building,Total Profit,Total Emissions,Setup
1,-832.3458163579721,3339.7528877320174,NEW_LL_DDPG_OnlyEmissions_v5
1,-830.1766223229141,3385.3491037576664,NEW_LL_DDPG_OnlyEmissions_v5
1,-815.382081602475,3280.971033886924,NEW_LL_DDPG_OnlyEmissions_v5
2,-1087.648259780342,3631.155117740139,NEW_LL_DDPG_OnlyEmissions_v5
2,-1095.8802968524765,3537.84303825809,NEW_LL_DDPG_OnlyEmissions_v5
2,-1114.5204074927178,3382.2563861418366,NEW_LL_DDPG_OnlyEmissions_v5
3,-317.6361392377315,1073.4509471138863,NEW_LL_DDPG_OnlyEmissions_v5
3,-308.9282008035836,1006.3330442157265,NEW_LL_DDPG_OnlyEmissions_v5
3,-315.38995657140055,1008.683456300165,NEW_LL_DDPG_OnlyEmissions_v5
4,-915.8779692032214,3004.5987913904496,NEW_LL_DDPG_OnlyEmissions_v5
4,-983.0840076934903,2754.3883772787053,NEW_LL_DDPG_OnlyEmissions_v5
4,-947.7702547059579,2755.0042146142605,NEW_LL_DDPG_OnlyEmissions_v5
5,-1060.9698267937833,3324.081109240023,NEW_LL_DDPG_OnlyEmissions_v5
5,-1061.8250294898955,3310.82680313147,NEW_LL_DDPG_OnlyEmissions_v5
5,-1065.309471097006,3466.6237152013846,NEW_LL_DDPG_OnlyEmissions_v5
6,-2725.0528389278147,9318.795139202699,NEW_LL_DDPG_OnlyEmissions_v5
6,-2729.636007043227,9686.193889744689,NEW_LL_DDPG_OnlyEmissions_v5
6,-2718.3859569312094,9391.851370874103,NEW_LL_DDPG_OnlyEmissions_v5
7,-538.6268605096291,1914.2856965158323,NEW_LL_DDPG_OnlyEmissions_v5
7,-542.6565829695318,1793.104198194416,NEW_LL_DDPG_OnlyEmissions_v5
7,-529.234156687947,1795.0893880535255,NEW_LL_DDPG_OnlyEmissions_v5
8,-2763.7715264408075,9189.717150259507,NEW_LL_DDPG_OnlyEmissions_v5
8,-2739.2370275039384,8967.740427227513,NEW_LL_DDPG_OnlyEmissions_v5
8,-2745.6085077573057,8924.426243239504,NEW_LL_DDPG_OnlyEmissions_v5
9,-747.6425511607788,2453.4739123216905,NEW_LL_DDPG_OnlyEmissions_v5
9,-752.9531136799299,2328.498833271222,NEW_LL_DDPG_OnlyEmissions_v5
9,-765.7112947240183,2377.1578432559068,NEW_LL_DDPG_OnlyEmissions_v5
10,-947.9044296844513,2940.112760642644,NEW_LL_DDPG_OnlyEmissions_v5
10,-949.2014778728267,2956.5488459472945,NEW_LL_DDPG_OnlyEmissions_v5
10,-930.0807227662684,3189.2564805928127,NEW_LL_DDPG_OnlyEmissions_v5
11,-1050.5617953305443,3154.3679648396146,NEW_LL_DDPG_OnlyEmissions_v5
11,-1062.494547959937,3167.5275323043948,NEW_LL_DDPG_OnlyEmissions_v5
11,-1053.4244673591393,3150.1909947568106,NEW_LL_DDPG_OnlyEmissions_v5
12,-1144.456968937273,3107.1972313774772,NEW_LL_DDPG_OnlyEmissions_v5
12,-1151.109905432393,2997.6570572100663,NEW_LL_DDPG_OnlyEmissions_v5
12,-1149.0675163669478,2918.2866265340476,NEW_LL_DDPG_OnlyEmissions_v5
13,-489.56956633728953,1831.0890741814221,NEW_LL_DDPG_OnlyEmissions_v5
13,-505.9271396373766,1942.5092732260684,NEW_LL_DDPG_OnlyEmissions_v5
13,-483.91095049975905,1758.8373976201333,NEW_LL_DDPG_OnlyEmissions_v5
14,-772.3496709454556,2402.876795480997,NEW_LL_DDPG_OnlyEmissions_v5
14,-769.1420732664448,2453.5799152778345,NEW_LL_DDPG_OnlyEmissions_v5
14,-767.9154665058943,2473.609568463832,NEW_LL_DDPG_OnlyEmissions_v5
15,-598.2684700455353,1840.3830955163453,NEW_LL_DDPG_OnlyEmissions_v5
15,-601.3411454716278,1644.5736281953525,NEW_LL_DDPG_OnlyEmissions_v5
15,-594.5965882441361,1784.1813463551189,NEW_LL_DDPG_OnlyEmissions_v5
16,-1005.1131768794278,3418.6341722823045,NEW_LL_DDPG_OnlyEmissions_v5
16,-1002.9630848536674,3366.2977735395693,NEW_LL_DDPG_OnlyEmissions_v5
16,-1011.2399984378651,3474.7998483547717,NEW_LL_DDPG_OnlyEmissions_v5
17,-1776.0636715917801,5644.167241103456,NEW_LL_DDPG_OnlyEmissions_v5
17,-1817.1655021036283,6057.059550829791,NEW_LL_DDPG_OnlyEmissions_v5
