Building,Total Profit,Total Emissions,Setup
7,-524.748510883102,1847.3896644986391,NEW_FL_DDPG_TRADEOFF_Beta08
7,-527.2077858397316,1863.7098511055235,NEW_FL_DDPG_TRADEOFF_Beta08
7,-525.628727045779,1849.7890073496071,NEW_FL_DDPG_TRADEOFF_Beta08
16,-984.9184888949409,3312.896615134951,NEW_FL_DDPG_TRADEOFF_Beta08
16,-985.1517827505733,3349.583059125092,NEW_FL_DDPG_TRADEOFF_Beta08
16,-985.6235004038022,3324.308538445996,NEW_FL_DDPG_TRADEOFF_Beta08
19,-296.8242038161159,927.5833873224393,NEW_FL_DDPG_TRADEOFF_Beta08
19,-297.72426634434504,950.7661917828465,NEW_FL_DDPG_TRADEOFF_Beta08
19,-297.8353819524088,950.1769856521523,NEW_FL_DDPG_TRADEOFF_Beta08
24,-286.11061825419847,1646.6957345482945,NEW_FL_DDPG_TRADEOFF_Beta08
24,-286.6577120029483,1659.2567191136204,NEW_FL_DDPG_TRADEOFF_Beta08
24,-286.5922417041003,1658.3772985734117,NEW_FL_DDPG_TRADEOFF_Beta08
1,-825.4108696183979,3470.346741065591,NEW_FL_DDPG_TRADEOFF_Beta08
1,-826.1767917368244,3464.781591472284,NEW_FL_DDPG_TRADEOFF_Beta08
1,-825.317407392174,3454.7760590150083,NEW_FL_DDPG_TRADEOFF_Beta08
11,-1048.2943779419938,3075.179915135458,NEW_FL_DDPG_TRADEOFF_Beta08
11,-1048.3375245133343,3078.0962643826706,NEW_FL_DDPG_TRADEOFF_Beta08
11,-1048.3707991528906,3073.9209836117416,NEW_FL_DDPG_TRADEOFF_Beta08
12,-1134.4843833543284,3120.0586580416157,NEW_FL_DDPG_TRADEOFF_Beta08
12,-1134.3883332854273,3124.9441751923155,NEW_FL_DDPG_TRADEOFF_Beta08
12,-1134.3273932917555,3127.505966118859,NEW_FL_DDPG_TRADEOFF_Beta08
27,-1049.0151621819452,3085.4236898386675,NEW_FL_DDPG_TRADEOFF_Beta08
27,-1049.4204081435537,3069.421947925576,NEW_FL_DDPG_TRADEOFF_Beta08
27,-1048.9686094649674,3084.0678905134737,NEW_FL_DDPG_TRADEOFF_Beta08
2,-1077.8136178217496,3367.710594731237,NEW_FL_DDPG_TRADEOFF_Beta08
2,-1077.74825505409,3367.8724092605244,NEW_FL_DDPG_TRADEOFF_Beta08
2,-1077.7107450596716,3370.6950097892723,NEW_FL_DDPG_TRADEOFF_Beta08
4,-915.5061769135499,2875.902143699401,NEW_FL_DDPG_TRADEOFF_Beta08
4,-915.546535326433,2870.579106613973,NEW_FL_DDPG_TRADEOFF_Beta08
4,-916.11681763047,2841.123534890517,NEW_FL_DDPG_TRADEOFF_Beta08
6,-2721.1357165563104,9154.263050081898,NEW_FL_DDPG_TRADEOFF_Beta08
6,-2721.670155475764,9141.189534602707,NEW_FL_DDPG_TRADEOFF_Beta08
