Building,Profit,Setup,Time
1,-1266.1511366278603,TD3_LL,21122.119354248047
1,-1266.1511366278603,TD3_LL,21122.119354248047
1,-1262.921363596087,TD3_LL,21122.119354248047
2,-1168.9184054678606,TD3_LL,21122.119354248047
2,-1168.9184054671166,TD3_LL,21122.119354248047
2,-1168.9184054678606,TD3_LL,21122.119354248047
3,-358.07272799786193,TD3_LL,21122.119354248047
3,-358.07272799786193,TD3_LL,21122.119354248047
3,-358.07272799670085,TD3_LL,21122.119354248047
4,-985.4892891275387,TD3_LL,21122.119354248047
4,-985.4892891278654,TD3_LL,21122.119354248047
4,-985.4892891174655,TD3_LL,21122.119354248047
5,-1108.3358392978653,TD3_LL,21122.119354248047
5,-4037.920074509765,TD3_LL,21122.119354248047
5,-1108.3358392978653,TD3_LL,21122.119354248047
6,-2776.0936872678617,TD3_LL,21122.119354248047
6,-2776.0936872678617,TD3_LL,21122.119354248047
6,-2776.0936872678617,TD3_LL,21122.119354248047
7,-796.7443907578656,TD3_LL,21122.119354248047
7,-796.7443907578656,TD3_LL,21122.119354248047
7,-3695.476290931789,TD3_LL,21122.119354248047
8,-2754.212194297876,TD3_LL,21122.119354248047
8,-2754.212194287059,TD3_LL,21122.119354248047
8,-2754.212194297876,TD3_LL,21122.119354248047
9,-874.3591195878619,TD3_LL,21122.119354248047
9,-3858.261273256947,TD3_LL,21122.119354248047
9,-874.3591195875352,TD3_LL,21122.119354248047
10,-1019.7242517478647,TD3_LL,21122.119354248047
10,-1019.724251651763,TD3_LL,21122.119354248047
10,-1019.7242517478647,TD3_LL,21122.119354248047
11,-1223.1621682378625,TD3_LL,21122.119354248047
11,-1223.1621682378625,TD3_LL,21122.119354248047
11,-1223.162168237536,TD3_LL,21122.119354248047
12,-1152.5166629878731,TD3_LL,21122.119354248047
12,-1152.5166629875466,TD3_LL,21122.119354248047
12,-1152.5166629878731,TD3_LL,21122.119354248047
13,-690.4740552478628,TD3_LL,21122.119354248047
13,-690.4740552475361,TD3_LL,21122.119354248047
13,-690.4740552475361,TD3_LL,21122.119354248047
14,-898.3982593378656,TD3_LL,21122.119354248047
14,-898.3982593378656,TD3_LL,21122.119354248047
14,-1001.1325460916271,TD3_LL,21122.119354248047
15,-687.1879576396499,TD3_LL,21122.119354248047
15,-687.1879576628623,TD3_LL,21122.119354248047
15,-687.1879576628623,TD3_LL,21122.119354248047
16,-1252.3911262678714,TD3_LL,21122.119354248047
16,-1252.3911262678714,TD3_LL,21122.119354248047
16,-1252.3911262350937,TD3_LL,21122.119354248047
17,-1845.8044222971193,TD3_LL,21122.119354248047
17,-1845.8044222978629,TD3_LL,21122.119354248047
17,-1845.8044222978629,TD3_LL,21122.119354248047
18,-1699.4632146375332,TD3_LL,21122.119354248047
18,-1699.4632146378597,TD3_LL,21122.119354248047
18,-1699.4632146378597,TD3_LL,21122.119354248047
19,-401.02704273786566,TD3_LL,21122.119354248047
19,-401.02704273786566,TD3_LL,21122.119354248047
19,-401.02704273753903,TD3_LL,21122.119354248047
20,-1511.7187957178708,TD3_LL,21122.119354248047
20,-4290.30818963463,TD3_LL,21122.119354248047
20,-1511.718795717127,TD3_LL,21122.119354248047
21,-1989.9289880578551,TD3_LL,21122.119354248047
21,-1989.9289880458766,TD3_LL,21122.119354248047
21,-1989.9289880578551,TD3_LL,21122.119354248047
22,-829.6425979928575,TD3_LL,21122.119354248047
22,-829.6425979704795,TD3_LL,21122.119354248047
22,-829.6425979928575,TD3_LL,21122.119354248047
23,-3979.0958540095326,TD3_LL,21122.119354248047
23,-1062.4303866278565,TD3_LL,21122.119354248047
23,-1062.4303866275297,TD3_LL,21122.119354248047
24,-591.4125334378652,TD3_LL,21122.119354248047
24,-591.4125334375386,TD3_LL,21122.119354248047
24,-591.4125334378652,TD3_LL,21122.119354248047
25,-1436.2570832300134,TD3_LL,21122.119354248047
25,-1439.471444227879,TD3_LL,21122.119354248047
25,-1439.471444227879,TD3_LL,21122.119354248047
26,-1832.8861236475304,TD3_LL,21122.119354248047
26,-1832.8861228041842,TD3_LL,21122.119354248047
26,-4553.074883693228,TD3_LL,21122.119354248047
27,-1129.7436211171225,TD3_LL,21122.119354248047
27,-1129.7436211175398,TD3_LL,21122.119354248047
27,-1129.7436211178665,TD3_LL,21122.119354248047
28,-668.6304974028603,TD3_LL,21122.119354248047
28,-668.6304974028603,TD3_LL,21122.119354248047
28,-668.6304974016992,TD3_LL,21122.119354248047
29,-1062.1730429475401,TD3_LL,21122.119354248047
29,-3965.960813298185,TD3_LL,21122.119354248047
29,-1062.1730429478669,TD3_LL,21122.119354248047
30,-722.5965893578617,TD3_LL,21122.119354248047
30,-722.5965893578617,TD3_LL,21122.119354248047
30,-722.5965893578617,TD3_LL,21122.119354248047
