Building,Total Profit,Total Emissions,Setup
7,-581.6630177577271,2470.838682589154,FL_DDPG_11Cluster_OnlyCosts_Figure7
7,-583.7736593565755,2494.048618345214,FL_DDPG_11Cluster_OnlyCosts_Figure7
7,-634.8460554690298,2735.7637309764077,FL_DDPG_11Cluster_OnlyCosts_Figure7
5,-1055.156962251663,4196.433746461328,FL_DDPG_11Cluster_OnlyCosts_Figure7
5,-1059.5767817554583,4235.887905247631,FL_DDPG_11Cluster_OnlyCosts_Figure7
5,-1057.4937567785146,4217.352311148215,FL_DDPG_11Cluster_OnlyCosts_Figure7
10,-956.7500210177556,3835.3580043293505,FL_DDPG_11Cluster_OnlyCosts_Figure7
10,-955.7258325948884,3825.4896776226865,FL_DDPG_11Cluster_OnlyCosts_Figure7
10,-954.4657194687122,3814.37149624296,FL_DDPG_11Cluster_OnlyCosts_Figure7
23,-970.2541226373838,3391.451859258917,FL_DDPG_11Cluster_OnlyCosts_Figure7
23,-971.9659447601093,3405.589178918647,FL_DDPG_11Cluster_OnlyCosts_Figure7
23,-976.2495025484501,3438.3548564999937,FL_DDPG_11Cluster_OnlyCosts_Figure7
25,-1375.643777480647,4731.938610454548,FL_DDPG_11Cluster_OnlyCosts_Figure7
25,-1371.9339124431092,4703.4849984608645,FL_DDPG_11Cluster_OnlyCosts_Figure7
25,-1375.4432142394974,4729.915888606282,FL_DDPG_11Cluster_OnlyCosts_Figure7
26,-1783.322381875148,6826.623023987359,FL_DDPG_11Cluster_OnlyCosts_Figure7
26,-1785.2314675393025,6844.018882764019,FL_DDPG_11Cluster_OnlyCosts_Figure7
26,-1784.2107477190455,6834.024281239629,FL_DDPG_11Cluster_OnlyCosts_Figure7
27,-1070.0906779184284,4128.185944965842,FL_DDPG_11Cluster_OnlyCosts_Figure7
27,-1069.6191291314246,4123.420930920501,FL_DDPG_11Cluster_OnlyCosts_Figure7
27,-1072.7682408955468,4147.004314313424,FL_DDPG_11Cluster_OnlyCosts_Figure7
1,-1030.5491906784541,4936.884570146173,FL_DDPG_11Cluster_OnlyCosts_Figure7
1,-992.3178533508258,4670.51642888385,FL_DDPG_11Cluster_OnlyCosts_Figure7
