Building,Total Profit,Total Emissions,Setup
31,-726.7648067488036,2321.9507477743323,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
31,-726.6466643458922,2324.8627186977055,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
31,-726.6523668817778,2322.8534474703833,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
32,-798.1468517779458,2529.8404241733824,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
32,-797.4489322529546,2526.8733326872743,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
32,-798.4075426610879,2526.403319239091,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
33,-1244.1130709915892,4293.127854642774,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
33,-1244.1258245334263,4289.561087323103,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
33,-1244.1319314308678,4287.627947281339,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
34,-1129.5659244910396,3508.0991850831624,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
34,-1128.8354981984965,3515.170259801624,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
34,-1129.3041283263083,3508.168835463124,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
35,-1925.8405222098634,6643.065541450116,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
35,-1925.4475934472807,6648.961579506858,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
35,-1925.8019313242166,6646.218842415393,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
36,-1263.481659651649,4609.400045323355,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
36,-1263.378449417455,4609.829289782725,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
36,-1263.5870056932956,4608.20656285996,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
37,-584.1357013848208,1794.2345475460907,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
37,-584.832745453723,1798.5111212755446,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
37,-585.7384471461935,1798.9019570135827,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
38,-822.545401260284,2593.079019974956,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
38,-822.6225297617165,2596.688901138014,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
38,-822.206658446104,2596.619069152519,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
39,-1317.8067844012733,4567.477553539423,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
39,-1314.2087313648774,4565.699334506488,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
39,-1315.4493923800565,4570.23698204159,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
40,-594.3901048360863,1731.2189637860158,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
40,-596.0309122062129,1739.740667356217,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
40,-594.8855782835574,1734.0584456836298,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
41,-711.2334517965954,2150.9002253797503,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
41,-710.9590962456875,2150.630945010556,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
41,-710.542594410644,2149.5093592929466,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
42,-1013.5874364791549,3648.872078419299,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
42,-1013.941833995643,3654.9222883765074,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
42,-1013.5794053673873,3657.3276996304226,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
43,-1211.0930469435853,4321.579242046001,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
43,-1211.4400478812274,4319.16361700623,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
43,-1210.5932442150126,4323.557342597197,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
44,-787.7921240930349,2579.6520519354417,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
44,-786.2715165219932,2569.628950462716,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
44,-786.3051635400091,2572.4583335823863,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
45,-427.2507089021544,1372.5692593034191,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
45,-427.1836992063259,1373.1932685474062,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
45,-427.1085441276002,1373.3607720694351,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
46,-1580.750311278083,5166.45097511993,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
46,-1581.302373195161,5149.824169366649,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
46,-1580.3875151963218,5179.828123989288,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
47,-979.4290960196981,3059.8457382797073,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
47,-980.2437003550367,3057.0276983047147,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
47,-978.911699251635,3048.201368176025,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
48,-448.79422097153883,1637.9215490690156,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
48,-449.3829686709879,1641.250236491746,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
48,-449.37736176692493,1642.9976803592526,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
49,-946.744013299456,2848.4178669857474,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
49,-944.9844315133032,2856.2088456625456,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
49,-945.7962025204516,2854.1240364148434,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
50,-476.53467978886044,1587.3340107040617,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
50,-477.63802986399713,1590.5555879950002,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
50,-476.6599050947889,1587.064311525991,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
51,-960.7197989844001,3201.130027912935,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
51,-960.3748371498882,3202.506312364434,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
51,-960.9806421578387,3207.206260330566,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
52,-975.494811426017,3429.253263354963,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
52,-975.0399848872607,3430.4632042872763,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
52,-973.595648673354,3432.6398463054484,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
53,-1236.9512603569995,4752.739297152062,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
53,-1237.6657196512529,4752.961640975159,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
53,-1236.7902186502347,4754.637998144056,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
54,-1099.668022265875,3676.948430130008,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
54,-1099.5325573333728,3680.3732612940807,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
54,-1099.2107504063883,3681.848019473782,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
55,-1484.3987031277204,5180.9400779941725,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
55,-1484.088459104547,5178.488222472356,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
55,-1484.4488599824865,5180.412181702434,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
56,-2272.059059455496,8218.260187303453,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
56,-2272.778745597712,8210.867596161852,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
56,-2271.927111196185,8220.813476464444,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
57,-1029.0109839400238,3521.014433337082,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
57,-1029.0273842319777,3526.5684113212183,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
57,-1028.6149384979549,3523.8988021513214,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
58,-2028.6509703273591,7021.70020101789,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
58,-2028.8636117587087,7026.960906938756,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
58,-2029.1585915978078,7030.094448835991,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
59,-1068.1324852958514,4103.057747564959,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
59,-1068.297025125319,4100.077362978646,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
59,-1068.4075231734462,4101.1487815339715,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
60,-364.48089360498994,1348.5403566802095,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
60,-363.7088273093597,1346.0678158457479,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
60,-365.111133178008,1348.737620688667,FL_DDPG_1Cluster_OnlyEmissions_ZeroShot
