Building,Total Profit,Total Emissions,Setup
1,-934.7829771176959,4049.4262793746857,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
1,-940.6177182587029,4100.635695345219,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
1,-937.5692214422393,4068.6374278600256,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
7,-612.7559880062792,2368.7770640282542,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
7,-612.7370784894316,2366.094640917147,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
7,-612.2030699673765,2368.799927813581,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
24,-333.18614618349153,1832.131037403655,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
24,-332.5680993466021,1829.2315432040255,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
24,-333.7460923812285,1833.60524178737,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
2,-1136.7118870311756,3702.7305516337506,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
2,-1135.6798313208433,3702.8802593579767,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
2,-1136.9224527017957,3702.6966918394396,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
3,-351.95850561048445,1250.5938578931286,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
3,-343.6562938754051,1221.738363524612,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
3,-355.1869058758202,1258.7750771233314,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
4,-971.6286422777385,3231.1726316998293,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
4,-970.1804947304431,3224.9387644011995,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
4,-970.4172874616006,3226.964873680397,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
5,-1093.9488882758335,3767.2363302636663,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
5,-1097.5989260022086,3783.2573507655757,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
5,-1093.0164576971101,3762.5952516870625,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
6,-2715.211566815287,9845.35788147789,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
6,-2715.924133594444,9799.946661102875,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
6,-2715.5211030685186,9826.28324600969,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
8,-2741.887704209919,9291.883198931087,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
8,-2741.4447438862067,9300.84538812904,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
8,-2741.354412306274,9302.50669010289,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
9,-846.6444946786057,3092.1359420244116,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
9,-847.4491609884395,3091.348984891012,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
9,-846.3355246888437,3090.9966231366598,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
10,-1024.0728375799897,3571.542840688398,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
10,-1023.9318672922526,3570.217412249325,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
10,-1025.6975477681935,3573.0119747644767,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
11,-1072.9283938181065,3509.2028430072833,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
11,-1072.0400877361615,3508.4960267221763,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
11,-1071.7260211941793,3510.152807775996,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
16,-1037.068014112898,3549.4604180637807,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
16,-1036.203705756263,3553.0765789297498,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
16,-1036.229022936065,3552.976709429883,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
17,-1761.0190203968784,5552.254342099191,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
17,-1761.226059143698,5546.494887885163,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
17,-1761.1876358813795,5548.537585765599,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
18,-1615.670717222161,5696.729196988616,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
18,-1612.3565650714659,5699.836259147432,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
18,-1614.5951579704215,5694.224908730524,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
21,-1938.0099534324154,6586.981780682069,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
21,-1937.8908002025132,6586.522491409584,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
21,-1938.1162039634396,6580.286862348976,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
23,-1001.3171835112204,3087.849311390291,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
23,-998.5070822582553,3079.042248047908,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
23,-1001.2495998811049,3091.6199491925095,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
25,-1390.716210163353,4291.341702706913,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
25,-1390.1094080461148,4280.129201506014,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
25,-1391.7895821413651,4285.322874927986,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
26,-1781.4714735326454,6176.3309515174415,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
26,-1782.8196177368538,6202.100689592988,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
26,-1783.0992285938655,6196.002282061383,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
27,-1078.620100245669,3483.717296523866,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
27,-1078.1314032833657,3495.1878745309673,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
27,-1078.6989375470268,3491.3108745804298,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
30,-706.486835912156,2489.708809690055,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
30,-712.4766647445063,2503.03812562883,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
30,-708.0930397457003,2494.5653104906164,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
12,-1133.7027662051944,3724.949857882759,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
12,-1133.8846191183036,3707.0827297130295,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
12,-1133.8596031122238,3708.4500650761684,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
13,-528.1365052164992,2041.1744827153261,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
13,-528.348544105729,2037.6841825212434,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
13,-528.0625225406222,2038.480400438254,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
14,-795.3101400043901,2750.289472686432,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
14,-795.0275357042375,2750.4607082773477,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
14,-795.8690277481882,2749.559233577109,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
15,-651.884721830677,2324.364438230927,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
15,-651.9599357342255,2326.1022380838467,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
15,-653.9197373432353,2314.7794957536603,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
19,-336.7496478736628,1040.7850841214183,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
19,-337.6971742744409,1032.2675713827625,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
19,-338.5713586196427,1042.2309498188124,FL_DDPG_3Cluster_OnlyEmissions_wAgg_Fig7
