Building,Total Profit,Total Emissions,Setup
7,-611.5494644572661,2701.777898670738,FL_DDPG_9Cluster_Alpha01_Figure6
7,-611.5628079997417,2710.5416155242146,FL_DDPG_9Cluster_Alpha01_Figure6
7,-609.442851849348,2684.510474584835,FL_DDPG_9Cluster_Alpha01_Figure6
16,-1089.9431832893094,4310.896782467531,FL_DDPG_9Cluster_Alpha01_Figure6
16,-1091.8449512067773,4324.138075231167,FL_DDPG_9Cluster_Alpha01_Figure6
16,-1091.8509580627594,4324.34940111214,FL_DDPG_9Cluster_Alpha01_Figure6
19,-340.61644109444023,1404.142501330444,FL_DDPG_9Cluster_Alpha01_Figure6
19,-341.64118814503394,1411.4316762663004,FL_DDPG_9Cluster_Alpha01_Figure6
19,-341.04741314616547,1407.2863267021644,FL_DDPG_9Cluster_Alpha01_Figure6
24,-381.5177551775729,2380.0234099646227,FL_DDPG_9Cluster_Alpha01_Figure6
24,-381.47171022854843,2379.68560233252,FL_DDPG_9Cluster_Alpha01_Figure6
24,-381.64667241662096,2380.637141584905,FL_DDPG_9Cluster_Alpha01_Figure6
1,-938.0553629783092,4352.560615741116,FL_DDPG_9Cluster_Alpha01_Figure6
1,-941.7903014977073,4380.347783289492,FL_DDPG_9Cluster_Alpha01_Figure6
1,-939.3063955035037,4363.138703659926,FL_DDPG_9Cluster_Alpha01_Figure6
11,-1087.737565776872,4133.9149786538355,FL_DDPG_9Cluster_Alpha01_Figure6
11,-1086.9975067157038,4128.313217275385,FL_DDPG_9Cluster_Alpha01_Figure6
11,-1087.839807212266,4134.868431586995,FL_DDPG_9Cluster_Alpha01_Figure6
12,-1135.4327554680788,4025.603995093911,FL_DDPG_9Cluster_Alpha01_Figure6
12,-1135.3650220664704,4022.6822386478657,FL_DDPG_9Cluster_Alpha01_Figure6
12,-1135.1617627792787,4001.464836660605,FL_DDPG_9Cluster_Alpha01_Figure6
27,-1058.9203396726052,3998.547318497474,FL_DDPG_9Cluster_Alpha01_Figure6
27,-1058.8808235624113,3998.8237827347793,FL_DDPG_9Cluster_Alpha01_Figure6
27,-1058.8777825325103,3998.6568358043983,FL_DDPG_9Cluster_Alpha01_Figure6
2,-1109.7856433587585,4162.851910893686,FL_DDPG_9Cluster_Alpha01_Figure6
2,-1109.922605564481,4163.8456421659075,FL_DDPG_9Cluster_Alpha01_Figure6
2,-1109.8289113954474,4163.180982223759,FL_DDPG_9Cluster_Alpha01_Figure6
4,-931.4939992563803,3770.955309271388,FL_DDPG_9Cluster_Alpha01_Figure6
4,-931.526799337677,3771.2048935837383,FL_DDPG_9Cluster_Alpha01_Figure6
4,-931.5519514351358,3771.3971198212744,FL_DDPG_9Cluster_Alpha01_Figure6
6,-2732.454443915499,10417.06880737808,FL_DDPG_9Cluster_Alpha01_Figure6
6,-2732.0142599572555,10413.797597812889,FL_DDPG_9Cluster_Alpha01_Figure6
6,-2732.3828582294364,10416.573406132475,FL_DDPG_9Cluster_Alpha01_Figure6
9,-821.8829555941578,3469.053422053059,FL_DDPG_9Cluster_Alpha01_Figure6
9,-822.5982686737274,3473.758409941977,FL_DDPG_9Cluster_Alpha01_Figure6
9,-822.7586838071713,3474.7770957404678,FL_DDPG_9Cluster_Alpha01_Figure6
10,-963.0867807751628,3879.1345722816814,FL_DDPG_9Cluster_Alpha01_Figure6
10,-963.068671736042,3879.017474123104,FL_DDPG_9Cluster_Alpha01_Figure6
10,-963.0488024745009,3878.8856095255373,FL_DDPG_9Cluster_Alpha01_Figure6
14,-819.5167807625385,3245.3242866151795,FL_DDPG_9Cluster_Alpha01_Figure6
14,-819.3538831727392,3244.1394023689236,FL_DDPG_9Cluster_Alpha01_Figure6
14,-819.3637470913686,3244.225130247609,FL_DDPG_9Cluster_Alpha01_Figure6
15,-644.9829696343987,2641.7428960827588,FL_DDPG_9Cluster_Alpha01_Figure6
15,-645.5924574906755,2646.276920273795,FL_DDPG_9Cluster_Alpha01_Figure6
15,-645.5188996363586,2645.728795356246,FL_DDPG_9Cluster_Alpha01_Figure6
18,-1634.75719536167,6419.336065711784,FL_DDPG_9Cluster_Alpha01_Figure6
18,-1635.1980456068807,6422.591631192729,FL_DDPG_9Cluster_Alpha01_Figure6
18,-1635.2461453808694,6422.977130350123,FL_DDPG_9Cluster_Alpha01_Figure6
25,-1389.1589213957463,4808.877364072664,FL_DDPG_9Cluster_Alpha01_Figure6
25,-1389.2437441244665,4809.386523910469,FL_DDPG_9Cluster_Alpha01_Figure6
25,-1389.226015498348,4809.24687869002,FL_DDPG_9Cluster_Alpha01_Figure6
30,-663.1883482826353,2785.048257814534,FL_DDPG_9Cluster_Alpha01_Figure6
30,-663.2259268370607,2785.2957247406844,FL_DDPG_9Cluster_Alpha01_Figure6
30,-663.3042523821919,2785.811522699552,FL_DDPG_9Cluster_Alpha01_Figure6
20,-1500.92001477088,5930.508334246967,FL_DDPG_9Cluster_Alpha01_Figure6
20,-1501.5855646604753,5935.3935498670035,FL_DDPG_9Cluster_Alpha01_Figure6
20,-1501.29002530541,5934.894888893679,FL_DDPG_9Cluster_Alpha01_Figure6
26,-1826.3965606710206,7136.501602920429,FL_DDPG_9Cluster_Alpha01_Figure6
26,-1826.2940374981392,7135.484264612197,FL_DDPG_9Cluster_Alpha01_Figure6
26,-1826.4194552414028,7136.461609037358,FL_DDPG_9Cluster_Alpha01_Figure6
28,-660.5170223515211,2498.436828727445,FL_DDPG_9Cluster_Alpha01_Figure6
28,-660.5262378643682,2498.5552335751663,FL_DDPG_9Cluster_Alpha01_Figure6
28,-660.5169480906237,2498.4664352095583,FL_DDPG_9Cluster_Alpha01_Figure6
13,-550.841134980181,2270.192155735858,FL_DDPG_9Cluster_Alpha01_Figure6
13,-550.205981935149,2266.578011063809,FL_DDPG_9Cluster_Alpha01_Figure6
13,-550.0969717969843,2266.1948876545516,FL_DDPG_9Cluster_Alpha01_Figure6
17,-1770.2154305222468,6118.514242830596,FL_DDPG_9Cluster_Alpha01_Figure6
17,-1769.8713947719434,6114.04509936552,FL_DDPG_9Cluster_Alpha01_Figure6
17,-1769.3654858287682,6110.67011687647,FL_DDPG_9Cluster_Alpha01_Figure6
21,-1938.2283607429472,7196.855448717849,FL_DDPG_9Cluster_Alpha01_Figure6
21,-1938.2279151262264,7197.037718380034,FL_DDPG_9Cluster_Alpha01_Figure6
21,-1937.9623863482802,7192.603058598331,FL_DDPG_9Cluster_Alpha01_Figure6
29,-964.0029423255804,3484.42549252422,FL_DDPG_9Cluster_Alpha01_Figure6
29,-964.0206993268478,3485.63664728048,FL_DDPG_9Cluster_Alpha01_Figure6
29,-963.2402045485854,3476.6575568249255,FL_DDPG_9Cluster_Alpha01_Figure6
8,-2757.679745795184,9940.14973190257,FL_DDPG_9Cluster_Alpha01_Figure6
8,-2756.0272016814474,9918.978627116512,FL_DDPG_9Cluster_Alpha01_Figure6
8,-2755.953616417015,9917.982410443561,FL_DDPG_9Cluster_Alpha01_Figure6
3,-315.26237463587023,1471.4179760390325,FL_DDPG_9Cluster_Alpha01_Figure6
3,-316.3972182577805,1480.070436417777,FL_DDPG_9Cluster_Alpha01_Figure6
3,-315.0906469666996,1469.7405738632137,FL_DDPG_9Cluster_Alpha01_Figure6
5,-1084.7441311283446,4399.022707912255,FL_DDPG_9Cluster_Alpha01_Figure6
5,-1084.6812659082298,4398.6870651919635,FL_DDPG_9Cluster_Alpha01_Figure6
5,-1088.6810769295907,4432.200496636215,FL_DDPG_9Cluster_Alpha01_Figure6
22,-807.0773189132922,3029.0638829976174,FL_DDPG_9Cluster_Alpha01_Figure6
22,-811.7716746079977,3067.1474859220225,FL_DDPG_9Cluster_Alpha01_Figure6
22,-807.4142518297944,3031.37603322607,FL_DDPG_9Cluster_Alpha01_Figure6
23,-1022.7284730432177,3740.146992511447,FL_DDPG_9Cluster_Alpha01_Figure6
23,-1024.2053587684152,3751.4906907990053,FL_DDPG_9Cluster_Alpha01_Figure6
23,-1023.7247530725554,3748.17429637052,FL_DDPG_9Cluster_Alpha01_Figure6
