Building,Total Profit,Total Emissions,Setup
7,-811.8213307493767,4043.7593540472235,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
7,-811.8293560596155,4043.817863315884,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
7,-811.8377008356711,4043.877388475629,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
3,-347.0410999382235,1662.1825569207858,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
3,-347.04413540369967,1662.1998183896737,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
3,-347.05790223810186,1662.294715623506,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
4,-973.7341021982653,4005.5457413567756,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
4,-973.7442669062852,4005.5979822375,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
4,-973.736210393218,4005.5550186988803,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
5,-1100.2618816500262,4481.84643617512,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
5,-1100.2663722174823,4481.874922042613,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
5,-1100.2669729531285,4481.879040707939,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
9,-866.6155640954797,3734.242382465928,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
9,-866.604041832873,3734.1943139464543,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
9,-866.610011307174,3734.2303766107766,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
10,-1014.0975600150065,4161.7465185856945,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
10,-1014.0985025996217,4161.752998402144,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
10,-1014.0981830309308,4161.754582655146,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
11,-1207.4258419135344,4898.9497009246425,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
11,-1207.4133744305152,4898.9067809107055,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
11,-1207.416604980895,4898.92026636927,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
16,-1242.2270704905368,5159.44405447831,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
16,-1242.2381586583947,5159.516312257599,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
16,-1242.23186073005,5159.473721050689,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
23,-1051.8281880243223,3884.724529236906,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
23,-1051.8269333950923,3884.770908057688,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
23,-1051.8272965192648,3884.7639331913106,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
25,-1427.3615856724562,5011.165165244447,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
25,-1427.3699479533648,5011.178102899601,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
25,-1427.3701865928606,5011.192147509932,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
26,-1822.8469192981845,7089.705279196876,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
26,-1822.8517282299943,7089.741499528286,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
26,-1822.8469355428747,7089.715008132114,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
27,-1120.6204851106168,4430.524586806539,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
27,-1120.6195734395128,4430.538509999852,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
27,-1120.6161958354373,4430.557518548418,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
30,-713.9542712784196,3082.6572067775032,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
30,-713.9506517239349,3082.6435304864012,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
30,-713.9479765775814,3082.6308182228768,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
1,-1238.377926126311,6197.366650672723,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
1,-1238.368399017684,6197.177587940006,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
1,-1238.3832942937267,6197.065235799139,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
24,-595.7240125744237,3697.9079148565943,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
24,-595.8653876888592,3698.6531464759473,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
24,-595.8329166458427,3698.4808607093446,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
12,-1139.1024750335755,4107.665924176094,FL_SAC_9Cluster_OnlyEmissions_Tab4_v2
