Building,Total Profit,Total Emissions,Setup
1,-1284.266847413295,6554.341093260442,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
1,-1285.1778991249823,6560.424135939992,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
1,-1280.2950067085094,6534.219974315095,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
7,-814.831472902051,4064.0036973645592,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
7,-815.5203046026844,4067.1761105594815,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
7,-817.4569380052136,4081.6755303314444,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
3,-390.4118728546213,1934.353604068785,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
3,-391.58186184242084,1940.9574981919318,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
3,-391.19163931379825,1936.80183468068,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
4,-1020.6779285968298,4295.969835120364,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
4,-1020.9256984445996,4297.44007770806,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
4,-1021.0562681548453,4297.8289070649935,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
5,-1138.1628819163295,4717.770910546803,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
5,-1138.1003866164992,4718.156183011088,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
5,-1137.6810358475261,4717.994047619261,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
9,-906.1543629740256,3981.3436237561623,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
9,-905.7780595638064,3979.8747908475734,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
9,-906.3233608103641,3982.2396880785545,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
11,-1276.3687766759138,5337.655484051315,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
11,-1273.5625646739409,5324.7833206294035,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
11,-1274.307702264909,5322.9879696212665,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
12,-1170.0514398050925,4434.788332708448,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
12,-1169.75077872938,4433.998385562822,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
12,-1169.3237888565877,4432.110939501076,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
16,-1328.438842678149,5663.793851270697,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
16,-1321.8000674420223,5633.319781460989,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
16,-1322.470810649734,5639.837263909959,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
23,-1113.9406911471597,4281.384380058832,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
23,-1113.0201565489397,4276.905637450566,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
23,-1109.7569173287563,4253.660931736073,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
25,-1467.8864251871626,5267.133928983393,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
25,-1467.689421329286,5265.569942880682,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
25,-1467.7037667048203,5265.648063153134,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
26,-1851.0741526713628,7314.168061177419,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
26,-1850.4635172311182,7311.828063653376,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
26,-1851.2259964218035,7315.089481422319,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
27,-1157.9153071610792,4675.984204344266,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
27,-1157.2341426259336,4672.068538559004,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
27,-1157.4874737546963,4673.502575142181,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
30,-754.3670084550648,3343.284493944735,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
30,-753.188668950744,3336.77422532436,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
30,-753.986112276063,3342.025980859,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
13,-734.3056552023953,3416.2386971674982,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
13,-738.0311945167774,3436.323139294919,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
13,-735.1539842039407,3419.8016085489226,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
14,-932.8040001745502,3956.225923076771,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
14,-933.9802726484118,3964.3235132267628,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
14,-932.4909968302429,3956.7648799631706,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
15,-721.3357546146343,3092.1336285948537,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
15,-716.8027640233411,3071.7286084090438,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
15,-723.0292796890752,3095.642780742529,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
19,-435.70846377781703,1990.2237974782781,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
19,-436.6199440960576,1991.6423718866563,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
19,-436.24712015141614,1990.0609832813375,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
20,-1550.4736531671945,6263.189463288396,FL_TD3_5Cluster_OnlyEmissions_AvgAgg_Fig7
