Building,Total Profit,Total Emissions,Setup
7,-637.2437118345521,2429.4182463366733,FL_DDPG_9Cluster_OnlyCost_Table4
7,-636.7729038405951,2435.1328447045294,FL_DDPG_9Cluster_OnlyCost_Table4
7,-635.5531202571291,2433.54134442176,FL_DDPG_9Cluster_OnlyCost_Table4
16,-1040.3703436418336,3847.3632888689017,FL_DDPG_9Cluster_OnlyCost_Table4
16,-1041.2830223370684,3859.621987569551,FL_DDPG_9Cluster_OnlyCost_Table4
16,-1041.902589043917,3863.861952109614,FL_DDPG_9Cluster_OnlyCost_Table4
19,-331.0815607348877,1031.3050649881309,FL_DDPG_9Cluster_OnlyCost_Table4
19,-330.85005451172935,1031.9726527686396,FL_DDPG_9Cluster_OnlyCost_Table4
19,-331.0031070031462,1031.336231930823,FL_DDPG_9Cluster_OnlyCost_Table4
24,-339.9089574998167,2019.115967586998,FL_DDPG_9Cluster_OnlyCost_Table4
24,-341.37277535046894,2031.3403972981214,FL_DDPG_9Cluster_OnlyCost_Table4
24,-341.8175795240463,2034.864982485573,FL_DDPG_9Cluster_OnlyCost_Table4
1,-947.2713507446497,4068.891020347014,FL_DDPG_9Cluster_OnlyCost_Table4
1,-946.2582976692232,4046.825006381848,FL_DDPG_9Cluster_OnlyCost_Table4
1,-952.0660879494675,4071.2269533528474,FL_DDPG_9Cluster_OnlyCost_Table4
11,-1096.931289600534,3296.957947231338,FL_DDPG_9Cluster_OnlyCost_Table4
11,-1096.9425007471318,3295.06248344047,FL_DDPG_9Cluster_OnlyCost_Table4
11,-1097.31737039736,3294.4358545715972,FL_DDPG_9Cluster_OnlyCost_Table4
12,-1156.2091640113479,3064.829560575495,FL_DDPG_9Cluster_OnlyCost_Table4
12,-1152.1395670769768,3085.61208955082,FL_DDPG_9Cluster_OnlyCost_Table4
12,-1152.4480167200843,3084.5090561795273,FL_DDPG_9Cluster_OnlyCost_Table4
27,-1093.654088451286,3246.5089702562655,FL_DDPG_9Cluster_OnlyCost_Table4
27,-1091.9287337442743,3238.9434197232554,FL_DDPG_9Cluster_OnlyCost_Table4
27,-1091.975191234829,3238.8611499945278,FL_DDPG_9Cluster_OnlyCost_Table4
2,-1112.2173420767467,3824.1996542358356,FL_DDPG_9Cluster_OnlyCost_Table4
