Building,Total Profit,Total Emissions,Setup
1,-938.2792731512232,3996.4703621088725,LL_DDPG_Alpha05_Figure6
1,-1001.8633204594273,4349.682080822365,LL_DDPG_Alpha05_Figure6
1,-957.578220048859,4366.469150779089,LL_DDPG_Alpha05_Figure6
2,-1157.3901697519152,4231.376524406718,LL_DDPG_Alpha05_Figure6
2,-1173.9518060227006,4514.6066111674545,LL_DDPG_Alpha05_Figure6
2,-1175.1456913202649,4532.364914047372,LL_DDPG_Alpha05_Figure6
3,-314.5137602141914,1221.0612681394177,LL_DDPG_Alpha05_Figure6
3,-302.65974942911566,1223.0768844045795,LL_DDPG_Alpha05_Figure6
3,-283.95663855228725,1142.7484403547921,LL_DDPG_Alpha05_Figure6
4,-926.332480966268,3711.728015832317,LL_DDPG_Alpha05_Figure6
4,-973.7594527332724,4006.1651311325472,LL_DDPG_Alpha05_Figure6
4,-959.3373985125314,3945.3628467534554,LL_DDPG_Alpha05_Figure6
5,-1112.9573909377962,4073.502611262932,LL_DDPG_Alpha05_Figure6
5,-1096.7207908350988,4471.771186291666,LL_DDPG_Alpha05_Figure6
5,-1082.7641553508927,4050.1631488336643,LL_DDPG_Alpha05_Figure6
6,-2753.393197789196,10323.315967177494,LL_DDPG_Alpha05_Figure6
6,-2729.6717316533964,10383.706930429378,LL_DDPG_Alpha05_Figure6
6,-2734.9843305656686,10263.276523883373,LL_DDPG_Alpha05_Figure6
7,-615.873864925594,2555.119214786766,LL_DDPG_Alpha05_Figure6
7,-588.2203922884361,2546.6779548121767,LL_DDPG_Alpha05_Figure6
7,-681.2291097753176,2693.4439286218003,LL_DDPG_Alpha05_Figure6
8,-2772.967083496476,9952.942258268959,LL_DDPG_Alpha05_Figure6
8,-2758.1345771913057,9800.455261873598,LL_DDPG_Alpha05_Figure6
8,-2753.315807875534,9889.5280089192,LL_DDPG_Alpha05_Figure6
9,-849.6063551590166,3602.1802035862847,LL_DDPG_Alpha05_Figure6
9,-858.2216134785842,3697.9636477477093,LL_DDPG_Alpha05_Figure6
9,-874.3589756169098,3783.387569473099,LL_DDPG_Alpha05_Figure6
10,-1060.0385064373227,3749.559952650563,LL_DDPG_Alpha05_Figure6
10,-1027.220321418468,4055.6485887992226,LL_DDPG_Alpha05_Figure6
10,-1066.5700882951048,3799.3235280704293,LL_DDPG_Alpha05_Figure6
11,-1115.6249450101557,3674.030245179436,LL_DDPG_Alpha05_Figure6
11,-1085.5272169551154,3715.300291498174,LL_DDPG_Alpha05_Figure6
11,-1077.063350821861,3995.5040731191048,LL_DDPG_Alpha05_Figure6
12,-1153.8590432208289,3608.033259844871,LL_DDPG_Alpha05_Figure6
12,-1136.4019031112884,3689.0740357506415,LL_DDPG_Alpha05_Figure6
12,-1141.5140184994698,3703.420198418125,LL_DDPG_Alpha05_Figure6
13,-540.9784927434796,2114.0332020945084,LL_DDPG_Alpha05_Figure6
13,-540.466703119016,2138.8291369612657,LL_DDPG_Alpha05_Figure6
13,-528.4123283054296,2108.557423247658,LL_DDPG_Alpha05_Figure6
14,-804.1776034417832,3001.560516280264,LL_DDPG_Alpha05_Figure6
14,-849.2084028683855,3390.6339152245137,LL_DDPG_Alpha05_Figure6
14,-887.7283843572316,3305.2393230582907,LL_DDPG_Alpha05_Figure6
15,-652.3470776279245,2689.2427726285823,LL_DDPG_Alpha05_Figure6
15,-630.1064464184333,2462.774802822966,LL_DDPG_Alpha05_Figure6
15,-646.5098209985108,2648.3916762146873,LL_DDPG_Alpha05_Figure6
16,-1158.493105585308,4740.956833268154,LL_DDPG_Alpha05_Figure6
16,-1098.8431596814216,3962.254032823722,LL_DDPG_Alpha05_Figure6
16,-1187.0961341467594,4905.342895163581,LL_DDPG_Alpha05_Figure6
17,-1828.3128238325,6564.200423321589,LL_DDPG_Alpha05_Figure6
17,-1832.5180497202205,6542.3890487636445,LL_DDPG_Alpha05_Figure6
17,-1832.8334565568694,6560.853858012252,LL_DDPG_Alpha05_Figure6
18,-1641.1821365241976,5907.554478504233,LL_DDPG_Alpha05_Figure6
18,-1650.37413233574,6483.414993644216,LL_DDPG_Alpha05_Figure6
18,-1699.4630718578658,6839.201233190552,LL_DDPG_Alpha05_Figure6
19,-348.21156656734786,1387.694172380993,LL_DDPG_Alpha05_Figure6
19,-380.8416673834049,1359.8354081378711,LL_DDPG_Alpha05_Figure6
19,-360.8512628734431,1270.231584825507,LL_DDPG_Alpha05_Figure6
20,-1406.3812967097444,5262.155972993064,LL_DDPG_Alpha05_Figure6
20,-1517.3091349986566,5874.178606243479,LL_DDPG_Alpha05_Figure6
20,-1392.9535866020854,4968.5872212738805,LL_DDPG_Alpha05_Figure6
21,-1981.4921323391145,7497.4678108056205,LL_DDPG_Alpha05_Figure6
21,-1989.9284698688705,7600.202007003955,LL_DDPG_Alpha05_Figure6
21,-1956.3647807109114,7325.602762269324,LL_DDPG_Alpha05_Figure6
22,-851.8684097167804,2966.343141373691,LL_DDPG_Alpha05_Figure6
22,-790.1371350316464,2773.829876462069,LL_DDPG_Alpha05_Figure6
22,-811.4427110401873,2847.3213682757128,LL_DDPG_Alpha05_Figure6
23,-993.2603409897405,3453.845642312892,LL_DDPG_Alpha05_Figure6
23,-976.4486493368845,3216.951018257211,LL_DDPG_Alpha05_Figure6
23,-969.928632173389,3360.9598650839166,LL_DDPG_Alpha05_Figure6
24,-409.07031815723593,2513.876861647823,LL_DDPG_Alpha05_Figure6
24,-588.19817244,3627.0301260664946,LL_DDPG_Alpha05_Figure6
24,-370.99540381386157,2298.55644753146,LL_DDPG_Alpha05_Figure6
25,-1373.9421088844251,4508.123262950832,LL_DDPG_Alpha05_Figure6
25,-1457.3997259255948,5106.268571177898,LL_DDPG_Alpha05_Figure6
25,-1384.7714689270517,4623.881653777586,LL_DDPG_Alpha05_Figure6
26,-1805.7429673868094,6900.742108880564,LL_DDPG_Alpha05_Figure6
26,-1829.739850519792,6884.520866765424,LL_DDPG_Alpha05_Figure6
26,-1824.5942143267628,7103.769766089785,LL_DDPG_Alpha05_Figure6
27,-1062.0814280066083,3964.411114065301,LL_DDPG_Alpha05_Figure6
27,-1124.2691481896768,4454.612118872197,LL_DDPG_Alpha05_Figure6
27,-1083.5935628997652,4076.1216745881748,LL_DDPG_Alpha05_Figure6
28,-618.3483368588572,1937.9215416841278,LL_DDPG_Alpha05_Figure6
28,-645.871444597666,2043.6090836686142,LL_DDPG_Alpha05_Figure6
28,-630.9405781174931,1955.4846597679623,LL_DDPG_Alpha05_Figure6
29,-995.1789282173686,3250.5482744489004,LL_DDPG_Alpha05_Figure6
29,-991.9201259390532,3429.609036501131,LL_DDPG_Alpha05_Figure6
29,-989.554674481597,3523.0758462453946,LL_DDPG_Alpha05_Figure6
30,-652.7438350300598,2566.686387237038,LL_DDPG_Alpha05_Figure6
30,-714.8545867981863,3108.7651430972837,LL_DDPG_Alpha05_Figure6
30,-685.8644410121528,2727.962224684681,LL_DDPG_Alpha05_Figure6
