Building,Total Profit,Total Emissions,Setup
31,-898.4159282378827,2844.8567555977593,LL_DDPG_Building1_OnlyEmissions_ZeroShot
31,-896.3405317165121,2836.8561651433347,LL_DDPG_Building1_OnlyEmissions_ZeroShot
31,-896.3405317165121,2836.8561651433347,LL_DDPG_Building1_OnlyEmissions_ZeroShot
32,-950.3539970251354,3076.6092575326056,LL_DDPG_Building1_OnlyEmissions_ZeroShot
32,-918.7608501044706,2955.233746475329,LL_DDPG_Building1_OnlyEmissions_ZeroShot
32,-918.7608501044706,2955.233746475329,LL_DDPG_Building1_OnlyEmissions_ZeroShot
33,-1424.9559360752028,4856.057156554374,LL_DDPG_Building1_OnlyEmissions_ZeroShot
33,-1424.9546001240365,4862.9904710015035,LL_DDPG_Building1_OnlyEmissions_ZeroShot
33,-1424.9546001240365,4862.9904710015035,LL_DDPG_Building1_OnlyEmissions_ZeroShot
34,-1242.8024643040553,3813.5170376319243,LL_DDPG_Building1_OnlyEmissions_ZeroShot
34,-1218.5222050332334,3722.8652788814575,LL_DDPG_Building1_OnlyEmissions_ZeroShot
34,-1218.5222050332334,3722.8652788814575,LL_DDPG_Building1_OnlyEmissions_ZeroShot
35,-2037.356709249408,6710.733284967895,LL_DDPG_Building1_OnlyEmissions_ZeroShot
35,-2016.080981267207,6740.780569988007,LL_DDPG_Building1_OnlyEmissions_ZeroShot
35,-2016.080981267207,6740.780569988007,LL_DDPG_Building1_OnlyEmissions_ZeroShot
36,-1318.3699418816461,4576.155871990832,LL_DDPG_Building1_OnlyEmissions_ZeroShot
36,-1356.9345824589504,4665.31455065813,LL_DDPG_Building1_OnlyEmissions_ZeroShot
36,-1356.9345824589504,4665.31455065813,LL_DDPG_Building1_OnlyEmissions_ZeroShot
37,-724.5530912855717,2285.0612639905794,LL_DDPG_Building1_OnlyEmissions_ZeroShot
37,-724.9456300089931,2288.0903246483886,LL_DDPG_Building1_OnlyEmissions_ZeroShot
37,-724.9456300089931,2288.0903246483886,LL_DDPG_Building1_OnlyEmissions_ZeroShot
38,-979.6343420247389,3156.640604445691,LL_DDPG_Building1_OnlyEmissions_ZeroShot
38,-942.0244512414104,3003.2037753720865,LL_DDPG_Building1_OnlyEmissions_ZeroShot
38,-942.0244512414104,3003.2037753720865,LL_DDPG_Building1_OnlyEmissions_ZeroShot
39,-1460.1096125182855,4913.541015869201,LL_DDPG_Building1_OnlyEmissions_ZeroShot
39,-1457.794733394036,4904.90482076527,LL_DDPG_Building1_OnlyEmissions_ZeroShot
39,-1457.794733394036,4904.90482076527,LL_DDPG_Building1_OnlyEmissions_ZeroShot
