Building,Total Profit,Total Emissions,Setup,Time
1,-969.1103584278251,4509.552080913681,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
1,-925.7301277254373,4081.201401193902,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
1,-982.983523753955,4473.322097302552,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
2,-1170.4191907820507,4500.5650785819225,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
2,-1168.9183531477663,4499.912830488469,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
2,-1168.918336375005,4499.9128362289,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
3,-354.82693470513897,1706.2403464541133,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
3,-289.16038335098887,1305.461962362032,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
3,-304.73714551175453,1396.9959424156434,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
4,-941.3429065530191,3834.206810938112,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
4,-1024.4227901189513,4289.419010401349,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
4,-948.6857467954635,3790.1395967552344,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
5,-1103.1017983778165,4502.680734454529,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
5,-1108.3357896007215,4536.154797640426,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
5,-1104.4555685098562,4516.692593238545,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
6,-2745.8730387834444,10463.26536426971,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
6,-2758.5015449849675,10554.099924215956,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
6,-2729.3232284350725,10094.277067457375,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
7,-700.3577265487747,3371.172782641281,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
7,-796.7441054028318,3930.585854206605,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
7,-671.4027334044943,3152.3024302547383,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
8,-2754.211904176187,9900.111289402315,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
8,-2754.211471332688,9900.11143895343,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
8,-2955.8563853134797,10864.638590526944,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
9,-895.321692759644,3907.917512379219,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
9,-887.1593294170615,3803.7410702311863,LL_DDPG_OnlyCosts_Noise02_Figure8,14806.701574325562
