Building,Total Profit,Total Emissions,Setup,Time
1,-1114.5800770904366,5496.058434064345,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
1,-1091.6230635569593,5316.043919561264,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
1,-1038.226060784838,5022.449041335595,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
2,-1136.3716437432115,4276.280267616553,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
2,-1122.141480789711,4218.227539725264,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
2,-1183.6446864546099,4550.811083452608,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
3,-278.87722413151744,1163.3472676178217,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
3,-276.3709383530479,1174.3659917082184,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
3,-370.2642421993154,1745.513549525305,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
4,-975.424198141264,4056.0042368072864,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
4,-970.6536373546361,4028.61958348462,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
4,-964.3151595080882,3945.936529823885,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
5,-1110.9806645671026,4566.357917835187,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
5,-1098.44083707323,4502.58829585857,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
5,-1100.8829409222762,4514.333515973488,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
6,-2744.610702475589,10491.842625877754,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
6,-2733.573500625723,10372.430318484094,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
6,-2725.491558161043,10307.316291439034,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
7,-716.9487184359771,3445.226534762211,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
7,-741.8075032912725,3634.300812766548,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
7,-740.1944769450985,3618.54105036954,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
8,-2763.4100936900895,9917.789619920457,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
8,-2803.9474501498303,10152.81749897323,LL_DDPG_OnlyCosts_Table4_Collstps10,8037.3658401966095
