Building,Total Profit,Total Emissions,Setup,Time
1,-1204.0366533617519,5967.669719741674,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
1,-1481.7207088233638,7900.221809906313,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
1,-1291.583489348856,6593.580844682416,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
2,-1218.9198712948155,4798.973119435454,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
2,-1211.860692732592,4585.955864428832,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
2,-1266.7601428394169,4961.256938108263,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
3,-386.59580409441907,1885.5028761540646,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
3,-367.97928440935374,1785.667165209354,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
3,-414.83566743125374,2081.1766664932693,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
4,-1046.760815795398,4514.114295977974,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
4,-1038.1476608937774,4380.520923598536,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
4,-988.5309339743034,4046.8836067905468,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
5,-1123.7882388308562,4609.233524663703,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
5,-1164.3994666843535,4825.316691450153,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
5,-1102.5549130908557,4500.907312641062,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
6,-2774.1732227000725,10654.956923317208,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
6,-2848.5460151446346,11231.32966708699,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
6,-2810.701065534893,10895.37770016541,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
7,-840.5730498041919,4204.563029143584,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
7,-858.8350797101972,4289.605011206569,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
7,-863.2178797537606,4336.896007975558,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
8,-2801.9462926803167,10425.457746405053,LL_DDPG_OnlyEmissions_Table4,11937.348768949509
