Building,Total Profit,Total Emissions,Setup,Time
1,-1266.348412480115,6430.362733779487,LL_PPO_OnlyCost_Table3,-6825.612521409988
1,-1265.711360764911,6427.820205268302,LL_PPO_OnlyCost_Table3,-6825.612521409988
1,-1279.758092110839,6550.114484938,LL_PPO_OnlyCost_Table3,-6825.612521409988
2,-1165.7040444699956,4486.300561874969,LL_PPO_OnlyCost_Table3,-6825.612521409988
2,-1169.0708346511485,4496.697155232072,LL_PPO_OnlyCost_Table3,-6825.612521409988
2,-1165.7040444699956,4486.300561874969,LL_PPO_OnlyCost_Table3,-6825.612521409988
3,-358.0445986893479,1731.78190976314,LL_PPO_OnlyCost_Table3,-6825.612521409988
3,-358.1521170772037,1730.2489496620096,LL_PPO_OnlyCost_Table3,-6825.612521409988
3,-354.8583669999963,1719.2886666884938,LL_PPO_OnlyCost_Table3,-6825.612521409988
4,-1047.9158372073125,4451.880533424797,LL_PPO_OnlyCost_Table3,-6825.612521409988
4,-982.2749281299997,4075.3946355054195,LL_PPO_OnlyCost_Table3,-6825.612521409988
4,-982.2760680295288,4075.3981481245232,LL_PPO_OnlyCost_Table3,-6825.612521409988
5,-1108.3245368986454,4533.774324447364,LL_PPO_OnlyCost_Table3,-6825.612521409988
5,-1108.3614988726863,4533.7143323836935,LL_PPO_OnlyCost_Table3,-6825.612521409988
5,-1108.3683620762351,4533.469020188342,LL_PPO_OnlyCost_Table3,-6825.612521409988
6,-2772.8793262699955,10642.88791292505,LL_PPO_OnlyCost_Table3,-6825.612521409988
6,-2772.8786850280308,10642.88592895105,LL_PPO_OnlyCost_Table3,-6825.612521409988
6,-2760.4180045158037,10504.362945783158,LL_PPO_OnlyCost_Table3,-6825.612521409988
7,-789.6408618299595,3884.6320210243575,LL_PPO_OnlyCost_Table3,-6825.612521409988
7,-842.3676347904341,4169.701212597697,LL_PPO_OnlyCost_Table3,-6825.612521409988
7,-951.6273883988252,4875.413110857331,LL_PPO_OnlyCost_Table3,-6825.612521409988
8,-2754.2564851504717,9898.457467096305,LL_PPO_OnlyCost_Table3,-6825.612521409988
8,-2750.9978333000104,9886.498925287273,LL_PPO_OnlyCost_Table3,-6825.612521409988
8,-2754.277494432838,9897.17705767822,LL_PPO_OnlyCost_Table3,-6825.612521409988
9,-877.672463061984,3772.3948902937286,LL_PPO_OnlyCost_Table3,-6825.612521409988
9,-884.1858656134416,3853.8990868323876,LL_PPO_OnlyCost_Table3,-6825.612521409988
9,-871.1447585899972,3769.775274463588,LL_PPO_OnlyCost_Table3,-6825.612521409988
10,-1022.9357268049279,4208.893521023611,LL_PPO_OnlyCost_Table3,-6825.612521409988
10,-1016.5186879239714,4194.949324713952,LL_PPO_OnlyCost_Table3,-6825.612521409988
10,-1052.834246703599,4448.8436326215715,LL_PPO_OnlyCost_Table3,-6825.612521409988
11,-1223.1629734254225,5006.495028020295,LL_PPO_OnlyCost_Table3,-6825.612521409988
11,-1385.8518409684698,5803.8465885127835,LL_PPO_OnlyCost_Table3,-6825.612521409988
11,-1240.0840809749072,5072.77046204056,LL_PPO_OnlyCost_Table3,-6825.612521409988
12,-1149.302301990008,4273.791287135646,LL_PPO_OnlyCost_Table3,-6825.612521409988
12,-1162.8611472974583,4391.75190530084,LL_PPO_OnlyCost_Table3,-6825.612521409988
12,-1168.1327819291719,4532.972286231767,LL_PPO_OnlyCost_Table3,-6825.612521409988
13,-687.2596942499976,3114.9501034876353,LL_PPO_OnlyCost_Table3,-6825.612521409988
13,-690.4904635122356,3126.4169473423203,LL_PPO_OnlyCost_Table3,-6825.612521409988
13,-690.4879987506812,3125.305203351539,LL_PPO_OnlyCost_Table3,-6825.612521409988
14,-934.7016364093863,3931.745115433925,LL_PPO_OnlyCost_Table3,-6825.612521409988
14,-1002.9796733853626,4498.042482183565,LL_PPO_OnlyCost_Table3,-6825.612521409988
14,-898.4420431330053,3718.169135080444,LL_PPO_OnlyCost_Table3,-6825.612521409988
15,-696.887274982156,2844.114657062674,LL_PPO_OnlyCost_Table3,-6825.612521409988
15,-693.5869686587888,2917.8497419466516,LL_PPO_OnlyCost_Table3,-6825.612521409988
15,-726.564952754492,3083.996758341218,LL_PPO_OnlyCost_Table3,-6825.612521409988
16,-1311.3842234276776,5453.470396069911,LL_PPO_OnlyCost_Table3,-6825.612521409988
16,-1254.8346197362707,5223.4066460645645,LL_PPO_OnlyCost_Table3,-6825.612521409988
16,-1252.3972854931642,5228.963027045974,LL_PPO_OnlyCost_Table3,-6825.612521409988
17,-1845.7984058616476,6638.843789241953,LL_PPO_OnlyCost_Table3,-6825.612521409988
17,-1843.9166575684815,6631.057803798497,LL_PPO_OnlyCost_Table3,-6825.612521409988
17,-1848.62871295968,6728.249024629537,LL_PPO_OnlyCost_Table3,-6825.612521409988
18,-1699.40848276589,6837.136965092914,LL_PPO_OnlyCost_Table3,-6825.612521409988
18,-1778.5361232305852,7338.179481200682,LL_PPO_OnlyCost_Table3,-6825.612521409988
18,-1701.8431630690866,6865.361116192506,LL_PPO_OnlyCost_Table3,-6825.612521409988
19,-400.9271500671848,1767.1164955263096,LL_PPO_OnlyCost_Table3,-6825.612521409988
19,-424.1990841407197,1931.3672349164563,LL_PPO_OnlyCost_Table3,-6825.612521409988
19,-430.9707991143711,1725.4322161825678,LL_PPO_OnlyCost_Table3,-6825.612521409988
20,-1508.5503139097175,5991.061228308219,LL_PPO_OnlyCost_Table3,-6825.612521409988
20,-1511.4870841022046,6000.989888193231,LL_PPO_OnlyCost_Table3,-6825.612521409988
20,-1508.5044347200057,5990.700803291578,LL_PPO_OnlyCost_Table3,-6825.612521409988
21,-1989.934088029386,7600.035617190716,LL_PPO_OnlyCost_Table3,-6825.612521409988
21,-1989.9680102894197,7598.849608420905,LL_PPO_OnlyCost_Table3,-6825.612521409988
21,-1984.3831779619543,7578.080396563473,LL_PPO_OnlyCost_Table3,-6825.612521409988
22,-826.8848540061707,3167.463287082512,LL_PPO_OnlyCost_Table3,-6825.612521409988
22,-829.6770595746834,3174.592960395035,LL_PPO_OnlyCost_Table3,-6825.612521409988
