Building,Total Profit,Total Emissions,Setup,Time
1,-1259.3941429746908,6392.2085256080045,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
1,-1289.6425764911114,6546.717748425115,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
1,-1265.930124027901,6428.372396170732,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
2,-1167.6038540251004,4500.537979517302,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
2,-1196.7879431835793,4725.27907833529,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
2,-1169.0389479344035,4496.725812456911,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
3,-370.36202782121643,1815.7425339979031,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
3,-327.4466837227893,1535.7230459388986,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
3,-333.1201350583279,1512.6354231984005,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
4,-982.2830191419836,4075.425681803874,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
4,-1065.235378935449,4575.752400194638,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
4,-982.2814331266119,4075.4170380709106,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
5,-1108.4090278083713,4533.292391496274,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
5,-1108.477084883028,4533.577784284449,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
5,-1123.5011627643332,4641.397768908842,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
6,-2789.103102786194,10631.431751914906,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
6,-2773.28328001265,10673.372875362118,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
6,-2772.8793262699955,10642.88791292505,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
7,-792.7296968861732,3899.2027939832965,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
7,-793.5300297600002,3916.97349463678,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
7,-957.0052260571692,4963.989412220029,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
8,-2751.7959270263186,9893.005701300497,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
8,-2750.9978333000104,9886.498925287273,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
8,-2750.9978333000104,9886.498925287273,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
9,-874.2645893413347,3781.382846769894,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
9,-931.822797691268,4080.9012621841184,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
9,-909.8689164164118,3833.96610333748,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
10,-991.7880554865994,3970.5211565790437,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
10,-1022.0062562770679,4217.818019231061,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
10,-1019.6407185047793,4204.69743553359,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
11,-1219.9478072399977,4995.782501416036,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
11,-1223.2697194084092,5008.8673079558275,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
11,-1313.1927284131336,5560.155528264379,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
12,-1149.8740888877371,4309.646527873429,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
12,-1150.7362822075208,4273.853757128655,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
12,-1150.8912192217692,4280.354274865262,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
13,-698.3360828178619,3172.4897439487777,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
13,-721.2672873087703,3308.1118763153486,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
13,-687.2596942499976,3114.9501034876353,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
14,-898.3946351478623,3720.3259778151078,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
14,-1013.4414628201368,4433.101024549316,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
14,-898.5859818277887,3717.0680619456593,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
15,-687.2130773695615,2890.035302979351,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
15,-687.5410914580923,2890.435719322457,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
15,-775.9584083697645,3450.3796142250353,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
16,-1249.1767652700064,5215.756962522972,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
16,-1249.1766992255882,5215.758264650449,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
16,-1251.583199569038,5295.008839224371,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
17,-1842.5971973375604,6625.164827668813,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
17,-1891.6805131345532,6939.020421741168,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
17,-1845.9896861704995,6693.262978482366,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
18,-1685.2487179084019,6505.175797794024,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
18,-1699.3884448351303,6836.406842426443,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
18,-1749.0704075081449,7016.644890445655,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
19,-397.81268174000047,1756.197293219307,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
19,-397.81268174000047,1756.197293219307,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
19,-397.0770151810318,1710.8116197080847,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
20,-1511.5390976048996,6001.871977881518,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
20,-1511.5053120785894,6000.123094916189,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
20,-1508.5044347200057,5990.700803291578,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
21,-1983.0148406586586,7579.685736114522,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
21,-1986.7146270599903,7586.589585307974,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
21,-2007.6214748675925,7693.530742583923,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
22,-826.1745035892312,3163.9721168173114,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
22,-829.7156371387349,3174.7528742329646,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
22,-829.6593450854068,3175.3443507650964,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
23,-1059.2160256299896,3953.5884564986422,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
23,-1069.5067364594006,4031.503048700515,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
23,-1131.7931069296446,4320.433318673145,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
24,-524.6298578004457,3221.559929611307,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
24,-631.9748354526474,3966.115471336689,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
24,-591.3779161226465,3639.0956209358246,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
25,-1432.7080872478427,5063.3011175407255,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
25,-1439.5151851799897,5094.567892288958,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
25,-1570.2864491979285,5740.779984222896,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
26,-1860.1472990027144,7261.263921396636,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
26,-1991.3994069523083,8310.93488456111,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
26,-1832.6074140790065,7184.084739537618,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
27,-1126.7793786892087,4486.071436588086,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
27,-1126.5292601200008,4484.678094109231,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
27,-1129.6852229490742,4494.570103045492,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
28,-668.9616002589717,2544.559064715816,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
28,-682.6984147051992,2707.0584611994973,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
28,-727.3497003208836,2958.950433226861,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
29,-1136.9448382134656,4596.5762696438715,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
29,-1065.0290721490642,4154.833542511517,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
29,-1069.3969976435515,4199.201002289001,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
30,-719.3822283599966,3128.5085813383375,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
30,-731.2318821261092,3192.8253434483067,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
30,-722.608583065,3140.2496531501556,LL_PPO_OnlyEmissions_Table4,-6872.494757413864
