Building,Total Profit,Total Emissions,Setup,Time
1,-1372.098943149545,7109.466398139668,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
1,-1262.9367756299955,6417.51235744809,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
1,-1266.1258338444616,6431.174575556389,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
2,-1167.232200366075,4492.888819501183,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
2,-1168.9273615851478,4499.799403778029,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
2,-1167.525670085789,4485.855651552069,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
3,-451.12848490286046,2239.0681117567665,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
3,-358.08389170009565,1729.7966812021873,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
3,-354.8583669999963,1719.2886666884938,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
4,-982.2749281299997,4075.3946355054195,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
4,-985.518656225633,4088.071494240938,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
4,-1064.4575866986618,4623.285694986628,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
5,-1150.275094317233,4685.172157411513,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
5,-1105.1214783000007,4522.542528608434,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
5,-1105.1214783000007,4522.542528608434,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
6,-2775.8158429646287,10648.305130203707,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
6,-2778.6997449919954,10626.371568317345,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
6,-2775.7928149567656,10578.119827696875,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
7,-793.6120700114982,3917.4114108782715,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
7,-793.5300297600002,3916.97349463678,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
7,-797.9699007978447,3927.124390934363,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
8,-2754.278895912859,9897.400292694874,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
8,-2750.9978333000104,9886.498925287273,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
8,-2754.2337679816715,9899.206025038124,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
9,-871.1447585899972,3769.775274463588,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
9,-874.3399523054791,3783.48984995058,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
9,-871.143694119906,3769.7719224925427,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
10,-1152.4654839886894,5029.69167164217,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
10,-1020.6390561049087,4184.99437473365,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
10,-1038.9558190909913,4277.901619384859,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
11,-1219.9478072399977,4995.782501416036,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
11,-1223.1480697653813,5001.1922592535375,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
11,-1220.26739064721,4981.208326898563,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
12,-1219.7435026893934,4794.958627674591,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
12,-1152.569130711446,4284.638310207361,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
12,-1215.6321948877855,4637.184563674819,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
13,-690.4606873141066,3125.256334211897,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
13,-744.7486871766748,3382.298408734903,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
13,-691.2725926738195,3131.1014641264414,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
14,-898.558415863838,3716.042201952957,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
14,-898.4308084420319,3717.1815704858873,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
14,-895.1838983400006,3706.681641178043,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
15,-672.9902542326455,2688.6205023257717,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
15,-726.5782910346929,3163.590098390358,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
15,-683.9735966649974,2877.5249842943826,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
16,-1249.1767652700064,5215.756962522972,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
16,-1252.4049812524142,5228.9457061978555,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
16,-1249.1767652700064,5215.756962522972,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
17,-1845.3136626391724,6606.807431056591,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
17,-1845.832750813052,6637.850179209529,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
17,-1842.590061299998,6625.142563719071,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
18,-1696.248853639994,6825.588934166395,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
18,-1696.9213333982705,6829.079496789131,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
18,-1697.151162853302,6819.743245155335,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
19,-397.81268174000047,1756.197293219307,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
19,-397.81268174000047,1756.197293219307,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
19,-383.74622831808745,1645.9240306424558,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
20,-1511.6303414619015,6002.110238128499,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
20,-1508.5044347200057,5990.700803291578,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
20,-1508.5044347200057,5990.700803291578,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
21,-1986.7271504120915,7586.654885710316,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
21,-1989.8973015205868,7600.235270661972,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
21,-1986.7146270599903,7586.589585307974,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
22,-826.4282369949927,3164.8398377734165,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
22,-793.2507254767713,2826.962339507946,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
22,-826.4282369949927,3164.8398377734165,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
23,-1164.279736845446,4648.579797680113,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
23,-1062.349186611549,3964.132116951975,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
23,-1059.2160256299896,3953.5884564986422,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
24,-590.9645424621035,3635.647973018479,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
24,-612.6643151405759,3701.9686759702454,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
24,-588.19817244,3627.0301260664946,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
25,-1453.9986720614238,5141.347495058566,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
25,-1436.2791360294057,5083.1502116015,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
25,-1436.2570832300134,5083.0194342700515,LL_PPO_OnlyEmissions_Table4_v2,-6739.516934633255
