Building,Total Profit,Total Emissions,Setup
7,-520.8041579972924,1853.0166967665587,NEW_FL_DDPG_OnlyEmissions_FORECAST04
7,-521.2123478078116,1854.4042489155481,NEW_FL_DDPG_OnlyEmissions_FORECAST04
7,-521.521801235054,1849.5198382890824,NEW_FL_DDPG_OnlyEmissions_FORECAST04
3,-259.84911088200437,833.0636659300303,NEW_FL_DDPG_OnlyEmissions_FORECAST04
3,-261.10839403051546,834.6063805698496,NEW_FL_DDPG_OnlyEmissions_FORECAST04
3,-258.9652470789206,829.8703396275318,NEW_FL_DDPG_OnlyEmissions_FORECAST04
4,-918.9361078712557,2706.4738474858,NEW_FL_DDPG_OnlyEmissions_FORECAST04
4,-919.0441317308508,2701.67313997555,NEW_FL_DDPG_OnlyEmissions_FORECAST04
4,-919.0905496684724,2699.5978732825047,NEW_FL_DDPG_OnlyEmissions_FORECAST04
5,-1051.1813914178683,3293.6162608221175,NEW_FL_DDPG_OnlyEmissions_FORECAST04
5,-1049.2057495524584,3293.594070993516,NEW_FL_DDPG_OnlyEmissions_FORECAST04
5,-1049.9813781283308,3288.7658197682317,NEW_FL_DDPG_OnlyEmissions_FORECAST04
9,-745.4780931689882,2402.565787813652,NEW_FL_DDPG_OnlyEmissions_FORECAST04
9,-745.7852524490647,2398.933430740983,NEW_FL_DDPG_OnlyEmissions_FORECAST04
9,-745.3449077875376,2410.7488665841374,NEW_FL_DDPG_OnlyEmissions_FORECAST04
10,-917.1981041481639,2715.267778552953,NEW_FL_DDPG_OnlyEmissions_FORECAST04
10,-917.8606303267665,2724.092797869639,NEW_FL_DDPG_OnlyEmissions_FORECAST04
10,-917.574901279237,2719.0131527039016,NEW_FL_DDPG_OnlyEmissions_FORECAST04
11,-1053.2290102683673,3039.6012412604978,NEW_FL_DDPG_OnlyEmissions_FORECAST04
11,-1052.494534532946,3018.011518290033,NEW_FL_DDPG_OnlyEmissions_FORECAST04
11,-1053.0207967903173,3046.4355322214606,NEW_FL_DDPG_OnlyEmissions_FORECAST04
16,-1005.11196364385,3221.855568115282,NEW_FL_DDPG_OnlyEmissions_FORECAST04
16,-1003.7238189978592,3195.5194296265304,NEW_FL_DDPG_OnlyEmissions_FORECAST04
16,-1003.2569538789793,3198.0098118839946,NEW_FL_DDPG_OnlyEmissions_FORECAST04
23,-928.1854877434205,2762.2791105831484,NEW_FL_DDPG_OnlyEmissions_FORECAST04
23,-928.4240247572467,2760.3889150032023,NEW_FL_DDPG_OnlyEmissions_FORECAST04
23,-928.0810440888886,2763.391121270538,NEW_FL_DDPG_OnlyEmissions_FORECAST04
25,-1348.536341838265,3885.011753815155,NEW_FL_DDPG_OnlyEmissions_FORECAST04
25,-1349.7256118669932,3888.651994578519,NEW_FL_DDPG_OnlyEmissions_FORECAST04
25,-1347.713447469204,3885.654847630668,NEW_FL_DDPG_OnlyEmissions_FORECAST04
26,-1777.325995082701,5829.724538917898,NEW_FL_DDPG_OnlyEmissions_FORECAST04
26,-1777.1612201684982,5836.484804863583,NEW_FL_DDPG_OnlyEmissions_FORECAST04
26,-1777.1614928015044,5837.394559198306,NEW_FL_DDPG_OnlyEmissions_FORECAST04
27,-1049.2811075515156,3013.9057111287316,NEW_FL_DDPG_OnlyEmissions_FORECAST04
27,-1050.7503825379367,2999.903598425505,NEW_FL_DDPG_OnlyEmissions_FORECAST04
27,-1049.0600276842702,3014.1595239168373,NEW_FL_DDPG_OnlyEmissions_FORECAST04
30,-603.6389959688759,1754.1271967563277,NEW_FL_DDPG_OnlyEmissions_FORECAST04
30,-602.724641937379,1748.7308559052276,NEW_FL_DDPG_OnlyEmissions_FORECAST04
30,-603.1328906424403,1752.480685588154,NEW_FL_DDPG_OnlyEmissions_FORECAST04
1,-839.887759720785,3384.7271214932316,NEW_FL_DDPG_OnlyEmissions_FORECAST04
1,-839.9909031355976,3379.2209115982546,NEW_FL_DDPG_OnlyEmissions_FORECAST04
1,-839.3498761757459,3385.394311751395,NEW_FL_DDPG_OnlyEmissions_FORECAST04
24,-305.9421104177676,1567.268129698589,NEW_FL_DDPG_OnlyEmissions_FORECAST04
24,-313.705114583303,1602.31601498447,NEW_FL_DDPG_OnlyEmissions_FORECAST04
24,-313.5822064344002,1598.016779307693,NEW_FL_DDPG_OnlyEmissions_FORECAST04
12,-1133.8234692416618,3283.4484238622886,NEW_FL_DDPG_OnlyEmissions_FORECAST04
12,-1134.1351843207715,3274.7868573757323,NEW_FL_DDPG_OnlyEmissions_FORECAST04
12,-1134.0704253190072,3274.6510710953144,NEW_FL_DDPG_OnlyEmissions_FORECAST04
13,-463.29534941753747,1568.0798544690244,NEW_FL_DDPG_OnlyEmissions_FORECAST04
13,-464.4818320952611,1581.6667591310318,NEW_FL_DDPG_OnlyEmissions_FORECAST04
13,-463.97536326262514,1583.5895072907974,NEW_FL_DDPG_OnlyEmissions_FORECAST04
14,-766.8961442576646,2423.1458832669005,NEW_FL_DDPG_OnlyEmissions_FORECAST04
14,-766.5407670462374,2426.210064162367,NEW_FL_DDPG_OnlyEmissions_FORECAST04
14,-766.7452952123606,2414.6934188149426,NEW_FL_DDPG_OnlyEmissions_FORECAST04
15,-592.53143000711,1949.1302207642007,NEW_FL_DDPG_OnlyEmissions_FORECAST04
15,-592.5474239893693,1942.4295853871556,NEW_FL_DDPG_OnlyEmissions_FORECAST04
15,-592.3436762952989,1928.4670783378122,NEW_FL_DDPG_OnlyEmissions_FORECAST04
19,-294.79995322126024,844.7823865752633,NEW_FL_DDPG_OnlyEmissions_FORECAST04
19,-294.3647806235021,844.214582093898,NEW_FL_DDPG_OnlyEmissions_FORECAST04
19,-294.394045335562,842.1601567596175,NEW_FL_DDPG_OnlyEmissions_FORECAST04
20,-1338.451253279615,4485.224322057438,NEW_FL_DDPG_OnlyEmissions_FORECAST04
20,-1338.3542125724691,4480.102700155841,NEW_FL_DDPG_OnlyEmissions_FORECAST04
20,-1337.8422329185735,4469.439627146442,NEW_FL_DDPG_OnlyEmissions_FORECAST04
22,-749.7994095309609,2344.956662496981,NEW_FL_DDPG_OnlyEmissions_FORECAST04
22,-749.7199672925958,2321.9123327447455,NEW_FL_DDPG_OnlyEmissions_FORECAST04
22,-749.8351975505925,2351.9281027331403,NEW_FL_DDPG_OnlyEmissions_FORECAST04
28,-610.9723617245069,1684.4451359465231,NEW_FL_DDPG_OnlyEmissions_FORECAST04
28,-610.9637733366491,1682.6866504567965,NEW_FL_DDPG_OnlyEmissions_FORECAST04
28,-610.889452233181,1684.7574843040936,NEW_FL_DDPG_OnlyEmissions_FORECAST04
29,-903.742942373894,2702.3350168819793,NEW_FL_DDPG_OnlyEmissions_FORECAST04
29,-904.0719354108526,2696.149274061888,NEW_FL_DDPG_OnlyEmissions_FORECAST04
29,-904.4054141450596,2710.8062481972115,NEW_FL_DDPG_OnlyEmissions_FORECAST04
6,-2773.830606019959,9442.341885887841,NEW_FL_DDPG_OnlyEmissions_FORECAST04
6,-2777.0912837750816,9427.1561773877,NEW_FL_DDPG_OnlyEmissions_FORECAST04
6,-2771.073117051892,9421.922697838914,NEW_FL_DDPG_OnlyEmissions_FORECAST04
17,-1787.7424765168003,5323.534262215094,NEW_FL_DDPG_OnlyEmissions_FORECAST04
17,-1785.939635175882,5321.831982646962,NEW_FL_DDPG_OnlyEmissions_FORECAST04
17,-1785.0335525992184,5339.53383837902,NEW_FL_DDPG_OnlyEmissions_FORECAST04
8,-2786.3035170634867,8857.84562327814,NEW_FL_DDPG_OnlyEmissions_FORECAST04
8,-2785.818154864253,8864.82551349567,NEW_FL_DDPG_OnlyEmissions_FORECAST04
8,-2789.9760057008243,8855.711435561683,NEW_FL_DDPG_OnlyEmissions_FORECAST04
2,-1121.7235693308282,3341.9250028919805,NEW_FL_DDPG_OnlyEmissions_FORECAST04
2,-1121.046850859388,3342.5555932718516,NEW_FL_DDPG_OnlyEmissions_FORECAST04
2,-1120.826885765802,3343.6893578072863,NEW_FL_DDPG_OnlyEmissions_FORECAST04
