Building,Total Profit,Total Emissions,Setup
7,-557.6524727633315,1966.1402860521314,NEW_FL_TD3_OnlyEmissions
7,-557.7504657031121,1961.6498413646352,NEW_FL_TD3_OnlyEmissions
7,-557.4995503034553,1957.217648661417,NEW_FL_TD3_OnlyEmissions
3,-259.5309662825039,1033.8790514316972,NEW_FL_TD3_OnlyEmissions
3,-259.63996725498595,1033.9728945582551,NEW_FL_TD3_OnlyEmissions
3,-259.639028147696,1034.0995690837367,NEW_FL_TD3_OnlyEmissions
4,-910.63231789316,3240.8598714911172,NEW_FL_TD3_OnlyEmissions
4,-910.6485389460407,3240.781003510224,NEW_FL_TD3_OnlyEmissions
4,-910.628608531776,3240.5591542629486,NEW_FL_TD3_OnlyEmissions
5,-1040.28253806037,3793.705650049676,NEW_FL_TD3_OnlyEmissions
5,-1040.3355573015585,3793.462598570693,NEW_FL_TD3_OnlyEmissions
5,-1040.3191421287304,3793.002915117016,NEW_FL_TD3_OnlyEmissions
9,-751.4590051416355,2828.101459248209,NEW_FL_TD3_OnlyEmissions
9,-751.6316682168822,2831.464017043773,NEW_FL_TD3_OnlyEmissions
9,-751.5271659977207,2827.4344324164263,NEW_FL_TD3_OnlyEmissions
10,-915.1329839424941,3234.5020110051532,NEW_FL_TD3_OnlyEmissions
10,-915.1193774805366,3237.1446385332633,NEW_FL_TD3_OnlyEmissions
10,-915.1013345196104,3236.0599892271675,NEW_FL_TD3_OnlyEmissions
11,-1058.7246225974382,3662.3882976209397,NEW_FL_TD3_OnlyEmissions
11,-1058.7226441630596,3663.4789699690455,NEW_FL_TD3_OnlyEmissions
11,-1058.7732211163607,3662.3990973514956,NEW_FL_TD3_OnlyEmissions
16,-1047.6309832603274,3934.5267653566993,NEW_FL_TD3_OnlyEmissions
16,-1044.6523801632093,3910.604335867473,NEW_FL_TD3_OnlyEmissions
16,-1044.7428735905335,3911.0575244378642,NEW_FL_TD3_OnlyEmissions
23,-942.2012726910269,3167.018861230901,NEW_FL_TD3_OnlyEmissions
23,-941.8436947228466,3163.9614317237856,NEW_FL_TD3_OnlyEmissions
23,-942.0109713147417,3165.489621456873,NEW_FL_TD3_OnlyEmissions
25,-1350.1596761429494,4305.642438877954,NEW_FL_TD3_OnlyEmissions
25,-1350.099269872964,4307.214639023306,NEW_FL_TD3_OnlyEmissions
25,-1350.1065144768856,4305.655773454569,NEW_FL_TD3_OnlyEmissions
26,-1770.317338445931,6524.844674580025,NEW_FL_TD3_OnlyEmissions
26,-1770.4633743593247,6533.937527421291,NEW_FL_TD3_OnlyEmissions
26,-1770.438086265242,6532.229187645513,NEW_FL_TD3_OnlyEmissions
27,-1043.4784150844246,3522.0767548650215,NEW_FL_TD3_OnlyEmissions
27,-1043.638914034646,3530.0736334103635,NEW_FL_TD3_OnlyEmissions
27,-1043.5971542007833,3529.345844451019,NEW_FL_TD3_OnlyEmissions
30,-603.8940475310486,2195.97510697295,NEW_FL_TD3_OnlyEmissions
30,-604.3384365836175,2203.4331981956243,NEW_FL_TD3_OnlyEmissions
30,-604.1279558039014,2197.715017627594,NEW_FL_TD3_OnlyEmissions
1,-826.2831809768346,3340.3592915970685,NEW_FL_TD3_OnlyEmissions
1,-829.8377360682829,3365.885227709106,NEW_FL_TD3_OnlyEmissions
1,-828.842699448704,3360.115681520056,NEW_FL_TD3_OnlyEmissions
24,-281.931816478808,1431.3437657912762,NEW_FL_TD3_OnlyEmissions
24,-279.49024621160777,1423.6099686790253,NEW_FL_TD3_OnlyEmissions
24,-279.48979277659623,1422.6588592000517,NEW_FL_TD3_OnlyEmissions
12,-1124.807467120051,3834.040013152022,NEW_FL_TD3_OnlyEmissions
12,-1124.813067127046,3837.9536686481633,NEW_FL_TD3_OnlyEmissions
12,-1124.8213600504196,3840.090493555914,NEW_FL_TD3_OnlyEmissions
13,-455.00674707786516,1644.0200936701744,NEW_FL_TD3_OnlyEmissions
13,-451.4926428996717,1627.005760991963,NEW_FL_TD3_OnlyEmissions
13,-451.4188238194605,1626.1151618727188,NEW_FL_TD3_OnlyEmissions
14,-757.9006503173443,2619.2598164971773,NEW_FL_TD3_OnlyEmissions
14,-757.7306594832365,2616.0385682853325,NEW_FL_TD3_OnlyEmissions
14,-757.8102453366624,2621.3431840406247,NEW_FL_TD3_OnlyEmissions
15,-590.4933897522653,2016.3882985957491,NEW_FL_TD3_OnlyEmissions
15,-590.3509012848664,2015.5699196098863,NEW_FL_TD3_OnlyEmissions
15,-590.4125268278684,2016.5553921189794,NEW_FL_TD3_OnlyEmissions
19,-302.40382198041635,920.167291024851,NEW_FL_TD3_OnlyEmissions
19,-301.8377489116099,920.0282921832827,NEW_FL_TD3_OnlyEmissions
19,-302.5089943385319,925.1686592679117,NEW_FL_TD3_OnlyEmissions
20,-1332.8362135787563,4736.033514487548,NEW_FL_TD3_OnlyEmissions
20,-1329.5494103998274,4691.528104943539,NEW_FL_TD3_OnlyEmissions
20,-1329.4950204871511,4689.346264227274,NEW_FL_TD3_OnlyEmissions
22,-749.0430037487442,2501.594226484447,NEW_FL_TD3_OnlyEmissions
22,-748.9476283220267,2502.2434043484413,NEW_FL_TD3_OnlyEmissions
22,-748.8891481458246,2501.472141813045,NEW_FL_TD3_OnlyEmissions
28,-610.0478869801701,1890.6234070206754,NEW_FL_TD3_OnlyEmissions
28,-609.9893883161461,1886.1906052493403,NEW_FL_TD3_OnlyEmissions
28,-610.0119809436706,1890.2782500538613,NEW_FL_TD3_OnlyEmissions
29,-894.5490477703631,2943.5222334681907,NEW_FL_TD3_OnlyEmissions
29,-894.3176235481029,2945.5452967272076,NEW_FL_TD3_OnlyEmissions
29,-894.5518114585378,2951.7865339174623,NEW_FL_TD3_OnlyEmissions
6,-2788.354143924954,9599.676179669139,NEW_FL_TD3_OnlyEmissions
6,-2787.2868359986837,9591.783912057981,NEW_FL_TD3_OnlyEmissions
6,-2783.545568414645,9601.626901981785,NEW_FL_TD3_OnlyEmissions
17,-1871.6219134376945,5919.444863753485,NEW_FL_TD3_OnlyEmissions
