Building,Total Profit,Total Emissions,Setup,Time
1,-874.7360318159994,3872.8459590915213,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
1,-881.7876670708467,4005.418205726451,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
1,-926.4740154249118,4374.02097948064,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
2,-1158.3312876294353,4534.0955954863075,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
2,-1157.8395345436609,4531.316343216205,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
2,-1150.3819586022817,4475.613996766351,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
3,-323.3632051650375,1511.288276630825,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
3,-329.5725920480786,1583.7033717651007,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
3,-295.75136239972437,1356.7752788459788,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
4,-942.0180578272069,3800.993733869599,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
4,-927.5645973600215,3718.2005505589186,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
4,-965.0012635639788,3964.6760916115873,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
5,-1084.5280985630154,4345.871041665901,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
5,-1080.8380385631458,4355.971379376669,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
5,-1085.6436162703203,4362.037839706731,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
6,-2728.4527644024674,10232.924409512878,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
6,-2725.2037133833855,10401.550298693837,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
6,-2741.058262667085,10653.719804542194,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
7,-586.0342411422113,2530.14836502261,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
7,-684.0839968204881,3241.523608350577,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
7,-596.4169297293379,2712.9334364677247,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
8,-2766.2287887013094,10050.789077045703,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
8,-2776.959114211425,10115.374658050185,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
8,-2745.6539386542113,9897.875831089164,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
9,-803.9091595676364,3331.8461049448515,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
9,-816.7097749234249,3446.3051411984825,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
9,-819.180902006377,3403.4281507253463,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
10,-983.4880942810233,3969.5401109908203,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
10,-1011.8623277616515,4172.279029092894,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
10,-1013.2264425810315,4153.032942470237,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
11,-1111.8667670302111,4336.530971907591,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
11,-1097.408237431408,4239.78290018282,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
11,-1106.5277809039014,4269.477947986454,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
12,-1136.8387950544763,4176.708190197091,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
12,-1137.6028828490555,4129.5605106011435,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
12,-1132.861727229154,4220.467887117918,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
13,-515.7544579359566,2105.5879398869724,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
13,-529.4757710992469,2183.0477447683006,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
13,-533.3631886987714,2147.7674951469785,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
14,-778.4897255587922,3000.9988184120557,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
14,-786.6354745411084,3056.9000493434273,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
14,-774.6144826438754,2854.5212351743494,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
15,-623.4710912303811,2554.194141739337,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
15,-637.9642354189486,2644.7565678495507,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
15,-611.7908436883502,2494.0644303510203,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
16,-1107.149789799362,4481.847302309298,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
16,-1122.8729093531379,4618.969923364458,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
16,-1136.28492443939,4738.9594585808,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
17,-1856.9624021970242,6947.4421204810005,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
17,-1830.8986778993522,6621.635769077037,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
17,-1806.9895410816212,6478.502445161884,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
18,-1612.5837909356221,6315.682003156196,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
18,-1604.3181048002039,6223.603685671838,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
18,-1551.507271666616,5852.169222146947,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
19,-321.4385957616642,1284.8213565327565,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
19,-319.42463966269975,1260.4497084119193,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
19,-347.2626526800857,1481.5130664237117,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
20,-1471.0241750666548,5799.997321111836,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
20,-1445.9549024460525,5538.9486833007995,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
20,-1416.7843041985684,5470.637836453167,NEW_LL_DDPG_OnlyCosts_v2,18635.576022863388
