Building,Total Profit,Total Emissions,Setup,Time
1,-1266.6855225678019,6421.736503550704,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
1,-1262.9367756299955,6417.51235744809,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
1,-1266.1511366278603,6431.124608590856,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
2,-1165.7040444699956,4486.300561874969,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
2,-1165.7040444699956,4486.300561874969,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
2,-1165.7040444699956,4486.300561874969,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
3,-354.8583669999963,1719.2886666884938,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
3,-367.8920133219391,1743.3601905785295,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
3,-358.07272799786193,1732.9009178312558,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
4,-985.5569982471742,4086.1112381484018,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
4,-982.2749281299997,4075.3946355054195,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
4,-982.2749281299997,4075.3946355054195,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
5,-1105.1214783000007,4522.542528608434,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
5,-1108.3358392978653,4536.154779751197,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
5,-1108.3727826347304,4534.26490233892,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
6,-2772.8793262699955,10642.88791292505,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
6,-2772.8793262699955,10642.88791292505,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
6,-2772.994162910525,10643.55094344188,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
7,-793.5300297600002,3916.97349463678,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
7,-793.5300297600002,3916.97349463678,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
7,-793.5300297600002,3916.97349463678,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
8,-2750.9978333000104,9886.498925287273,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
8,-2754.209150340645,9900.191421612695,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
8,-2750.9978333000104,9886.498925287273,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
9,-874.3591195878619,3783.3875256063507,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
9,-871.1447585899972,3769.775274463588,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
9,-871.1447585899972,3769.775274463588,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
10,-1016.5098907499993,4194.894882949273,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
10,-1019.7242517478647,4208.507134092032,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
10,-1025.040790802496,4224.536807840108,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
11,-1219.9478072399977,4995.782501416036,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
11,-1221.3208334006665,4995.976586071431,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
11,-1219.9478072399977,4995.782501416036,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
12,-1152.5166629878731,4287.403538278407,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
12,-1149.302301990008,4273.791287135646,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
12,-1152.5166629878731,4287.403538278407,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
13,-690.4740552478628,3128.5623546303955,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
13,-687.2596942499976,3114.9501034876353,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
13,-687.2596942499976,3114.9501034876353,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
14,-895.1838983400006,3706.681641178043,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
14,-895.1838983400006,3706.681641178043,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
14,-895.1838983400006,3706.681641178043,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
15,-687.1879576628623,2891.137235437146,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
15,-683.9735966649974,2877.5249842943826,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
15,-683.9735966649974,2877.5249842943826,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
16,-1257.0147513581462,5244.642539266892,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
16,-1252.3911262678714,5229.369213665733,NEW_LL_PPO_OnlyCosts_v5,-7204.97333574295
