Building,Total Profit,Total Emissions,Setup,Time
1,-1259.148459289995,6402.685661378015,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
1,-1259.148459289995,6402.685661378015,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
1,-1262.3628202878597,6416.29791252078,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
2,-1164.033125059996,4480.49764562594,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
2,-1164.033125059996,4480.49764562594,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
2,-1167.2474860578611,4494.109896768701,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
3,-356.7286628378619,1727.0496824534084,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
3,-356.7286628378619,1727.0496824534084,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
3,-353.5143018399963,1713.4374313106464,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
4,-980.3813178299997,4068.2036451987706,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
4,-983.5956788278654,4081.8158963415317,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
4,-983.5956788278654,4081.8158963415317,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
5,-1104.640717827865,4521.99643494854,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
5,-1101.4263568300005,4508.384183805777,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
5,-1101.4263568300005,4508.384183805777,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
6,-2771.113819937861,10639.650267492707,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
6,-2771.113819937861,10639.650267492707,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
6,-2771.113819937861,10639.650267492707,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
7,-795.5857538578657,3925.351705572675,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
7,-792.3713928600002,3911.7394544299145,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
7,-792.3713928600002,3911.7394544299145,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
8,-2749.8170619200096,9882.495159621263,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
8,-2753.0314229178753,9896.107410764029,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
8,-2753.0314229178753,9896.107410764029,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
9,-872.2916297778621,3774.227890982607,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
9,-869.0772687799974,3760.6156398398443,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
9,-869.0772687799974,3760.6156398398443,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
10,-1018.9953970878646,4205.488471808383,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
10,-1015.7810360899991,4191.876220665624,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
10,-1015.7810360899991,4191.876220665624,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
11,-1221.3563472078629,5004.055824110031,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
11,-1221.3563472078629,5004.055824110031,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
11,-1221.3563472078629,5004.055824110031,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
12,-1144.058100360008,4260.2714352763005,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
12,-1144.058100360008,4260.2714352763005,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
12,-1144.058100360008,4260.2714352763005,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
13,-686.1879288799973,3111.6661412240746,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
13,-689.4022898778626,3125.278392366835,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
13,-686.1879288799973,3111.6661412240746,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
14,-890.3574492200006,3687.816968901377,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
14,-893.5718102178656,3701.4292200441355,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
14,-890.3574492200006,3687.816968901377,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
15,-682.7121161649974,2873.529247495127,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
15,-682.7121161649974,2873.529247495127,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
15,-682.7121161649974,2873.529247495127,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
16,-1242.6194439100063,5197.240529769389,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
16,-1242.6194439100063,5197.240529769389,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
16,-1242.6194439100063,5197.240529769389,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
17,-1838.2072704099978,6614.1134121980285,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
17,-1838.2072704099978,6614.1134121980285,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
17,-1841.4216314078626,6627.725663340792,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
18,-1692.677884109994,6811.446201740927,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
18,-1692.677884109994,6811.446201740927,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
18,-1695.8922451078597,6825.058452883687,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
19,-397.4223306700005,1754.6499630597946,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
19,-397.4223306700005,1754.6499630597946,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
19,-397.4223306700005,1754.6499630597946,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
20,-1506.6705189000058,5983.971419429791,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
20,-1509.8848798978709,5997.583670572554,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
20,-1506.6705189000058,5983.971419429791,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
21,-1984.172663807855,7578.2448363439535,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
21,-1984.172663807855,7578.2448363439535,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
21,-1980.9583028099903,7564.632585201195,NEW_LL_PPO_OnlyEmissions,-9547.045751571655
