Building,Profit,Setup
7,-796.8480649112724,PPO_FL
7,-796.4721496641486,PPO_FL
7,-796.7274614304343,PPO_FL
25,-1441.4738191987647,PPO_FL
25,-1441.4671873734178,PPO_FL
25,-1441.6148128004586,PPO_FL
16,-1255.1070637751802,PPO_FL
16,-1255.159060632732,PPO_FL
16,-1255.6478359155547,PPO_FL
17,-1847.5213573899105,PPO_FL
17,-1847.5349087139361,PPO_FL
17,-1847.5810478595267,PPO_FL
21,-1990.6000433578372,PPO_FL
21,-1990.5996935698943,PPO_FL
21,-1990.5681939497533,PPO_FL
5,-1094.0480459654273,PPO_FL
5,-1082.7264060867255,PPO_FL
5,-1079.2067769623723,PPO_FL
12,-1149.043254625866,PPO_FL
12,-1140.574514475689,PPO_FL
12,-1141.4455604927973,PPO_FL
13,-588.9543262978361,PPO_FL
13,-597.8275887854915,PPO_FL
13,-597.6531464506188,PPO_FL
19,-325.8976992243614,PPO_FL
19,-331.1720991496274,PPO_FL
19,-329.4254546278149,PPO_FL
20,-1390.5298129219866,PPO_FL
20,-1416.0753952584562,PPO_FL
20,-1400.1264144235013,PPO_FL
23,-977.5337825117269,PPO_FL
23,-1014.5509603720549,PPO_FL
23,-1024.0567061797897,PPO_FL
24,-523.8769629866975,PPO_FL
24,-466.00847658303496,PPO_FL
24,-488.3330535031069,PPO_FL
26,-1779.5519525163825,PPO_FL
26,-1779.56931992416,PPO_FL
26,-1796.8298247686107,PPO_FL
27,-1066.4623040397883,PPO_FL
27,-1087.7548501002848,PPO_FL
27,-1074.4182905524945,PPO_FL
28,-633.7752856864428,PPO_FL
28,-639.5995158975942,PPO_FL
28,-629.3546447224209,PPO_FL
29,-974.5888270282676,PPO_FL
29,-1019.630643437663,PPO_FL
29,-971.6060986496997,PPO_FL
18,-1699.5458651758095,PPO_FL
18,-1699.5443781084723,PPO_FL
18,-1699.5442459034675,PPO_FL
3,-358.1870063209272,PPO_FL
3,-358.10404116081384,PPO_FL
3,-358.11764778317996,PPO_FL
4,-985.818366262361,PPO_FL
4,-985.8395561256409,PPO_FL
4,-985.853492561353,PPO_FL
9,-874.2771304133245,PPO_FL
9,-875.2412415437616,PPO_FL
9,-874.3827000963626,PPO_FL
14,-899.7311139170736,PPO_FL
14,-899.7330074930478,PPO_FL
14,-899.7590922681462,PPO_FL
15,-687.5735932548363,PPO_FL
15,-687.5916871670825,PPO_FL
15,-687.644386184289,PPO_FL
22,-831.3543589853396,PPO_FL
22,-831.3698269226842,PPO_FL
22,-831.3243744443621,PPO_FL
30,-723.6337146582357,PPO_FL
30,-723.6599650582134,PPO_FL
30,-726.0981863860509,PPO_FL
1,-1267.5227333641105,PPO_FL
1,-1267.523297980762,PPO_FL
1,-1267.517350141881,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2775.79773819578,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2752.017187378671,PPO_FL
8,-2751.3124659300106,PPO_FL
2,-1169.2489342911997,PPO_FL
2,-1169.2517708478608,PPO_FL
2,-1169.2517708478608,PPO_FL
10,-1019.9933585626508,PPO_FL
10,-1019.9935162538767,PPO_FL
10,-1019.9935162978649,PPO_FL
11,-1223.625828554332,PPO_FL
11,-1223.6257825570128,PPO_FL
11,-1223.6258306490608,PPO_FL
