Building,Profit,Setup
7,-800.1376223306403,PPO_FL
7,-796.8496815705988,PPO_FL
7,-796.8481795921967,PPO_FL
25,-1441.4853373078788,PPO_FL
25,-1441.4853373078788,PPO_FL
25,-1441.4852886991061,PPO_FL
16,-1254.4983150490305,PPO_FL
16,-1254.524615937471,PPO_FL
16,-1254.522947096724,PPO_FL
17,-1847.5232586058492,PPO_FL
17,-1847.548282469304,PPO_FL
17,-1847.5491904327946,PPO_FL
21,-1990.5833868815723,PPO_FL
21,-1990.5819677470915,PPO_FL
21,-1990.58336500791,PPO_FL
5,-1111.0388678301745,PPO_FL
5,-1111.0013170047448,PPO_FL
5,-1110.9866554382124,PPO_FL
12,-1162.6008160939066,PPO_FL
12,-1154.4298944377256,PPO_FL
12,-1154.4915353361218,PPO_FL
13,-691.1878905738491,PPO_FL
13,-691.2388324732834,PPO_FL
13,-691.0989151076323,PPO_FL
19,-401.0744501189882,PPO_FL
19,-401.0700482283534,PPO_FL
19,-401.08565156433764,PPO_FL
20,-1519.6441546158453,PPO_FL
20,-1512.8540178416458,PPO_FL
20,-1513.018549295381,PPO_FL
23,-1069.7591592744272,PPO_FL
23,-1062.6550143813013,PPO_FL
23,-1060.4427276558017,PPO_FL
24,-591.3801973170885,PPO_FL
24,-591.3390225081829,PPO_FL
24,-567.444446757384,PPO_FL
26,-1834.1779745859,PPO_FL
26,-1834.258362150493,PPO_FL
26,-1834.1528866659125,PPO_FL
27,-1130.943203482511,PPO_FL
27,-1130.9786045198414,PPO_FL
27,-1127.8843753743317,PPO_FL
28,-669.7539485844915,PPO_FL
28,-669.6613400226843,PPO_FL
28,-669.6805907984474,PPO_FL
29,-1063.0160888489313,PPO_FL
29,-1062.6204601173133,PPO_FL
29,-1063.0542833666468,PPO_FL
18,-1699.6280954656409,PPO_FL
18,-1686.2029224337687,PPO_FL
18,-1700.3390185271055,PPO_FL
3,-359.06723491589855,PPO_FL
3,-331.46071870430853,PPO_FL
3,-320.811777513849,PPO_FL
4,-982.3216609392684,PPO_FL
4,-985.9291540021046,PPO_FL
4,-939.5453766294062,PPO_FL
9,-873.917950321085,PPO_FL
9,-863.5603061642431,PPO_FL
9,-874.7846214454228,PPO_FL
14,-893.8053257480007,PPO_FL
14,-886.8437287293726,PPO_FL
14,-896.5032627300005,PPO_FL
15,-699.9363200666136,PPO_FL
15,-702.4717465205662,PPO_FL
15,-680.967503976213,PPO_FL
22,-831.3972273776997,PPO_FL
22,-831.1577722729168,PPO_FL
22,-826.7284252143039,PPO_FL
30,-710.5740659190259,PPO_FL
30,-719.6560196595365,PPO_FL
30,-675.8051470705632,PPO_FL
1,-1264.3118298003221,PPO_FL
1,-1264.3227813599954,PPO_FL
1,-1268.3517427053487,PPO_FL
6,-2773.65825293863,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
8,-2752.0871438364697,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
2,-1169.1152410649559,PPO_FL
2,-1166.0374098499958,PPO_FL
2,-1346.4934645437331,PPO_FL
10,-1020.1080368668237,PPO_FL
10,-1058.1297744682063,PPO_FL
10,-1040.4177346107815,PPO_FL
11,-1223.6446128610842,PPO_FL
11,-1226.2811434254397,PPO_FL
11,-1237.2897505807327,PPO_FL
