Building,Profit,Total Emissions,Setup,Time
1,-834.9018880246663,3508.9990993358488,TD3_LL,14958.801132917404
1,-840.2593058538055,3631.441161703713,TD3_LL,14958.801132917404
1,-860.1634951564255,3751.524440377319,TD3_LL,14958.801132917404
2,-1096.3584421209496,3771.2460698996656,TD3_LL,14958.801132917404
2,-1105.1402701920922,3888.8070221550665,TD3_LL,14958.801132917404
2,-1121.2049812409352,3751.8875137997597,TD3_LL,14958.801132917404
3,-261.9371245694267,990.1493207380319,TD3_LL,14958.801132917404
3,-274.5918280842463,1087.8216487589737,TD3_LL,14958.801132917404
3,-261.9503431605074,985.1933015521183,TD3_LL,14958.801132917404
4,-928.1438969736565,3548.587054844631,TD3_LL,14958.801132917404
4,-931.9712929649913,3509.1312143285927,TD3_LL,14958.801132917404
4,-915.9269760371616,3294.8648009154113,TD3_LL,14958.801132917404
5,-1061.5789497425183,3693.947619763532,TD3_LL,14958.801132917404
5,-1041.5656744777075,3635.4391915573137,TD3_LL,14958.801132917404
5,-1048.7666362869807,3855.463061296396,TD3_LL,14958.801132917404
6,-2718.765579920691,9365.591046338097,TD3_LL,14958.801132917404
6,-2715.22468289278,9828.606458354756,TD3_LL,14958.801132917404
6,-2718.4142245708294,9282.78561203682,TD3_LL,14958.801132917404
7,-518.6518118322903,2002.3200256772188,TD3_LL,14958.801132917404
7,-548.1712975077952,2080.8364798679577,TD3_LL,14958.801132917404
7,-519.924806485478,1960.2029966850366,TD3_LL,14958.801132917404
8,-2743.2202764021863,8878.109781597655,TD3_LL,14958.801132917404
8,-2754.1715736570513,9730.618953008463,TD3_LL,14958.801132917404
8,-2738.882912154236,9351.202531970075,TD3_LL,14958.801132917404
9,-732.2817914565683,2695.5802745886303,TD3_LL,14958.801132917404
9,-758.6330760409113,2951.2688146159503,TD3_LL,14958.801132917404
9,-755.8595581783936,2905.2584013305764,TD3_LL,14958.801132917404
10,-916.2320571772545,3126.0584687986593,TD3_LL,14958.801132917404
10,-940.1102355259108,3302.274912008986,TD3_LL,14958.801132917404
10,-936.9852608325378,3335.202638438987,TD3_LL,14958.801132917404
11,-1052.846941562978,3390.47630428402,TD3_LL,14958.801132917404
11,-1060.743345940359,3312.382132758282,TD3_LL,14958.801132917404
11,-1069.8634794180957,3459.9435037496146,TD3_LL,14958.801132917404
12,-1127.7003534818102,3703.2448487636448,TD3_LL,14958.801132917404
12,-1131.2646585979371,3709.2536286910404,TD3_LL,14958.801132917404
12,-1127.0110294403903,3738.9840172357626,TD3_LL,14958.801132917404
