Building,Profit,Setup
7,-796.8413303695914,PPO_FL
7,-796.8429960273812,PPO_FL
7,-796.8434897790906,PPO_FL
25,-1441.4784337179221,PPO_FL
25,-1441.4792295840848,PPO_FL
25,-1441.4784833938515,PPO_FL
16,-1254.5153857497712,PPO_FL
16,-1254.5143537155088,PPO_FL
16,-1254.510343777383,PPO_FL
17,-1847.539232939896,PPO_FL
17,-1847.534809327889,PPO_FL
17,-1847.5413700580698,PPO_FL
21,-1990.571934298566,PPO_FL
21,-1990.5573584458118,PPO_FL
21,-1990.5575640813438,PPO_FL
5,-1107.830100090001,PPO_FL
5,-1107.830100090001,PPO_FL
5,-1107.830100090001,PPO_FL
12,-1151.2366581000076,PPO_FL
12,-1151.2366581000076,PPO_FL
12,-1151.2366581000076,PPO_FL
13,-687.9864051399976,PPO_FL
13,-687.9864051399976,PPO_FL
13,-687.9864051399976,PPO_FL
19,-397.90327214000047,PPO_FL
19,-397.90327214000047,PPO_FL
19,-397.90327214000047,PPO_FL
20,-1509.8174064200055,PPO_FL
20,-1509.8174064200055,PPO_FL
20,-1509.8174064200055,PPO_FL
23,-1059.5208172699895,PPO_FL
23,-1059.5208172699895,PPO_FL
23,-1059.5208172699895,PPO_FL
24,-588.3608449400001,PPO_FL
24,-588.3608449400001,PPO_FL
24,-588.3608676575354,PPO_FL
26,-1830.970639579992,PPO_FL
26,-1830.970639579992,PPO_FL
26,-1830.970639579992,PPO_FL
27,-1127.8077819700006,PPO_FL
27,-1127.8077819700006,PPO_FL
27,-1127.8077819700006,PPO_FL
28,-666.454575544995,PPO_FL
28,-666.454575544995,PPO_FL
28,-666.454575544995,PPO_FL
29,-1059.828561930002,PPO_FL
29,-1059.828561930002,PPO_FL
29,-1059.828561930002,PPO_FL
18,-1699.377577474127,PPO_FL
18,-1699.4591851895543,PPO_FL
18,-1699.5413690846876,PPO_FL
3,-358.3649956548137,PPO_FL
3,-358.2171827741048,PPO_FL
3,-358.29046889814356,PPO_FL
4,-986.1497184822376,PPO_FL
4,-985.9801011346938,PPO_FL
4,-986.1340201720532,PPO_FL
9,-874.3675562726312,PPO_FL
9,-874.3711543542802,PPO_FL
9,-874.3777144792231,PPO_FL
14,-899.7060951797032,PPO_FL
14,-899.8197510447613,PPO_FL
14,-900.1743958203134,PPO_FL
15,-688.1265516006595,PPO_FL
15,-688.0935269283833,PPO_FL
15,-688.1547879276967,PPO_FL
22,-831.5961542430382,PPO_FL
22,-831.8189835765871,PPO_FL
22,-831.7388999207739,PPO_FL
30,-723.7177665088998,PPO_FL
30,-723.6998272246963,PPO_FL
30,-723.7383311161527,PPO_FL
1,-1272.491466477033,PPO_FL
1,-1267.2283372714192,PPO_FL
1,-1266.446264061242,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
2,-1244.4425060537742,PPO_FL
2,-1176.9012509441413,PPO_FL
2,-1251.2397472703549,PPO_FL
10,-1120.6080015332884,PPO_FL
10,-1025.148525677779,PPO_FL
10,-1020.4150735054262,PPO_FL
11,-1287.8985049203864,PPO_FL
11,-1223.6637568264596,PPO_FL
11,-1223.861560147382,PPO_FL
