Building,Profit,Setup
7,-793.0739280885535,PPO_FL
7,-793.6353207800001,PPO_FL
7,-794.7079467205207,PPO_FL
7,-800.6815529867533,PPO_FL
7,-795.4291901832795,PPO_FL
25,-1447.2666529490045,PPO_FL
25,-1460.6457510295727,PPO_FL
25,-1476.5745813405451,PPO_FL
25,-1444.1063103999538,PPO_FL
25,-1438.2709763100133,PPO_FL
16,-1254.5296723809186,PPO_FL
16,-1254.5419300350682,PPO_FL
16,-1254.5357553075364,PPO_FL
16,-1254.6500216317465,PPO_FL
16,-1254.3961425162363,PPO_FL
17,-1847.595585795103,PPO_FL
17,-1847.646433164471,PPO_FL
17,-1847.4792766999865,PPO_FL
17,-1847.5984846833521,PPO_FL
17,-1847.6081277674043,PPO_FL
21,-1990.6279417271874,PPO_FL
21,-1990.6414562797133,PPO_FL
21,-1990.5683747639052,PPO_FL
21,-1990.6011190721622,PPO_FL
21,-2002.1566659635885,PPO_FL
5,-1134.0936225976868,PPO_FL
5,-1131.776570503071,PPO_FL
5,-1188.6608541575556,PPO_FL
5,-1158.3401893888488,PPO_FL
5,-1194.2556982097794,PPO_FL
12,-1158.1443765823904,PPO_FL
12,-1167.0169359456775,PPO_FL
12,-1183.1430564627483,PPO_FL
12,-1160.860456867111,PPO_FL
12,-1178.0775334438945,PPO_FL
13,-629.7338809455047,PPO_FL
13,-649.2553887421956,PPO_FL
13,-694.3950515696312,PPO_FL
13,-651.1562692643241,PPO_FL
13,-707.1279375042377,PPO_FL
19,-481.8224803204092,PPO_FL
19,-455.75531993119955,PPO_FL
19,-421.25960361687993,PPO_FL
19,-482.34439219782496,PPO_FL
19,-405.51830613350904,PPO_FL
20,-1433.0513600846384,PPO_FL
20,-1421.8659904668446,PPO_FL
20,-1468.0500427694367,PPO_FL
20,-1480.7412583078865,PPO_FL
20,-1464.9013177557026,PPO_FL
23,-1055.014769863636,PPO_FL
23,-1072.860966313543,PPO_FL
23,-1087.1518680720615,PPO_FL
23,-1077.3899768595704,PPO_FL
23,-1079.9767345309888,PPO_FL
24,-493.52708925087,PPO_FL
24,-485.0121269972442,PPO_FL
24,-546.0696478844172,PPO_FL
24,-553.8256867656664,PPO_FL
24,-540.9644634316754,PPO_FL
26,-1842.5695876432133,PPO_FL
26,-1836.0988456542082,PPO_FL
26,-1802.3074086907752,PPO_FL
26,-1825.779678652593,PPO_FL
26,-1816.7819517638554,PPO_FL
27,-1131.757160940519,PPO_FL
27,-1130.257700943054,PPO_FL
27,-1126.3556583857446,PPO_FL
27,-1130.7703965680919,PPO_FL
27,-1132.34530383257,PPO_FL
28,-704.0765404280899,PPO_FL
28,-735.6941199685277,PPO_FL
28,-719.1320804842093,PPO_FL
28,-678.5200204960382,PPO_FL
28,-698.8875152069033,PPO_FL
29,-1051.3923770976626,PPO_FL
29,-1051.6892364050452,PPO_FL
29,-1012.2212744133628,PPO_FL
29,-1048.246859569804,PPO_FL
29,-1049.3228140466451,PPO_FL
18,-1699.5539269676747,PPO_FL
18,-1699.62314816781,PPO_FL
18,-1699.5971628201082,PPO_FL
18,-1699.5780401120583,PPO_FL
18,-1699.3515078305675,PPO_FL
3,-358.1315093518813,PPO_FL
3,-358.10624885879935,PPO_FL
3,-358.13487435815443,PPO_FL
3,-358.1625152947717,PPO_FL
3,-358.12402548496266,PPO_FL
4,-985.8093132619035,PPO_FL
4,-987.6296574122528,PPO_FL
4,-985.8085970091452,PPO_FL
4,-985.8966166127063,PPO_FL
4,-985.8949988191093,PPO_FL
9,-885.5265765630526,PPO_FL
9,-874.5710264744631,PPO_FL
9,-874.3265327975331,PPO_FL
9,-874.3132732151707,PPO_FL
9,-976.4341669303382,PPO_FL
14,-900.9318767576508,PPO_FL
14,-899.7285360446235,PPO_FL
14,-899.8144048875233,PPO_FL
14,-899.7317899366584,PPO_FL
14,-900.2263980266468,PPO_FL
15,-698.1961347018322,PPO_FL
15,-687.6010009260092,PPO_FL
15,-691.1581811448655,PPO_FL
15,-697.8850471832983,PPO_FL
15,-688.0523312931233,PPO_FL
22,-942.8680789797058,PPO_FL
22,-831.335320901003,PPO_FL
22,-828.4369695544169,PPO_FL
22,-831.3187586788024,PPO_FL
22,-831.4243015360403,PPO_FL
30,-723.6375183801092,PPO_FL
30,-722.996455906547,PPO_FL
30,-723.6870244858665,PPO_FL
30,-723.6276355021776,PPO_FL
30,-723.6297382786906,PPO_FL
1,-1267.5134586124914,PPO_FL
1,-1267.5200252945845,PPO_FL
1,-1262.9445809487797,PPO_FL
1,-1267.5393209694505,PPO_FL
1,-1267.5329521617107,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3111280731114,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
2,-1169.2513270523157,PPO_FL
2,-1169.2504883407107,PPO_FL
2,-1169.251670643126,PPO_FL
2,-1169.250218452908,PPO_FL
2,-1169.2511624653664,PPO_FL
10,-1019.9922328246784,PPO_FL
10,-1019.9935161691332,PPO_FL
10,-1019.9935004105972,PPO_FL
10,-1019.9924064014698,PPO_FL
10,-1019.9929739590644,PPO_FL
11,-1223.6258306100272,PPO_FL
11,-1223.6257195902035,PPO_FL
11,-1223.6245514469836,PPO_FL
11,-1223.6254908071467,PPO_FL
11,-1223.625673416352,PPO_FL
