Building,Profit,Setup
7,-1043.3022211881632,TD3_LL
7,-1037.3336460740295,TD3_LL
7,-1088.1328369545465,TD3_LL
16,-1342.7109289708567,TD3_LL
16,-1322.7196662456945,TD3_LL
16,-1382.8312596863748,TD3_LL
19,-655.8248149748878,TD3_LL
19,-660.1114214742954,TD3_LL
19,-647.6421464732367,TD3_LL
24,-683.9074165094362,TD3_LL
24,-682.9660454462313,TD3_LL
24,-700.3108748786233,TD3_LL
1,-1435.4207627879025,TD3_LL
1,-1448.5229827846356,TD3_LL
1,-1210.378637599636,TD3_LL
11,-1385.4357848068867,TD3_LL
11,-1442.796572989714,TD3_LL
11,-1446.251781459269,TD3_LL
12,-1412.3545758765265,TD3_LL
12,-1423.4190713747232,TD3_LL
12,-1409.745413844009,TD3_LL
27,-1403.2264733621444,TD3_LL
27,-1404.066065313579,TD3_LL
27,-1413.4595206691522,TD3_LL
2,-1412.6433480446813,TD3_LL
2,-1383.2821512696603,TD3_LL
2,-1474.9673127455285,TD3_LL
4,-1195.5344685368996,TD3_LL
4,-1192.1944715502639,TD3_LL
4,-1217.9053529323955,TD3_LL
6,-2881.6268715584947,TD3_LL
6,-2835.1627977391213,TD3_LL
6,-2866.425953243819,TD3_LL
9,-1208.5829748642616,TD3_LL
9,-1219.5370344479888,TD3_LL
9,-1090.455338768279,TD3_LL
10,-1228.4417655455968,TD3_LL
10,-1249.0108983867894,TD3_LL
10,-1212.438900777767,TD3_LL
14,-1115.4983457295966,TD3_LL
14,-1040.9465181244677,TD3_LL
14,-1077.8981147222046,TD3_LL
15,-909.5424392698225,TD3_LL
15,-936.1688842004461,TD3_LL
15,-942.0979202132758,TD3_LL
18,-1887.1534010370212,TD3_LL
18,-1920.529947762366,TD3_LL
18,-1857.280886540278,TD3_LL
22,-1081.452980512335,TD3_LL
22,-1035.637203310168,TD3_LL
22,-1082.497472141785,TD3_LL
25,-1617.4676962222768,TD3_LL
25,-1583.883540198558,TD3_LL
25,-1607.2687389945838,TD3_LL
30,-1071.344098475191,TD3_LL
30,-953.9927798657557,TD3_LL
30,-921.4452288093128,TD3_LL
20,-1612.6488575773064,TD3_LL
20,-1603.2712180178396,TD3_LL
20,-1707.6092497811244,TD3_LL
26,-1916.0446454120229,TD3_LL
26,-1881.305755687183,TD3_LL
26,-1906.0167390478596,TD3_LL
28,-830.3475153260694,TD3_LL
28,-816.5775474735791,TD3_LL
28,-861.6919776970525,TD3_LL
13,-888.5545510810772,TD3_LL
13,-837.0134601898362,TD3_LL
13,-912.8170674447151,TD3_LL
17,-1946.8591116186144,TD3_LL
17,-1960.4088438416304,TD3_LL
17,-1984.5088580401416,TD3_LL
21,-2117.6650843304064,TD3_LL
21,-2077.6289205722683,TD3_LL
21,-2089.5933105434437,TD3_LL
23,-1330.211811344917,TD3_LL
23,-1290.0574920647966,TD3_LL
23,-1298.1204451640824,TD3_LL
29,-1214.585330859541,TD3_LL
29,-1226.5135065138495,TD3_LL
29,-1248.7411946454574,TD3_LL
8,-3195.980922350809,TD3_LL
8,-3016.5439491275947,TD3_LL
8,-3083.4846872986714,TD3_LL
3,-635.4265109501812,TD3_LL
3,-659.5706543164328,TD3_LL
3,-662.1485236646159,TD3_LL
5,-1361.9885320975854,TD3_LL
5,-1336.1388214457504,TD3_LL
5,-1334.4803411966077,TD3_LL
