Building,Profit,Setup
7,-793.2391286964753,TD3_FL
7,-793.3545453049873,TD3_FL
7,-791.9361662872524,TD3_FL
25,-1444.9361400760106,TD3_FL
25,-1445.1235810431383,TD3_FL
25,-1446.1770850677897,TD3_FL
16,-1278.8133197157358,TD3_FL
16,-1257.9523888919455,TD3_FL
16,-1268.6229254351886,TD3_FL
17,-1852.5264355966249,TD3_FL
17,-1848.3232185632212,TD3_FL
17,-1857.9602393330579,TD3_FL
21,-2000.732755793996,TD3_FL
21,-1996.9360223922445,TD3_FL
21,-2000.3318310017485,TD3_FL
5,-1111.9594676070321,TD3_FL
5,-1110.306392312991,TD3_FL
5,-1111.8795188506344,TD3_FL
12,-1151.7872437022056,TD3_FL
12,-1151.7341102415523,TD3_FL
12,-1151.7225625775427,TD3_FL
13,-693.0696662026711,TD3_FL
13,-692.3278711542206,TD3_FL
13,-691.3081596757709,TD3_FL
19,-401.7880589110055,TD3_FL
19,-399.9122564140134,TD3_FL
19,-401.7294723409079,TD3_FL
20,-1521.612893809997,TD3_FL
20,-1528.7376463186479,TD3_FL
20,-1519.423271993311,TD3_FL
23,-1069.262089838893,TD3_FL
23,-1066.530299637974,TD3_FL
23,-1065.812897347691,TD3_FL
24,-592.3366688285112,TD3_FL
24,-594.3703904696013,TD3_FL
24,-595.163192084912,TD3_FL
26,-1831.1222730677564,TD3_FL
26,-1831.2703451743932,TD3_FL
26,-1832.040853785086,TD3_FL
27,-1131.9577601890087,TD3_FL
27,-1130.6524572780554,TD3_FL
27,-1131.333833243572,TD3_FL
28,-669.0705192111002,TD3_FL
28,-672.3942631092627,TD3_FL
28,-671.8220913915729,TD3_FL
29,-1063.8739538257475,TD3_FL
29,-1063.1090383046158,TD3_FL
29,-1063.3393697491608,TD3_FL
18,-1699.0762480775936,TD3_FL
18,-1699.6991703933759,TD3_FL
18,-1697.5751881369692,TD3_FL
3,-356.21453673852835,TD3_FL
3,-355.3395103683387,TD3_FL
3,-355.62867201378776,TD3_FL
4,-983.7334994165187,TD3_FL
4,-985.1808515501964,TD3_FL
4,-981.3317534900268,TD3_FL
9,-875.5435575054873,TD3_FL
9,-874.4639646812118,TD3_FL
9,-872.8000975394436,TD3_FL
14,-900.1281050800096,TD3_FL
14,-897.0773314036753,TD3_FL
14,-897.1293286296805,TD3_FL
15,-685.8047822744272,TD3_FL
15,-685.3435361354278,TD3_FL
15,-684.6521562165482,TD3_FL
22,-826.1876988218776,TD3_FL
22,-826.1094717735209,TD3_FL
22,-827.7941349103398,TD3_FL
30,-723.3579777529808,TD3_FL
30,-721.8771450434801,TD3_FL
30,-721.228567341767,TD3_FL
1,-1267.8401027736572,TD3_FL
1,-1266.9513326822241,TD3_FL
1,-1267.1396380468027,TD3_FL
6,-2775.0275991744356,TD3_FL
6,-2774.227829255779,TD3_FL
6,-2774.9876348956022,TD3_FL
8,-2751.2985079747295,TD3_FL
8,-2761.9647261003965,TD3_FL
8,-2755.6083629466993,TD3_FL
2,-1177.3357089576016,TD3_FL
2,-1177.3446538969765,TD3_FL
2,-1173.7681777240707,TD3_FL
10,-1019.4104690334914,TD3_FL
10,-1019.7084659268189,TD3_FL
10,-1019.7720656797661,TD3_FL
11,-1220.902165131497,TD3_FL
11,-1219.52260913105,TD3_FL
11,-1222.198430277359,TD3_FL
