Building,Profit,Setup
4,-950.6090329936815,cluster3
4,-951.2970639270696,cluster3
4,-951.315674106504,cluster3
6,-2731.0647475233186,cluster3
6,-2730.952172581912,cluster3
6,-2731.0205494518877,cluster3
7,-635.6386714386744,cluster3
7,-633.7779893852562,cluster3
7,-634.5639940394823,cluster3
8,-2747.349726794764,cluster3
8,-2747.3386884082206,cluster3
8,-2747.339310609113,cluster3
9,-844.0535326672676,cluster3
9,-844.1050976384224,cluster3
9,-844.0271024230994,cluster3
10,-982.8090091431385,cluster3
10,-982.7708382271089,cluster3
10,-982.5754158818229,cluster3
13,-557.4224363917111,cluster3
13,-559.4261203823626,cluster3
13,-559.195842606225,cluster3
17,-1782.8306141484004,cluster3
17,-1782.7340896818869,cluster3
17,-1782.589172448313,cluster3
18,-1652.1732929330133,cluster3
18,-1652.508229993583,cluster3
18,-1652.3928789239394,cluster3
20,-1426.805656596242,cluster3
20,-1426.2891083146674,cluster3
20,-1424.6786882802094,cluster3
21,-1955.0102388107887,cluster3
21,-1955.1163486373334,cluster3
21,-1954.9220004919948,cluster3
25,-1406.8807233923928,cluster3
25,-1407.1291051328367,cluster3
25,-1407.1453979205696,cluster3
27,-1093.6081113031587,cluster3
27,-1093.6068223676534,cluster3
27,-1093.6315896296733,cluster3
29,-974.9418265420103,cluster3
29,-975.8812034538363,cluster3
29,-975.4412566730745,cluster3
30,-681.6525811351131,cluster3
30,-681.8020559188861,cluster3
30,-681.7722150829674,cluster3
1,-1020.6492576815282,cluster3
1,-1013.2371154701138,cluster3
1,-1012.9645095524337,cluster3
11,-1094.5615614279077,cluster3
11,-1092.6493173083552,cluster3
11,-1094.407559047627,cluster3
12,-1136.7875749593559,cluster3
12,-1136.780129359842,cluster3
12,-1136.7472476256653,cluster3
16,-1065.026905607657,cluster3
16,-1064.2757190864027,cluster3
16,-1063.3954755562684,cluster3
19,-323.91644399620026,cluster3
19,-324.0983659764784,cluster3
19,-323.95441369139184,cluster3
24,-354.2618992106421,cluster3
24,-353.31380352998406,cluster3
24,-353.30843361565695,cluster3
2,-1115.442668933941,cluster3
2,-1117.8838641857858,cluster3
2,-1115.9389165061232,cluster3
3,-299.6895125951912,cluster3
3,-300.6024931757676,cluster3
3,-299.1884672215322,cluster3
5,-1073.8256139982213,cluster3
5,-1073.7461975524832,cluster3
5,-1073.8519777964632,cluster3
14,-824.002053656382,cluster3
14,-825.7673693425526,cluster3
14,-825.9367627221164,cluster3
15,-649.7109580849425,cluster3
15,-650.0604894193857,cluster3
15,-649.7121994921648,cluster3
22,-798.8214689933618,cluster3
22,-798.6129305752156,cluster3
22,-798.4879429234472,cluster3
23,-986.2330528639313,cluster3
23,-987.6310472226287,cluster3
23,-987.5865202237909,cluster3
26,-1791.9320663890692,cluster3
26,-1793.495181536367,cluster3
26,-1793.8213722308328,cluster3
28,-631.5922708705413,cluster3
28,-632.0186004885588,cluster3
28,-631.6834033957982,cluster3
