Building,Profit,Setup
4,-922.3498825431479,cluster3
4,-922.3037482213529,cluster3
4,-922.0918200490933,cluster3
6,-2730.6082696834806,cluster3
6,-2730.7787485843355,cluster3
6,-2730.378115369383,cluster3
7,-616.4339945786536,cluster3
7,-617.600731852582,cluster3
7,-616.8529898947966,cluster3
8,-2745.0470001119193,cluster3
8,-2745.1121093812685,cluster3
8,-2744.909119608001,cluster3
9,-798.449802400993,cluster3
9,-798.7073761971254,cluster3
9,-798.6478885955491,cluster3
10,-954.5202667419006,cluster3
10,-954.6295172227369,cluster3
10,-954.7373810289024,cluster3
13,-551.8646861213315,cluster3
13,-552.9297162760722,cluster3
13,-552.9158671735252,cluster3
17,-1777.8909013721418,cluster3
17,-1777.7848198745169,cluster3
17,-1777.955358237185,cluster3
18,-1626.273278349902,cluster3
18,-1626.5858179422555,cluster3
18,-1626.0394051112262,cluster3
20,-1389.205699954077,cluster3
20,-1388.4234014452545,cluster3
20,-1389.1853522966587,cluster3
21,-1944.7209458118755,cluster3
21,-1944.5704808295889,cluster3
21,-1944.4734425031072,cluster3
25,-1374.236370387087,cluster3
25,-1374.1906505285638,cluster3
25,-1374.3251886934404,cluster3
27,-1062.5085733819067,cluster3
27,-1062.610963690692,cluster3
27,-1062.5775404818999,cluster3
29,-963.9812859793265,cluster3
29,-964.2679798574479,cluster3
29,-964.3220645854119,cluster3
30,-639.9613592996374,cluster3
30,-640.0543382957187,cluster3
30,-640.2679603533475,cluster3
1,-1031.375012603553,cluster3
1,-1029.5115366512593,cluster3
1,-1027.921299118034,cluster3
11,-1103.1156575083735,cluster3
11,-1104.306245245497,cluster3
11,-1103.4955793667607,cluster3
12,-1135.3942946738694,cluster3
12,-1135.5658869894282,cluster3
12,-1135.5515124247938,cluster3
16,-1079.64719114866,cluster3
16,-1078.9644985039301,cluster3
16,-1079.727187439589,cluster3
19,-314.71223543046034,cluster3
19,-314.9205820997217,cluster3
19,-316.12965304925325,cluster3
24,-385.3859929491395,cluster3
24,-381.0049331311956,cluster3
24,-381.3647383392664,cluster3
2,-1087.0479831664475,cluster3
2,-1085.6846550589864,cluster3
2,-1085.9842188330708,cluster3
3,-274.03417840622353,cluster3
3,-270.28404220891673,cluster3
3,-272.203794588464,cluster3
5,-1056.3588592268143,cluster3
5,-1056.3699451728742,cluster3
5,-1057.1069363089055,cluster3
14,-793.5054289443666,cluster3
14,-792.5704820519194,cluster3
14,-792.4012265640175,cluster3
15,-629.2234245196287,cluster3
15,-630.2372559410769,cluster3
15,-628.5620356184329,cluster3
22,-779.4090027121362,cluster3
22,-781.3566390323085,cluster3
22,-779.9435344037885,cluster3
23,-961.8961164184988,cluster3
23,-962.1159399146901,cluster3
23,-964.0678959707209,cluster3
26,-1779.883479970996,cluster3
26,-1780.0603670506414,cluster3
26,-1779.8178819919062,cluster3
28,-619.4271570652835,cluster3
28,-618.5340637990115,cluster3
28,-619.9870396675706,cluster3
