Building,Profit,Setup
6,-2772.254126425089,cluster6
6,-2772.342053132531,cluster6
6,-2772.3352519260598,cluster6
7,-792.2548599111984,cluster6
7,-792.0327325786218,cluster6
7,-792.0315464536607,cluster6
9,-871.1587594031192,cluster6
9,-871.158990630018,cluster6
9,-871.158840124419,cluster6
16,-1248.7462065578377,cluster6
16,-1248.7209541942739,cluster6
16,-1248.6890389284242,cluster6
19,-398.08396925978167,cluster6
19,-398.0611520662658,cluster6
19,-398.04684983368924,cluster6
24,-586.278412195728,cluster6
24,-585.9647342262522,cluster6
24,-585.8327181825947,cluster6
5,-1102.7411232459401,cluster6
5,-1102.7404990009545,cluster6
5,-1102.740643972096,cluster6
14,-891.384989051304,cluster6
14,-891.3866070653686,cluster6
14,-891.3876120868821,cluster6
1,-1265.752071501782,cluster6
1,-1265.7519093211663,cluster6
1,-1265.7519543728063,cluster6
11,-1223.2109099450065,cluster6
11,-1223.2107778129073,cluster6
11,-1223.210839980002,cluster6
12,-1152.6135634152467,cluster6
12,-1152.6135902952124,cluster6
12,-1152.6135822618714,cluster6
13,-690.5048096225199,cluster6
13,-690.5048508839169,cluster6
13,-690.5048782971118,cluster6
27,-1129.7022503235594,cluster6
27,-1129.7023690251974,cluster6
27,-1129.702360182633,cluster6
29,-1062.2173434609485,cluster6
29,-1062.2172336465967,cluster6
29,-1062.2172165919567,cluster6
8,-2750.9978333000104,cluster6
8,-2750.9978333000104,cluster6
8,-2750.9978333000104,cluster6
17,-1842.590061299998,cluster6
17,-1842.590061299998,cluster6
17,-1842.590061299998,cluster6
20,-1508.5044347200057,cluster6
20,-1508.5044347200057,cluster6
20,-1508.5044347200057,cluster6
21,-1986.7146270599903,cluster6
21,-1986.7146270599903,cluster6
21,-1986.7146270599903,cluster6
23,-1059.2160256299896,cluster6
23,-1059.2160256299896,cluster6
23,-1059.2160256299896,cluster6
25,-1436.2570832300134,cluster6
25,-1436.2570832300134,cluster6
25,-1436.2570832300134,cluster6
26,-1829.6717626499917,cluster6
26,-1829.6717626499917,cluster6
26,-1829.6717626499917,cluster6
28,-665.4161364049951,cluster6
28,-665.4161364049951,cluster6
28,-665.4161364049951,cluster6
2,-1165.7040444699956,cluster6
2,-1165.7040444699956,cluster6
2,-1165.7040444699956,cluster6
3,-354.8583669999963,cluster6
3,-354.8583669999963,cluster6
3,-354.8583669999963,cluster6
4,-982.2749281299997,cluster6
4,-982.2749281299997,cluster6
4,-982.2749281299997,cluster6
10,-1016.5098907499993,cluster6
10,-1016.5098907499993,cluster6
10,-1016.5098907499993,cluster6
15,-683.9735966649974,cluster6
15,-683.9735966649974,cluster6
15,-683.9735966649974,cluster6
18,-1696.248853639994,cluster6
18,-1696.248853639994,cluster6
18,-1696.248853639994,cluster6
22,-826.4282369949927,cluster6
22,-826.4282369949927,cluster6
22,-826.4282369949927,cluster6
30,-719.3822283599966,cluster6
30,-719.3822283599966,cluster6
30,-719.3822283599966,cluster6
