Building,Profit,Setup
7,-623.0938225335628,cluster10
16,-1149.3096601298548,cluster10
17,-1809.4627853297684,cluster10
21,-1987.122178108444,cluster10
13,-559.4523330450481,cluster10
19,-340.4921265055934,cluster10
20,-1391.8139829817794,cluster10
18,-1638.7316157022053,cluster10
3,-291.3538390982446,cluster10
4,-938.4923203171256,cluster10
9,-806.7861441539951,cluster10
14,-848.2366217178358,cluster10
15,-644.1823486485127,cluster10
22,-777.8174148136466,cluster10
30,-681.4672018233144,cluster10
1,-951.9581583142862,cluster10
6,-2739.8755972809386,cluster10
8,-2747.213561923235,cluster10
11,-1110.581487273304,cluster10
5,-1068.7331054591114,cluster10
12,-1149.7449865719398,cluster10
23,-1017.7567658225057,cluster10
24,-408.0056738889106,cluster10
25,-1370.688036875905,cluster10
26,-1781.5678978607498,cluster10
27,-1064.417281902971,cluster10
28,-642.0856763131475,cluster10
29,-992.3051465041176,cluster10
2,-1109.105266214064,cluster10
10,-971.387202469074,cluster10
